"","file_Id","Joy","Anger","Surprise","Fear","Disgust","Sadness","Contempt","Neutral"
"1","raw_data/north_europ_M12_Surprise_Face_Forward",0,0,82,0,0,0,0,18.67
"2","raw_data/north_europ_M12_Sadness_Face_Forward",0,0,0,81.33,0,81.33,0,20
"3","raw_data/north_europ_M12_Pride_Face_Forward",79.33,0,0,3.33,0,0,61.33,22
"4","raw_data/north_europ_M12_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"5","raw_data/north_europ_M12_Joy_Face_Forward",80,0,0,0,0,0,2.67,21.33
"6","raw_data/north_europ_M12_Fear_Face_Forward",0,0,1.33,82,0,78,0,19.33
"7","raw_data/north_europ_M12_Embarrass_Face_Forward",78,0,0,0,0,0,81.33,22
"8","raw_data/north_europ_M12_Disgust_Face_Forward",0,0,0,0,78.67,0,0,22
"9","raw_data/north_europ_M12_Contempt_Face_Forward",0,0,0,0,0,0,81.33,23.33
"10","raw_data/north_europ_M12_Anger_Face_Forward",0,75.89,0,0,0,0,0,29.79
"11","raw_data/north_europ_M11_Surprise_Face_Forward",0,0,81.33,1.33,0,0,0,18.67
"12","raw_data/north_europ_M11_Sadness_Face_Forward",0,0,0,0.67,0,80,0,38
"13","raw_data/north_europ_M11_Pride_Face_Forward",81.33,0,0,0,0,0,2,20
"14","raw_data/north_europ_M11_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"15","raw_data/north_europ_M11_Joy_Face_Forward",82,0,0,0,0,0,2.67,21.33
"16","raw_data/north_europ_M11_Fear_Face_Forward",0,0,6.67,82,0,0,0,18.67
"17","raw_data/north_europ_M11_Embarrass_Face_Forward",75.33,0.67,0,0,0,0,76.67,54
"18","raw_data/north_europ_M11_Disgust_Face_Forward",0,0,0,0,82,0,0,18.67
"19","raw_data/north_europ_M11_Contempt_Face_Forward",0,0,0,0,0,0,82,23.33
"20","raw_data/north_europ_M11_Anger_Face_Forward",0,81.33,0,0,0,0,0,18.67
"21","raw_data/north_europ_M08_Surprise_Face_Forward",0,0,82,26.67,0,0,0,18.67
"22","raw_data/north_europ_M08_Sadness_Face_Forward",0,6,0,0,0,79.33,0,19.33
"23","raw_data/north_europ_M08_Pride_Face_Forward",78.67,0,0,4,0,0,3.33,20.67
"24","raw_data/north_europ_M08_Neutral_Face_Forward",0,8,0,0,0,0,0,100
"25","raw_data/north_europ_M08_Joy_Face_Forward",76.67,0,0,0,0,0,0,24
"26","raw_data/north_europ_M08_Fear_Face_Forward",0,0,2,82.67,0,0,0,70
"27","raw_data/north_europ_M08_Embarrass_Face_Forward",0,76,0,0,0,0,72,18.67
"28","raw_data/north_europ_M08_Disgust_Face_Forward",0,2,0,0,81.33,0,0,18.67
"29","raw_data/north_europ_M08_Contempt_Face_Forward",0,0,0,2.67,0,0,80.67,99.33
"30","raw_data/north_europ_M08_Anger_Face_Forward",0,100,0,0,0,0,0,15.33
"31","raw_data/north_europ_M06_Surprise_Face_Forward",0,0,80.67,79.33,0,0,0,20
"32","raw_data/north_europ_M06_Sadness_Face_Forward",0,8,0,0,47.33,78,0,23.33
"33","raw_data/north_europ_M06_Pride_Face_Forward",79.33,0,0,0,0,0,14,20.67
"34","raw_data/north_europ_M06_Neutral_Face_Forward",0,0,0,0,0,0,4.67,100
"35","raw_data/north_europ_M06_Joy_Face_Forward",80.67,0,0,0,0,0,2.67,20
"36","raw_data/north_europ_M06_Fear_Face_Forward",0,0,0,80,0,0,0,20.67
"37","raw_data/north_europ_M06_Embarrass_Face_Forward",78,0,0,0,0,0,80.67,20
"38","raw_data/north_europ_M06_Disgust_Face_Forward",0,0,0,0,84,0,0,20
"39","raw_data/north_europ_M06_Contempt_Face_Forward",0,0,0,0,0,0,78.67,22.67
"40","raw_data/north_europ_M06_Anger_Face_Forward",0,74.67,0,0,0,0,0,27.33
"41","raw_data/north_europ_M04_Surprise_Face_Forward",0,0,80.67,0,0,0,0,20
"42","raw_data/north_europ_M04_Sadness_Face_Forward",0,0,0,0,76,80.67,0,22
"43","raw_data/north_europ_M04_Pride_Face_Forward",81.33,0,0,0,0,0,0.67,18.67
"44","raw_data/north_europ_M04_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"45","raw_data/north_europ_M04_Joy_Face_Forward",80,0,0,0,0,0,0.67,20.67
"46","raw_data/north_europ_M04_Fear_Face_Forward",0,0,2.67,81.33,0,0,0,19.33
"47","raw_data/north_europ_M04_Embarrass_Face_Forward",65.33,5.33,0,0,0,0,80.67,20.67
"48","raw_data/north_europ_M04_Disgust_Face_Forward",0,0,0,0,80.67,0,0,20
"49","raw_data/north_europ_M04_Contempt_Face_Forward",0,0,0,0,0,0,81.33,20
"50","raw_data/north_europ_M04_Anger_Face_Forward",0,74.67,0,0,0,0,0,27.33
"51","raw_data/north_europ_M03_Surprise_Face_Forward",0,0,80,2.67,0,0,0,20.67
"52","raw_data/north_europ_M03_Sadness_Face_Forward",0,0,0,0,0,74,0,76.67
"53","raw_data/north_europ_M03_Pride_Face_Forward",75.33,0,0,0,0,0,2.67,25.33
"54","raw_data/north_europ_M03_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"55","raw_data/north_europ_M03_Joy_Face_Forward",80,0,0,0,0,0,0,21.33
"56","raw_data/north_europ_M03_Fear_Face_Forward",0,0,0,80.67,0,0,0,21.33
"57","raw_data/north_europ_M03_Embarrass_Face_Forward",0,4.67,0,0,0,0,64.67,100
"58","raw_data/north_europ_M03_Disgust_Face_Forward",0,0,0,0,80.67,0,0,19.33
"59","raw_data/north_europ_M03_Contempt_Face_Forward",0,0,0,0,0,0,78.67,100
"60","raw_data/north_europ_M03_Anger_Face_Forward",0,77.33,0,0,0,0,0,24
