#Study : FACET-ADFES_ext
#Date : 20171222 11:38:31
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:50.541 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750621	80			0	80	1	197	149	294	294	-5.531324	0	-1.970269	0	-0.4903022	0	-0.55178	0	-1.355256	0	-2.851674	0	-1.195678	0	-0.8365902	0	-1.397537	0	1.738952	0	-5.531324	0	-0.55178	0	-0.1383217	-0.2569459	-0.1393277	-0.8364712	-1.328056	-0.910657	-3.465475	-1.938635	-2.595114	-2.317283	-1.132925	-1.266427	-0.4336753	-1.329368	-1.028733	-1.65736	-1.417836	-1.613362	-3.953458	-0.8565001						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750661	120			1	120	1	197	149	294	294	-5.624943	0	-1.95241	0	-0.539319	0	-0.6732298	0	-1.371926	0	-2.87007	0	-1.20857	0	-0.8286449	0	-1.37479	0	1.774483	0	-5.624943	0	-0.6732298	0	-0.1768248	-0.3204728	-0.1836366	-0.8991356	-1.375264	-0.942854	-3.452579	-1.981028	-2.671999	-2.38055	-1.140713	-1.253259	-0.4575618	-1.376875	-1.06627	-1.675243	-1.461041	-1.659356	-4.034499	-0.8076189						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750701	160			2	160	1	197	149	294	294	-5.558848	0	-1.99951	0	-0.6323196	0	-0.596643	0	-1.295002	0	-3.032421	0	-1.218016	0	-0.7740489	0	-1.301244	0	1.812732	0	-5.558848	0	-0.596643	0	-0.1114111	-0.2710984	-0.1169267	-0.8933392	-1.292684	-0.9078798	-3.531443	-2.027861	-2.620916	-2.319782	-1.177169	-1.312117	-0.4890459	-1.390558	-1.087312	-1.619028	-1.558799	-1.740553	-3.945563	-0.8973158						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750741	200			3	200	1	198	149	294	294	-5.479053	0	-1.977716	0	-0.6172934	0	-0.6535861	0	-1.207353	0	-2.99295	0	-1.294093	0	-0.7837467	0	-1.268043	0	1.811492	0	-5.479053	0	-0.6535861	0	-0.1547941	-0.3258012	-0.1584394	-0.9563144	-1.335955	-0.9626073	-3.511913	-2.011227	-2.624318	-2.317008	-1.230005	-1.331819	-0.5312579	-1.369985	-1.132427	-1.643962	-1.550966	-1.744781	-3.992652	-0.7526569						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750781	240			4	240	1	198	149	294	294	-5.328238	0	-2.041987	0	-0.650513	0	-0.6702294	0	-1.182928	0	-3.027764	0	-1.279444	0	-0.8378329	0	-1.295141	0	1.80832	0	-5.328238	0	-0.6702294	0	-0.1302814	-0.2968626	-0.1703289	-0.9422321	-1.293128	-0.9109334	-3.541459	-1.999888	-2.541193	-2.26337	-1.151369	-1.299066	-0.4896449	-1.31803	-1.112438	-1.578492	-1.569843	-1.729944	-3.920099	-0.7921618						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750821	280			5	280	1	197	149	293	293	-5.338558	0	-1.981491	0	-0.5805867	0	-0.6904096	0	-1.2082	0	-2.849838	0	-1.246454	0	-0.8624678	0	-1.333759	0	1.740296	0	-5.338558	0	-0.6904096	0	-0.1593756	-0.321297	-0.162444	-0.9389949	-1.347104	-0.9455524	-3.417901	-1.94685	-2.545594	-2.270586	-1.126121	-1.27054	-0.4978426	-1.29294	-1.06091	-1.607266	-1.46861	-1.642007	-3.931668	-0.787115						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750861	320			6	320	1	198	150	293	293	-5.342238	0	-2.070576	0	-0.4926635	0	-0.5694825	0	-1.201126	0	-2.892612	0	-1.245007	0	-1.00828	0	-1.466605	0	1.754183	0	-5.342238	0	-0.5694825	0	-0.1145402	-0.2400044	-0.184185	-0.8756058	-1.333028	-0.9552957	-3.507242	-1.962064	-2.527379	-2.235963	-1.112806	-1.267749	-0.5169895	-1.281449	-1.031799	-1.608901	-1.473395	-1.637369	-3.958816	-0.7578945						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750901	360			7	360	1	198	150	292	292	-5.233211	0	-2.005975	0	-0.5700923	0	-0.8213697	0	-1.138387	0	-2.780367	0	-1.314317	0	-0.9326569	0	-1.377912	0	1.763797	0	-5.233211	0	-0.8213697	0	-0.2331433	-0.3697775	-0.240466	-0.9605944	-1.362298	-0.9812349	-3.400853	-1.930403	-2.520192	-2.254245	-1.11266	-1.263332	-0.5617072	-1.232085	-1.07548	-1.618136	-1.461884	-1.623837	-3.935832	-0.7329021						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750941	400			8	400	1	197	149	294	294	-5.410107	0	-1.980572	0	-0.6311681	0	-0.7354726	0	-1.237873	0	-2.930857	0	-1.276686	0	-0.7983108	0	-1.315078	0	1.789806	0	-5.410107	0	-0.7354726	0	-0.2028282	-0.3653043	-0.1908813	-0.9533673	-1.346315	-0.9454536	-3.505338	-2.014396	-2.599913	-2.310606	-1.18434	-1.305416	-0.4669045	-1.299034	-1.103373	-1.621549	-1.50618	-1.692181	-3.974278	-0.8025612						
FACET-ADFES_ext	20171222	north europ M12-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160750981	440			9	440	1	197	149	294	294	-5.4393	0	-1.986717	0	-0.6059687	0	-0.6098074	0	-1.248369	0	-2.976876	0	-1.267849	0	-0.7951781	0	-1.30572	0	1.793179	0	-5.4393	0	-0.6098074	0	-0.1362658	-0.2834008	-0.1301263	-0.8920725	-1.275016	-0.9072213	-3.452711	-2.013777	-2.579523	-2.280927	-1.185798	-1.311632	-0.5196891	-1.297236	-1.074202	-1.625072	-1.483927	-1.671959	-3.921759	-0.7723899						
