#Study : FACET-ADFES_ext
#Date : 20171222 11:38:34
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:35.369 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735449	80			0	80	1	194	174	299	299	-3.648145	0	-3.324742	0	-1.924393	0	-0.8541299	0	-0.7738127	0	-2.879337	0	-0.8227485	0	-2.341066	0	-2.881206	0	2.193371	0	-3.648145	0	-0.7738127	0	-0.2794131	-0.5328664	-0.9097684	-0.7962765	-1.829812	-1.373515	-4.213679	-1.430558	-2.19325	-1.819716	-0.8838717	-0.7244953	-0.5023639	-0.7857994	-1.103074	-1.421735	-1.507998	-1.463654	-3.389286	-2.961264						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735489	120			1	120	1	194	174	297	297	-3.559751	0	-3.272541	0	-1.885622	0	-0.8109935	0	-0.8707113	0	-2.790692	0	-0.719044	0	-2.255633	0	-2.743881	0	2.200998	0	-3.559751	0	-0.719044	0	-0.2360159	-0.5340579	-0.9215937	-0.9199762	-1.75359	-1.340312	-4.245169	-1.368944	-2.137494	-1.841463	-0.8644719	-0.8128826	-0.407565	-0.8206623	-0.9842671	-1.417432	-1.451307	-1.485936	-3.339653	-2.708379						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735529	160			2	160	1	194	175	297	297	-3.51993	0	-3.326202	0	-1.933183	0	-0.8818905	0	-0.8246711	0	-2.80547	0	-0.8365984	0	-2.400192	0	-2.861957	0	2.248796	0	-3.51993	0	-0.8246711	0	-0.3089399	-0.5779448	-0.9976581	-0.8433424	-1.827045	-1.35919	-4.30367	-1.347718	-2.163568	-1.82921	-0.9415102	-0.7756834	-0.4887791	-0.8383258	-1.144582	-1.456573	-1.492449	-1.476927	-3.454618	-2.945936						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735569	200			3	200	1	193	174	299	299	-3.731555	0	-3.262285	0	-1.881687	0	-0.8126946	0	-0.9007231	0	-2.803217	0	-0.8221393	0	-2.323652	0	-2.880064	0	2.211491	0	-3.731555	0	-0.8126946	0	-0.2807687	-0.5273414	-0.9304674	-0.8025654	-1.733324	-1.299976	-4.196784	-1.372176	-2.219188	-1.854964	-0.9259099	-0.7574639	-0.5224237	-0.8351554	-1.143854	-1.469334	-1.495309	-1.462322	-3.55029	-2.778177						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735609	240			4	240	1	192	174	299	299	-3.734907	0	-3.208421	0	-2.009475	0	-0.9609956	0	-0.8745363	0	-2.723904	0	-0.7278537	0	-2.202598	0	-2.770257	0	2.217359	0	-3.734907	0	-0.7278537	0	-0.2554769	-0.5267174	-0.9078766	-0.9182404	-1.725755	-1.297933	-4.102568	-1.393082	-2.19897	-1.839429	-0.8101174	-0.6754302	-0.4563569	-0.8306259	-1.029465	-1.394911	-1.458613	-1.419207	-3.37445	-2.882412						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735649	280			5	280	1	194	174	298	298	-3.722351	0	-3.282664	0	-2.032599	0	-0.9402422	0	-0.9457567	0	-2.89795	0	-0.8490222	0	-2.278159	0	-2.793026	0	2.286444	0	-3.722351	0	-0.8490222	0	-0.3623049	-0.5973312	-0.9844071	-0.8790874	-1.843042	-1.344003	-4.345646	-1.473464	-2.257004	-1.901028	-0.9198407	-0.827145	-0.4702308	-0.8712249	-1.103565	-1.469874	-1.561777	-1.535912	-3.454658	-2.890588						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735689	320			6	320	1	192	173	300	300	-3.807307	0	-3.272182	0	-2.014427	0	-1.175319	0	-0.8188909	0	-2.723044	0	-0.7407736	0	-2.243742	0	-2.855363	0	2.245805	0	-3.807307	0	-0.7407736	0	-0.2523852	-0.4997637	-0.8653207	-0.8534034	-1.71109	-1.271773	-3.99907	-1.426675	-2.228077	-1.804799	-0.8129457	-0.5865899	-0.3749323	-0.9161155	-1.091252	-1.339234	-1.445313	-1.359533	-3.3424	-3.055565						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735729	360			7	360	1	193	174	299	299	-3.549173	0	-3.205855	0	-1.967786	0	-0.9256463	0	-0.8199003	0	-2.818021	0	-0.8631969	0	-2.18474	0	-2.720102	0	2.248764	0	-3.549173	0	-0.8199003	0	-0.3388525	-0.5472976	-0.9516151	-0.8886343	-1.696362	-1.307983	-4.212943	-1.435557	-2.135573	-1.842437	-0.9459072	-0.8232926	-0.5030774	-0.8243163	-1.084994	-1.461503	-1.492337	-1.491425	-3.440685	-2.869306						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735769	400			8	400	1	193	174	299	299	-3.581488	0	-3.174781	0	-1.987844	0	-0.8513001	0	-0.7878098	0	-2.765186	0	-0.8656025	0	-2.224411	0	-2.716057	0	2.24346	0	-3.581488	0	-0.7878098	0	-0.3377952	-0.5477858	-0.9613394	-0.8535061	-1.726549	-1.321797	-4.146764	-1.401297	-2.156986	-1.818137	-0.901476	-0.7626781	-0.5338054	-0.7876129	-1.044147	-1.426617	-1.480205	-1.452121	-3.330299	-2.866139						
FACET-ADFES_ext	20171222	north europ M11-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160735809	440			9	440	1	193	174	299	299	-3.433981	0	-3.162261	0	-1.906486	0	-0.7430094	0	-0.7480564	0	-2.724411	0	-0.8966879	0	-2.279359	0	-2.761521	0	2.218113	0	-3.433981	0	-0.7430094	0	-0.3410043	-0.5309382	-0.9620948	-0.81848	-1.674823	-1.292068	-4.177984	-1.346887	-2.0972	-1.786632	-0.9365076	-0.791424	-0.5695139	-0.7348975	-1.059406	-1.44737	-1.421299	-1.403994	-3.31121	-2.838539						
