#Study : FACET-ADFES_ext
#Date : 20171222 11:38:39
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:17.470 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717550	80			0	80	1	184	149	305	305	-3.508192	0	-1.01399	0	-2.300322	0	-1.713901	0	-0.6554134	0	-1.850594	0	-3.156904	0	-0.6582158	0	-0.766746	0	2.096345	0	-3.508192	0	-0.6554134	0	-1.119043	-0.7425437	-1.147684	-0.08499521	-1.742503	-0.746306	-3.517556	-1.66124	-1.950088	-1.42189	-2.38242	-2.202665	-2.369687	-1.131411	-2.000348	-1.808861	-2.257195	-2.150184	-3.109558	-2.728186						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717590	120			1	120	1	183	149	307	307	-3.633987	0	-1.047606	0	-2.312993	0	-1.782765	0	-0.7826495	0	-1.824012	0	-3.156162	0	-0.7324069	0	-0.9041402	0	2.183782	0	-3.633987	0	-0.7826495	0	-1.123842	-0.7332036	-1.15634	-0.05179802	-1.836251	-0.7490057	-3.615306	-1.667248	-2.001817	-1.499311	-2.325857	-2.175328	-2.365101	-1.259993	-1.994349	-1.781052	-2.291751	-2.198372	-3.201417	-2.915103						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717630	160			2	160	1	184	149	307	307	-3.387032	0	-1.071883	0	-2.353483	0	-1.64556	0	-0.6410749	0	-1.892835	0	-3.09482	0	-0.7016434	0	-0.839511	0	2.119534	0	-3.387032	0	-0.6410749	0	-1.139353	-0.732383	-1.154343	-0.009600976	-1.824137	-0.7692973	-3.631347	-1.67082	-1.935999	-1.4215	-2.373139	-2.196994	-2.504149	-1.16991	-1.98359	-1.760514	-2.25291	-2.147087	-3.167441	-2.908527						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717670	200			3	200	1	184	149	307	307	-3.334563	0	-1.013828	0	-2.405311	0	-1.593028	0	-0.6441366	0	-1.873555	0	-3.068677	0	-0.5720862	0	-0.7189271	0	2.058504	0	-3.334563	0	-0.6441366	0	-1.133332	-0.7480727	-1.091565	-0.03247974	-1.759011	-0.7138133	-3.526001	-1.664143	-1.913981	-1.399816	-2.40304	-2.207482	-2.502907	-1.07748	-1.979164	-1.734894	-2.225037	-2.132883	-3.066267	-2.829374						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717710	240			4	240	1	183	149	307	307	-3.470868	0	-0.9401028	0	-2.41605	0	-1.740332	0	-0.6972673	0	-1.784196	0	-3.035696	0	-0.518337	0	-0.722025	0	2.045745	0	-3.470868	0	-0.6972673	0	-1.160361	-0.7637723	-1.084915	0.0008550743	-1.699665	-0.6561607	-3.459704	-1.642298	-1.948883	-1.475443	-2.361104	-2.217134	-2.463973	-1.220796	-2.006354	-1.777374	-2.257521	-2.203336	-3.281379	-2.77655						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717750	280			5	280	1	183	149	307	307	-3.548833	0	-1.015519	0	-2.334172	0	-1.720159	0	-0.7549939	0	-1.737545	0	-3.153773	0	-0.733331	0	-0.9097534	0	2.139821	0	-3.548833	0	-0.7549939	0	-1.102767	-0.7219558	-1.118238	-0.007757739	-1.788235	-0.7319415	-3.535852	-1.577535	-1.96599	-1.468696	-2.297177	-2.186861	-2.398954	-1.174583	-1.999052	-1.792963	-2.270877	-2.215873	-3.209102	-2.891366						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717790	320			6	320	1	184	149	307	307	-3.486597	0	-0.9434767	0	-2.419419	0	-1.717258	0	-0.6602883	0	-1.858269	0	-3.09085	0	-0.5768189	0	-0.7226973	0	2.043119	0	-3.486597	0	-0.6602883	0	-1.149985	-0.7717963	-1.064837	-0.04313254	-1.789597	-0.7301292	-3.475838	-1.656966	-1.942196	-1.43179	-2.385371	-2.158531	-2.395104	-1.055182	-1.984139	-1.753254	-2.237467	-2.173121	-3.063096	-2.76306						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717830	360			7	360	1	184	149	306	306	-3.5068	0	-0.9809861	0	-2.369827	0	-1.674591	0	-0.6513193	0	-1.935596	0	-3.10684	0	-0.6091443	0	-0.7453306	0	2.066419	0	-3.5068	0	-0.6513193	0	-1.16385	-0.7677374	-1.093274	-0.02650038	-1.799917	-0.7400679	-3.552439	-1.723496	-1.952285	-1.441389	-2.396888	-2.190167	-2.436769	-1.110432	-1.990326	-1.767636	-2.269839	-2.179485	-3.154267	-2.783816						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717870	400			8	400	1	183	149	308	308	-3.428137	0	-1.001434	0	-2.387733	0	-1.758784	0	-0.7012563	0	-1.886736	0	-3.097749	0	-0.6048121	0	-0.7899871	0	2.092543	0	-3.428137	0	-0.7012563	0	-1.165025	-0.7692021	-1.086897	-0.02234776	-1.8159	-0.713834	-3.579929	-1.658893	-1.943525	-1.459104	-2.322882	-2.185683	-2.464223	-1.190623	-1.994326	-1.752575	-2.285407	-2.213164	-3.226265	-2.761877						
FACET-ADFES_ext	20171222	north europ M06-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160717910	440			9	440	1	184	149	307	307	-3.447065	0	-0.9762517	0	-2.418003	0	-1.688319	0	-0.6633005	0	-1.852028	0	-3.07259	0	-0.5920811	0	-0.7441925	0	2.035176	0	-3.447065	0	-0.6633005	0	-1.1459	-0.7618738	-1.070409	-0.04065489	-1.763588	-0.7196537	-3.4886	-1.635757	-1.923687	-1.425807	-2.342393	-2.152246	-2.432121	-1.06845	-1.979789	-1.747716	-2.247053	-2.168886	-3.130104	-2.737946						
