#Study : FACET-ADFES_ext
#Date : 20171222 11:38:42
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:10.700 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710780	80			0	80	1	210	182	292	292	-5.387389	0	-2.76317	0	-2.018416	0	-1.641212	0	-1.813783	0	-2.342679	0	-1.208868	0	-1.86992	0	-2.682153	0	2.82149	0	-5.387389	0	-1.208868	0	-0.9066718	-1.014624	-0.8849271	-0.6182824	-2.075057	-1.480474	-4.379982	-1.270427	-3.05929	-2.278594	-1.059431	-1.879884	-2.117535	-1.095714	-2.419917	-2.074505	-2.037408	-2.424556	-4.271949	-3.829419						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710820	120			1	120	1	210	182	292	292	-5.539154	0	-2.803074	0	-2.053722	0	-1.716999	0	-1.890073	0	-2.372187	0	-1.274087	0	-1.94498	0	-2.793046	0	2.876834	0	-5.539154	0	-1.274087	0	-0.9572406	-0.9978904	-0.906996	-0.5742865	-2.099534	-1.483318	-4.410327	-1.308748	-3.121825	-2.359537	-0.9939314	-1.840907	-2.11939	-1.111605	-2.391245	-2.054302	-2.135223	-2.508996	-4.365227	-3.956514						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710860	160			2	160	1	209	182	293	293	-5.473256	0	-2.760983	0	-1.982273	0	-1.557033	0	-1.832727	0	-2.366897	0	-1.29145	0	-1.874058	0	-2.690612	0	2.865617	0	-5.473256	0	-1.29145	0	-0.9046007	-0.9659989	-0.8749799	-0.5650533	-2.136378	-1.480835	-4.40222	-1.169343	-3.114216	-2.34918	-1.223202	-1.97897	-2.309149	-1.080833	-2.514443	-2.12086	-2.036305	-2.499423	-4.363978	-3.720565						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710900	200			3	200	1	208	181	295	295	-5.313204	0	-2.672925	0	-2.142053	0	-1.638608	0	-1.800448	0	-2.158433	0	-1.30996	0	-1.965425	0	-2.714142	0	2.815577	0	-5.313204	0	-1.30996	0	-0.9791967	-0.9951964	-0.9696861	-0.4884335	-2.126807	-1.513143	-4.257699	-1.037772	-3.07249	-2.399984	-0.9944879	-1.81099	-2.192375	-1.049435	-2.379347	-2.008727	-2.006708	-2.48927	-4.355509	-4.095172						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710940	240			4	240	1	208	181	295	295	-5.110144	0	-2.720729	0	-2.17536	0	-1.661039	0	-1.778799	0	-2.229676	0	-1.312305	0	-1.9095	0	-2.641746	0	2.832173	0	-5.110144	0	-1.312305	0	-0.9626346	-1.01769	-0.9724587	-0.5158863	-1.972112	-1.4048	-4.321891	-1.137743	-3.030828	-2.38394	-1.090147	-1.897776	-2.203583	-1.005269	-2.39056	-2.045705	-1.977874	-2.443071	-4.350566	-3.968657						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160710980	280			5	280	1	209	181	295	295	-5.227032	0	-2.73144	0	-2.096686	0	-1.66212	0	-1.776143	0	-2.174193	0	-1.36215	0	-1.986704	0	-2.726255	0	2.869607	0	-5.227032	0	-1.36215	0	-0.9625438	-1.005186	-0.9770339	-0.5188541	-2.078878	-1.471765	-4.308771	-1.105579	-3.083448	-2.389158	-1.101496	-1.890579	-2.249408	-1.090717	-2.406085	-2.058593	-2.007189	-2.480525	-4.380715	-4.131687						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160711020	320			6	320	1	209	181	294	294	-5.311956	0	-2.759838	0	-1.94603	0	-1.58341	0	-1.7737	0	-2.20832	0	-1.347282	0	-2.00517	0	-2.767421	0	2.864436	0	-5.311956	0	-1.347282	0	-0.9628603	-0.9814213	-0.9401403	-0.4837028	-2.152427	-1.529033	-4.293328	-1.108925	-3.091031	-2.366087	-1.160576	-1.889184	-2.234843	-1.141056	-2.437562	-2.070684	-2.001023	-2.456833	-4.336454	-4.08576						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160711060	360			7	360	1	210	182	292	292	-5.686159	0	-2.683308	0	-1.973799	0	-1.61693	0	-1.89519	0	-2.328831	0	-1.212398	0	-1.840243	0	-2.685968	0	2.82018	0	-5.686159	0	-1.212398	0	-0.9553982	-0.9924237	-0.8539227	-0.5325938	-2.134682	-1.514077	-4.279425	-1.271682	-3.161672	-2.350218	-1.068163	-1.865948	-2.136994	-1.226642	-2.413584	-2.031683	-2.109957	-2.506108	-4.36571	-3.953293						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160711100	400			8	400	1	210	182	294	294	-5.467012	0	-2.648636	0	-1.932305	0	-1.567741	0	-1.860526	0	-2.240273	0	-1.333467	0	-1.893227	0	-2.705023	0	2.852845	0	-5.467012	0	-1.333467	0	-0.9729408	-0.9947079	-0.9284166	-0.4898412	-2.095558	-1.48079	-4.283263	-1.195845	-3.113274	-2.382356	-1.173441	-1.944402	-2.226443	-1.180707	-2.468767	-2.108534	-2.030975	-2.498999	-4.390296	-3.963839						
FACET-ADFES_ext	20171222	north europ M04-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160711140	440			9	440	1	211	182	292	292	-5.496505	0	-2.675453	0	-1.915319	0	-1.522727	0	-1.810003	0	-2.216112	0	-1.155375	0	-1.780123	0	-2.632938	0	2.752182	0	-5.496505	0	-1.155375	0	-0.8746977	-0.938845	-0.7877569	-0.5230227	-2.005677	-1.456923	-4.17121	-1.159217	-3.053748	-2.26961	-1.053364	-1.866501	-2.155674	-1.130386	-2.385971	-2.023834	-2.02969	-2.436622	-4.249133	-3.653445						
