#Study : FACET-ADFES_ext
#Date : 20171222 11:38:42
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:08.237 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708317	80			0	80	1	198	157	305	305	-5.000839	0	-3.242236	0	-4.753938	0	-2.448369	0	-1.200105	0	-3.570764	0	-2.291018	0	-1.324891	0	-2.302807	0	2.717341	0	-5.000839	0	-1.200105	0	-1.467347	-1.167311	-1.508015	-1.629997	-2.138863	-0.8915082	-6.026829	-2.472938	-2.779527	-2.376821	-2.260867	-2.073923	-3.353591	-0.9917126	-2.546875	-1.937298	-2.636628	-2.424822	-4.989157	-6.715189						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708357	120			1	120	1	198	157	304	304	-5.047622	0	-3.202419	0	-4.828211	0	-2.521579	0	-1.223489	0	-3.514436	0	-2.331465	0	-1.339666	0	-2.276499	0	2.67996	0	-5.047622	0	-1.223489	0	-1.504218	-1.192963	-1.523429	-1.700814	-2.145132	-0.9017452	-5.961681	-2.490416	-2.750226	-2.370356	-2.244881	-2.036017	-3.336876	-0.9754602	-2.476075	-1.888189	-2.63502	-2.420172	-4.953083	-6.786962						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708397	160			2	160	1	198	157	305	305	-5.281015	0	-3.181069	0	-4.769708	0	-2.540033	0	-1.30456	0	-3.446571	0	-2.300457	0	-1.331621	0	-2.357022	0	2.730256	0	-5.281015	0	-1.30456	0	-1.485948	-1.161195	-1.519583	-1.642252	-2.123255	-0.8856153	-5.990154	-2.418667	-2.876875	-2.483869	-2.251193	-2.087383	-3.320463	-1.048967	-2.558612	-2.005359	-2.621417	-2.432298	-5.141007	-6.759869						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708437	200			3	200	1	198	156	306	306	-5.371692	0	-3.132933	0	-4.846734	0	-2.521833	0	-1.335325	0	-3.513267	0	-2.29263	0	-1.19067	0	-2.25887	0	2.708894	0	-5.371692	0	-1.335325	0	-1.429492	-1.146175	-1.455271	-1.721226	-2.108267	-0.8413256	-6.019666	-2.470451	-2.908872	-2.487257	-2.267741	-2.099879	-3.260327	-1.123227	-2.520838	-1.963952	-2.680631	-2.48953	-5.104148	-6.654598						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708477	240			4	240	1	199	158	304	304	-4.904405	0	-3.087319	0	-4.919692	0	-2.453797	0	-1.092504	0	-3.393754	0	-2.176653	0	-0.9650775	0	-2.051452	0	2.476237	0	-4.904405	0	-1.092504	0	-1.294361	-1.086487	-1.399778	-1.821625	-1.95422	-0.6039369	-5.962842	-2.356262	-2.625655	-2.375438	-2.162471	-2.007878	-3.034151	-0.9889969	-2.421907	-1.887622	-2.606956	-2.360447	-4.913644	-5.880105						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708517	280			5	280	1	201	160	302	302	-5.402681	0	-3.797087	0	-7.151778	0	-4.10279	0	-0.974014	0	-3.103981	0	-1.992326	0	-0.8458583	0	-2.072107	0	2.770203	0	-5.402681	0	-0.974014	0	-1.272319	-1.066067	-1.79058	-3.959381	-2.969497	-1.549977	-5.529653	-2.09257	-2.412847	-2.127795	-1.711159	-1.808464	-2.938944	-0.5486065	-2.188041	-1.661083	-2.498975	-2.055865	-4.154702	-2.353426						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708557	320			6	320	1	196	159	308	308	-5.568375	0	-3.643468	0	-7.345074	0	-3.84501	0	-1.019846	0	-2.617201	0	-1.761352	0	-0.8655111	0	-2.2019	0	2.751778	0	-5.568375	0	-1.019846	0	-1.152734	-1.047895	-1.808581	-3.839615	-2.908975	-1.494283	-5.244812	-2.088124	-2.61909	-2.414558	-2.014002	-1.881393	-3.223199	-0.687408	-2.377417	-1.973529	-2.505505	-2.415954	-4.180935	-1.983464						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708597	360			7	360	1	198	158	308	308	-5.535847	0	-3.215342	0	-6.909527	0	-4.261141	0	-1.359869	0	-2.523476	0	-1.921027	0	-0.479549	0	-1.842556	0	2.612354	0	-5.535847	0	-1.359869	0	-1.331442	-1.262431	-1.603956	-3.506937	-2.035515	-0.534989	-4.960787	-2.008566	-2.639771	-2.549199	-2.112483	-2.004493	-2.762997	-0.8743443	-2.289869	-1.948528	-2.18872	-2.182194	-4.675814	-3.522398						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708637	400			8	400	1	197	157	310	310	-5.777004	0	-2.884773	0	-5.996994	0	-3.769599	0	-1.481483	0	-2.864713	0	-2.135188	0	-0.4288805	0	-1.707839	0	2.497593	0	-5.777004	0	-1.481483	0	-1.452022	-1.316326	-1.501512	-2.670629	-1.779102	-0.1937845	-5.252569	-2.199295	-2.970887	-2.788971	-2.367208	-2.102534	-2.64167	-1.199214	-2.470934	-2.03074	-2.242007	-2.24691	-4.951619	-4.832491						
FACET-ADFES_ext	20171222	north europ M03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160708677	440			9	440	1	198	157	307	307	-5.990066	0	-3.010309	0	-5.524286	0	-3.399466	0	-1.611662	0	-3.197623	0	-2.195215	0	-0.7333253	0	-2.011972	0	2.645715	0	-5.990066	0	-1.611662	0	-1.366076	-1.254567	-1.459656	-2.200927	-1.849334	-0.3440047	-5.649127	-2.189307	-3.091702	-2.820068	-2.199795	-2.160706	-2.764645	-1.23718	-2.445956	-2.109874	-2.429102	-2.366009	-5.45045	-5.896631						
