#Study : FACET-ADFES_ext
#Date : 20171222 11:38:43
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:06.653 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706733	80			0	80	1	211	145	297	297	-5.40348	0	-2.634786	0	-4.506584	0	-2.325747	0	-1.143089	0	-3.00177	0	-2.180504	0	-0.9605742	0	-1.964846	0	2.344889	0	-5.40348	0	-1.143089	0	-1.359737	-1.093769	-1.304113	-1.48705	-1.943786	-0.6530063	-5.433771	-2.07303	-2.749623	-2.481349	-2.128598	-1.818556	-3.095507	-0.9981145	-2.596769	-1.854593	-2.626114	-2.631264	-5.220019	-6.123329						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706773	120			1	120	1	209	144	300	300	-5.866718	0	-2.236139	0	-4.288583	0	-2.435024	0	-1.389347	0	-2.520557	0	-2.12874	0	-0.7205679	0	-1.784777	0	2.336746	0	-5.866718	0	-1.389347	0	-1.394139	-1.071347	-1.301458	-1.388437	-1.834442	-0.53935	-5.04042	-1.905742	-2.90789	-2.713387	-2.250489	-1.935315	-2.808369	-1.382285	-2.803246	-2.039376	-2.603988	-2.70735	-5.43374	-5.730717						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706813	160			2	160	1	210	145	299	299	-6.37531	0	-2.253196	0	-4.593939	0	-2.769685	0	-1.529658	0	-2.651402	0	-2.081787	0	-0.6933936	0	-1.80457	0	2.35474	0	-6.37531	0	-1.529658	0	-1.409681	-1.138355	-1.297278	-1.576184	-1.855138	-0.5173608	-5.123771	-1.944083	-3.074798	-2.82544	-2.150791	-1.900438	-2.779358	-1.428227	-2.778077	-2.072387	-2.684856	-2.737213	-5.695297	-5.837416						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706853	200			3	200	1	209	145	299	299	-6.265959	0	-2.262225	0	-4.436422	0	-2.645275	0	-1.539925	0	-2.601719	0	-2.088313	0	-0.7164426	0	-1.821982	0	2.417948	0	-6.265959	0	-1.539925	0	-1.401554	-1.12369	-1.319183	-1.479951	-1.878577	-0.5574483	-5.0686	-1.912125	-3.085305	-2.826855	-2.187944	-1.93232	-2.852196	-1.424376	-2.829862	-2.148473	-2.63551	-2.723792	-5.642373	-5.888545						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706893	240			4	240	1	210	145	298	298	-6.048166	0	-2.38308	0	-4.582364	0	-2.507501	0	-1.404466	0	-2.644135	0	-2.095107	0	-0.7696269	0	-1.893079	0	2.426487	0	-6.048166	0	-1.404466	0	-1.391432	-1.115093	-1.285702	-1.441008	-1.835585	-0.5473492	-5.172962	-1.890286	-3.016883	-2.733803	-2.168583	-1.966347	-3.046167	-1.227974	-2.788449	-2.163602	-2.60592	-2.673005	-5.63401	-6.05372						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706933	280			5	280	1	209	145	299	299	-6.358626	0	-2.261703	0	-4.565305	0	-2.673434	0	-1.541617	0	-2.612881	0	-2.126916	0	-0.7202675	0	-1.843199	0	2.395184	0	-6.358626	0	-1.541617	0	-1.388745	-1.098053	-1.287737	-1.483912	-1.848844	-0.5209209	-5.113458	-1.929378	-3.116414	-2.854481	-2.177626	-1.941731	-2.93739	-1.382142	-2.802947	-2.153685	-2.614158	-2.701797	-5.672413	-5.98961						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160706973	320			6	320	1	209	145	300	300	-6.439187	0	-2.187466	0	-4.752368	0	-2.912318	0	-1.578807	0	-2.650753	0	-2.09777	0	-0.6057562	0	-1.702269	0	2.336614	0	-6.439187	0	-1.578807	0	-1.417315	-1.159793	-1.246266	-1.597278	-1.806337	-0.4365881	-5.047145	-1.944135	-3.122108	-2.865388	-2.184685	-1.93446	-2.797811	-1.508237	-2.792422	-2.094655	-2.686231	-2.736064	-5.67208	-5.943193						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160707013	360			7	360	1	210	145	297	297	-5.582723	0	-2.483757	0	-4.632769	0	-2.5019	0	-1.207179	0	-2.926783	0	-2.046642	0	-0.8662732	0	-1.893797	0	2.191042	0	-5.582723	0	-1.207179	0	-1.450329	-1.183955	-1.263084	-1.544939	-1.969466	-0.65883	-5.289631	-2.009856	-2.749716	-2.489635	-2.047347	-1.725322	-2.959457	-0.9989418	-2.560909	-1.792924	-2.623305	-2.583218	-5.195125	-6.142029						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160707053	400			8	400	1	210	145	298	298	-6.049204	0	-2.384836	0	-4.736749	0	-2.747098	0	-1.384269	0	-2.864518	0	-2.175195	0	-0.7371309	0	-1.817042	0	2.380221	0	-6.049204	0	-1.384269	0	-1.429905	-1.140755	-1.238976	-1.549317	-1.882737	-0.5702291	-5.251772	-2.006612	-2.997765	-2.675945	-2.131575	-1.911708	-3.002194	-1.293384	-2.714809	-1.983899	-2.719771	-2.725613	-5.527511	-6.190259						
FACET-ADFES_ext	20171222	north europ M03-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160707093	440			9	440	1	210	146	297	297	-5.635219	0	-2.335536	0	-4.563552	0	-2.674104	0	-1.251666	0	-2.745806	0	-2.100829	0	-0.7859104	0	-1.764253	0	2.24853	0	-5.635219	0	-1.251666	0	-1.427781	-1.171434	-1.266937	-1.569522	-1.854122	-0.5570796	-5.161756	-1.88515	-2.799582	-2.524794	-2.042386	-1.765772	-2.795346	-1.214323	-2.585541	-1.841578	-2.635063	-2.616616	-5.223029	-5.990532						
