#Study : FACET-ADFES_ext
#Date : 20171222 11:38:44
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:07:01.769 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160701849	80			0	80	1	209	163	294	294	-6.215374	0	-2.40555	0	-4.579676	0	-2.424639	0	-1.263577	0	-3.483579	0	-2.344099	0	-1.010381	0	-1.933943	0	2.485486	0	-6.215374	0	-1.263577	0	-1.501851	-1.119452	-1.288364	-1.338285	-2.159871	-0.8229541	-5.551717	-2.514451	-3.07468	-2.598511	-2.481828	-1.922534	-2.851153	-1.453839	-2.653909	-1.802343	-2.851204	-2.708487	-5.34816	-6.54474						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160701889	120			1	120	1	210	163	293	293	-6.128131	0	-2.507407	0	-4.71123	0	-2.486704	0	-1.252315	0	-3.651096	0	-2.304112	0	-0.9938396	0	-1.877597	0	2.479177	0	-6.128131	0	-1.252315	0	-1.488943	-1.174964	-1.282743	-1.44766	-2.205342	-0.7935442	-5.696542	-2.558995	-3.069284	-2.577606	-2.459456	-1.913313	-2.851083	-1.409653	-2.67785	-1.754727	-2.870278	-2.679366	-5.285391	-6.66791						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160701929	160			2	160	1	210	163	293	293	-6.044319	0	-2.550457	0	-4.748698	0	-2.547136	0	-1.223247	0	-3.761677	0	-2.320058	0	-0.9629504	0	-1.84653	0	2.480532	0	-6.044319	0	-1.223247	0	-1.553849	-1.252782	-1.314474	-1.47293	-2.233549	-0.7545592	-5.823587	-2.582872	-3.020956	-2.521132	-2.428582	-1.911714	-2.846078	-1.404797	-2.688287	-1.747244	-2.915428	-2.688349	-5.282853	-6.731516						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160701969	200			3	200	1	210	163	293	293	-5.947596	0	-2.543677	0	-4.709328	0	-2.521073	0	-1.202022	0	-3.74904	0	-2.368116	0	-0.9547669	0	-1.790765	0	2.476874	0	-5.947596	0	-1.202022	0	-1.560398	-1.256446	-1.319214	-1.519864	-2.224327	-0.7804207	-5.771098	-2.595079	-2.976925	-2.481278	-2.430437	-1.892455	-2.846631	-1.382081	-2.663443	-1.674344	-2.885574	-2.677851	-5.165123	-6.68358						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702009	240			4	240	1	210	163	294	294	-6.084249	0	-2.471	0	-4.623356	0	-2.477485	0	-1.228599	0	-3.706208	0	-2.296625	0	-0.9619715	0	-1.823689	0	2.435171	0	-6.084249	0	-1.228599	0	-1.514468	-1.197597	-1.27596	-1.434078	-2.235982	-0.7837428	-5.756804	-2.573785	-3.024551	-2.523601	-2.389046	-1.841938	-2.786932	-1.46602	-2.655111	-1.685556	-2.946129	-2.685555	-5.20508	-6.568421						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702049	280			5	280	1	210	163	292	292	-5.823939	0	-2.628054	0	-4.462026	0	-2.155725	0	-1.201435	0	-3.815438	0	-2.452412	0	-1.147402	0	-1.915962	0	2.455733	0	-5.823939	0	-1.201435	0	-1.516589	-1.137006	-1.312609	-1.383663	-2.287385	-0.9020912	-5.841262	-2.679885	-2.912029	-2.47173	-2.390931	-1.863398	-3.001439	-1.276571	-2.598665	-1.622576	-2.751524	-2.622545	-4.992028	-6.657815						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702089	320			6	320	1	210	163	293	293	-5.844367	0	-2.574042	0	-4.493947	0	-2.227827	0	-1.173821	0	-3.76524	0	-2.402032	0	-1.10592	0	-1.894557	0	2.432575	0	-5.844367	0	-1.173821	0	-1.53696	-1.175023	-1.299111	-1.389707	-2.301041	-0.8821433	-5.796989	-2.639347	-2.915366	-2.473376	-2.375415	-1.8285	-2.889574	-1.317884	-2.597329	-1.608284	-2.798289	-2.630548	-5.046751	-6.600718						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702129	360			7	360	1	209	162	294	294	-5.878287	0	-2.44967	0	-4.446151	0	-2.399212	0	-1.190123	0	-3.622109	0	-2.433846	0	-1.010384	0	-1.798336	0	2.419322	0	-5.878287	0	-1.190123	0	-1.561115	-1.210221	-1.297615	-1.434795	-2.172317	-0.7865178	-5.610476	-2.575603	-2.909821	-2.459455	-2.446145	-1.830798	-2.677399	-1.462745	-2.565578	-1.587431	-2.861639	-2.654289	-5.138074	-6.403667						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702169	400			8	400	1	209	163	293	293	-5.799051	0	-2.552949	0	-4.449724	0	-2.404917	0	-1.175208	0	-3.549011	0	-2.42432	0	-1.102527	0	-1.904711	0	2.509926	0	-5.799051	0	-1.175208	0	-1.592559	-1.209156	-1.42126	-1.403368	-2.177163	-0.7970073	-5.668979	-2.461492	-2.887898	-2.438658	-2.362671	-1.851381	-2.819394	-1.316704	-2.596798	-1.656137	-2.774822	-2.588471	-5.169563	-6.581196						
FACET-ADFES_ext	20171222	north europ M03-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160702209	440			9	440	1	209	163	293	293	-5.81807	0	-2.726154	0	-4.588588	0	-2.404515	0	-1.164634	0	-3.622384	0	-2.499162	0	-1.26151	0	-2.056376	0	2.652687	0	-5.81807	0	-1.164634	0	-1.535272	-1.12184	-1.390294	-1.419612	-2.182368	-0.8720884	-5.745951	-2.485119	-2.972074	-2.503683	-2.483229	-1.972685	-2.987689	-1.315866	-2.624326	-1.742771	-2.748828	-2.632444	-5.175765	-6.902217						
