#Study : FACET-ADFES_ext
#Date : 20171222 11:38:47
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:49.126 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649206	80			0	80	1	186	193	295	295	-2.762913	0	-0.5777683	0	-3.103381	0	-2.358901	0	-0.406583	0	-1.812822	0	-3.145969	0	-0.3128814	0	0.03825151	0	1.471274	0	-2.762913	0	-0.406583	0	-1.131594	-1.054254	-0.7152842	-1.051904	-0.5188626	0.2924019	-2.991668	-1.620283	-1.545017	-1.586539	-2.896564	-2.157503	-0.4359358	-2.049122	-1.577263	-0.7074637	-1.559018	-1.667592	-4.050803	-4.814497						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649246	120			1	120	1	187	193	294	294	-2.769632	0	-0.7013721	0	-3.082004	0	-2.383266	0	-0.258644	0	-1.923288	0	-3.146959	0	-0.3671176	0	-0.0009116321	0	1.587894	0	-2.769632	0	-0.258644	0	-1.1054	-1.020585	-0.8594978	-1.118236	-0.50372	0.2501942	-2.957571	-1.700068	-1.53716	-1.575936	-2.906652	-2.193896	-0.5634251	-2.153963	-1.702582	-0.7515084	-1.732625	-1.761597	-4.112438	-4.824818						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649286	160			2	160	1	187	193	293	293	-2.82147	0	-0.6929969	0	-3.049736	0	-2.328268	0	-0.2397846	0	-1.952222	0	-3.085752	0	-0.3350102	0	0.02608444	0	1.584588	0	-2.82147	0	-0.2397846	0	-1.082025	-1.01615	-0.8394378	-1.087186	-0.4908675	0.2511759	-2.888498	-1.712566	-1.539367	-1.538678	-2.866422	-2.172067	-0.6002724	-2.181823	-1.689354	-0.740445	-1.804825	-1.784726	-4.055737	-4.764545						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649326	200			3	200	1	187	193	293	293	-2.692571	0	-0.6751005	0	-2.936063	0	-2.305794	0	-0.235302	0	-1.815723	0	-3.159046	0	-0.3581164	0	0.01786468	0	1.552441	0	-2.692571	0	-0.235302	0	-1.109734	-1.007601	-0.8637133	-1.078733	-0.4496701	0.2652626	-2.834936	-1.630726	-1.459787	-1.5379	-2.905373	-2.162524	-0.5306728	-2.087855	-1.668362	-0.7247383	-1.674219	-1.742488	-4.040309	-4.624477						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649366	240			4	240	1	188	194	292	292	-2.578242	0	-0.6905693	0	-2.869705	0	-2.145119	0	-0.1565968	0	-1.772663	0	-3.066448	0	-0.3760072	0	0.04815693	0	1.577528	0	-2.578242	0	-0.1565968	0	-0.9920183	-0.9267864	-0.8923953	-1.067224	-0.5057539	0.1994859	-2.895419	-1.616188	-1.511804	-1.504132	-2.905443	-2.191123	-0.672731	-2.098618	-1.717994	-0.7730145	-1.736999	-1.729993	-3.880238	-4.58004						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649406	280			5	280	1	188	194	292	292	-2.686373	0	-0.6984497	0	-2.905716	0	-2.267155	0	-0.1598094	0	-1.817802	0	-3.064091	0	-0.3843138	0	0.02539702	0	1.592594	0	-2.686373	0	-0.1598094	0	-1.027497	-0.966647	-0.9042739	-1.114918	-0.4816007	0.1911752	-2.842101	-1.626338	-1.506793	-1.510062	-2.858742	-2.143358	-0.6456423	-2.114866	-1.694082	-0.7453045	-1.766991	-1.760131	-3.923011	-4.606478						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649446	320			6	320	1	189	195	291	291	-2.879045	0	-0.7743282	0	-2.944627	0	-2.235482	0	-0.05086353	0	-2.076796	0	-2.989025	0	-0.3028331	0	0.08582789	0	1.659663	0	-2.879045	0	-0.05086353	0	-1.017272	-0.947688	-0.9870176	-1.134983	-0.5284523	0.106307	-2.89835	-1.851611	-1.568566	-1.480881	-2.888352	-2.20382	-0.7179327	-2.172697	-1.75091	-0.7608823	-2.03302	-1.858827	-3.858152	-4.425418						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649486	360			7	360	1	188	194	293	293	-2.69969	0	-0.7014803	0	-3.019409	0	-2.33953	0	-0.1715201	0	-1.931312	0	-3.102562	0	-0.3292448	0	0.04247165	0	1.581848	0	-2.69969	0	-0.1715201	0	-1.080474	-1.004954	-0.8765279	-1.080003	-0.4845085	0.2348635	-2.873024	-1.738051	-1.507578	-1.524023	-2.919443	-2.202269	-0.6676145	-2.145768	-1.727204	-0.751336	-1.810444	-1.794105	-4.025955	-4.661884						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649526	400			8	400	1	187	194	293	293	-2.826869	0	-0.6478468	0	-2.950531	0	-2.241887	0	-0.3046375	0	-1.828656	0	-3.050746	0	-0.2964011	0	0.03476203	0	1.533479	0	-2.826869	0	-0.3046375	0	-1.012896	-0.970439	-0.828256	-1.093338	-0.4924871	0.237241	-2.906381	-1.66993	-1.544595	-1.586528	-2.898952	-2.214706	-0.6046415	-2.141783	-1.736178	-0.7839665	-1.733997	-1.793446	-4.141805	-4.616296						
FACET-ADFES_ext	20171222	north europ M02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160649566	440			9	440	1	188	194	293	293	-2.830711	0	-0.7187406	0	-2.92961	0	-2.239691	0	-0.2933066	0	-1.898692	0	-3.077734	0	-0.3841129	0	-0.0420284	0	1.59474	0	-2.830711	0	-0.2933066	0	-1.031365	-0.9786978	-0.8587211	-1.07849	-0.5394684	0.2028672	-2.970296	-1.702408	-1.541241	-1.573683	-2.908538	-2.236673	-0.7045052	-2.131228	-1.759134	-0.8059184	-1.734982	-1.79007	-4.131195	-4.665669						
