#Study : FACET-ADFES_ext
#Date : 20171222 11:38:48
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:45.427 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645507	80			0	80	1	196	215	282	282	-5.102351	0	-1.659143	0	-2.159813	0	-1.739952	0	-1.338899	0	-2.089492	0	-2.177675	0	-0.7165541	0	-1.635403	0	2.003446	0	-5.102351	0	-1.338899	0	-0.8899207	-0.9312293	-0.9767309	-1.341446	-0.3421548	0.09488484	-3.394647	-1.870032	-2.165891	-2.389619	-2.235457	-2.320817	-0.1849722	-1.721925	-1.715325	-1.390595	-1.492857	-1.831043	-5.393145	-4.01083						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645547	120			1	120	1	198	217	280	280	-5.081005	0	-1.657663	0	-2.160007	0	-1.643165	0	-1.122918	0	-2.249042	0	-2.160383	0	-0.7914706	0	-1.597628	0	1.964282	0	-5.081005	0	-1.122918	0	-0.7504658	-0.7045661	-1.020579	-1.251566	-0.5474322	-0.02921662	-3.575159	-1.904301	-2.19252	-2.419223	-2.413334	-2.248139	-0.1916109	-1.756041	-2.012998	-1.527877	-1.839622	-1.980682	-5.19691	-4.007295						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645587	160			2	160	1	199	217	279	279	-4.92713	0	-1.793185	0	-2.096853	0	-1.451537	0	-1.294616	0	-2.141038	0	-2.245817	0	-0.9860467	0	-1.799196	0	1.903798	0	-4.92713	0	-1.294616	0	-0.7775817	-0.8464081	-0.9891975	-1.521709	-0.6244152	-0.2127487	-3.59752	-1.695852	-2.225901	-2.378459	-2.329373	-2.232409	-0.182723	-1.480539	-1.848257	-1.622691	-1.502642	-1.895937	-4.973329	-3.928212						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645627	200			3	200	1	199	217	280	280	-5.129181	0	-1.74933	0	-2.105203	0	-1.536688	0	-1.286694	0	-2.206782	0	-2.166052	0	-0.9297053	0	-1.751134	0	1.910841	0	-5.129181	0	-1.286694	0	-0.7237409	-0.7742857	-0.9755521	-1.486132	-0.6416714	-0.1858313	-3.581003	-1.738288	-2.241184	-2.407777	-2.242186	-2.163678	-0.09479346	-1.609426	-1.83829	-1.552614	-1.617486	-1.931	-5.022603	-3.928373						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645667	240			4	240	1	198	215	281	281	-5.201244	0	-1.939622	0	-1.890335	0	-1.314542	0	-1.294087	0	-2.376689	0	-2.161719	0	-1.067718	0	-1.95549	0	2.092299	0	-5.201244	0	-1.294087	0	-0.6552395	-0.6958482	-0.9801428	-1.360958	-0.6409268	-0.2597053	-3.546077	-1.849854	-2.155245	-2.392927	-2.179816	-2.147484	0.03519921	-1.628648	-1.683362	-1.367283	-1.495584	-1.847207	-4.976643	-4.025728						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645707	280			5	280	1	199	216	279	279	-5.099505	0	-1.976048	0	-1.968204	0	-1.224683	0	-1.360776	0	-2.18182	0	-2.196626	0	-1.105611	0	-2.0297	0	1.993503	0	-5.099505	0	-1.224683	0	-0.6948609	-0.7336074	-0.9729897	-1.462058	-0.6397533	-0.3224758	-3.571774	-1.686927	-2.226478	-2.454447	-2.235228	-2.213782	-0.09953773	-1.392753	-1.743183	-1.694994	-1.277389	-1.762483	-4.900988	-3.966371						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645747	320			6	320	1	197	215	283	283	-5.302805	0	-1.78402	0	-2.010581	0	-1.661606	0	-1.268085	0	-2.349276	0	-2.186256	0	-0.8288476	0	-1.704989	0	2.094258	0	-5.302805	0	-1.268085	0	-0.7709599	-0.7968387	-1.005927	-1.295767	-0.5434146	-0.08790067	-3.46638	-1.891283	-2.144391	-2.317823	-2.094988	-2.146126	-0.05057779	-1.758077	-1.638556	-1.21562	-1.570667	-1.785671	-5.175003	-4.077298						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645787	360			7	360	1	197	215	282	282	-5.226316	0	-1.768974	0	-1.847715	0	-1.353005	0	-1.218745	0	-2.281605	0	-2.189615	0	-0.8244465	0	-1.739733	0	2.022968	0	-5.226316	0	-1.218745	0	-0.7203364	-0.6945498	-0.9856327	-1.202597	-0.5269962	-0.110909	-3.395653	-1.870813	-2.115855	-2.371137	-2.18447	-2.193561	0.02603877	-1.679074	-1.681581	-1.30167	-1.479181	-1.723645	-5.03786	-3.840708						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645827	400			8	400	1	197	215	283	283	-5.287373	0	-1.698445	0	-2.005607	0	-1.650132	0	-1.294674	0	-2.158787	0	-2.183835	0	-0.765048	0	-1.67016	0	2.033376	0	-5.287373	0	-1.294674	0	-0.8029237	-0.7947076	-1.003651	-1.302328	-0.4628628	-0.02832792	-3.385967	-1.785117	-2.134871	-2.393043	-2.127025	-2.184765	-0.03846102	-1.722936	-1.719119	-1.255958	-1.49131	-1.775246	-5.250711	-3.916399						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645867	440			9	440	1	197	215	282	282	-5.287331	0	-1.764263	0	-1.744674	0	-1.236232	0	-1.326862	0	-2.201578	0	-2.156126	0	-0.8672529	0	-1.86651	0	2.001632	0	-5.287331	0	-1.236232	0	-0.7071599	-0.6668669	-0.9389456	-1.19907	-0.5634382	-0.1792563	-3.361219	-1.832344	-2.157835	-2.458745	-2.208629	-2.183383	0.02506621	-1.634593	-1.670926	-1.412562	-1.36653	-1.719274	-5.098396	-3.82418						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645907	480			10	480	1	197	215	282	282	-5.303114	0	-1.776191	0	-1.80205	0	-1.320051	0	-1.325294	0	-2.201637	0	-2.239031	0	-0.8975976	0	-1.874314	0	2.037142	0	-5.303114	0	-1.320051	0	-0.7198235	-0.6831406	-0.9791848	-1.257179	-0.5556403	-0.1655786	-3.381368	-1.81641	-2.15973	-2.471911	-2.228746	-2.191567	0.07965782	-1.677779	-1.681738	-1.385656	-1.409216	-1.76993	-5.082239	-3.839152						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645947	520			11	520	1	197	215	280	280	-5.308148	0	-1.894458	0	-1.815641	0	-1.179244	0	-1.398588	0	-2.269758	0	-2.275828	0	-1.100558	0	-2.028705	0	2.018143	0	-5.308148	0	-1.179244	0	-0.7108802	-0.7047156	-0.9303383	-1.355583	-0.7078965	-0.3279623	-3.484822	-1.725403	-2.229097	-2.471673	-2.226367	-2.184046	-0.04486486	-1.554751	-1.715373	-1.551971	-1.314992	-1.773208	-4.938974	-3.978601						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160645987	560			12	560	1	197	215	281	281	-5.215715	0	-1.76602	0	-1.827146	0	-1.180568	0	-1.353297	0	-2.200875	0	-2.233188	0	-0.899094	0	-1.870888	0	1.981656	0	-5.215715	0	-1.180568	0	-0.7658734	-0.7129684	-0.9285634	-1.242832	-0.5484737	-0.1765112	-3.367458	-1.805188	-2.155374	-2.463844	-2.194055	-2.182852	0.02222287	-1.572499	-1.658571	-1.472453	-1.307483	-1.718074	-4.952794	-3.862953						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646027	600			13	600	1	196	216	281	281	-5.386801	0	-1.719388	0	-2.106644	0	-1.634971	0	-1.354515	0	-2.311987	0	-2.100883	0	-0.7580342	0	-1.689293	0	2.005432	0	-5.386801	0	-1.354515	0	-0.7649595	-0.7660232	-0.9832997	-1.382761	-0.4994518	-0.01445554	-3.507846	-1.915237	-2.210868	-2.456367	-2.19257	-2.201223	0.01673805	-1.729101	-1.8136	-1.373252	-1.605877	-1.875486	-5.286093	-3.917862						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646067	640			14	640	1	197	216	280	280	-5.270035	0	-1.905298	0	-1.94986	0	-1.316262	0	-1.461322	0	-2.300709	0	-2.228874	0	-1.106525	0	-1.99919	0	1.982321	0	-5.270035	0	-1.316262	0	-0.7609254	-0.788984	-0.9465991	-1.435239	-0.6884486	-0.283027	-3.643512	-1.760334	-2.331802	-2.495453	-2.255468	-2.20958	-0.1342879	-1.478148	-1.767727	-1.665959	-1.329261	-1.81801	-5.02399	-3.962833						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646107	680			15	680	1	195	215	282	282	-5.415869	0	-1.666506	0	-1.981501	0	-1.636977	0	-1.355497	0	-2.209685	0	-2.150075	0	-0.7988506	0	-1.71681	0	2.033678	0	-5.415869	0	-1.355497	0	-0.8474419	-0.8264457	-1.023552	-1.270818	-0.5053316	-0.04599047	-3.408572	-1.890277	-2.200844	-2.416052	-2.153006	-2.20312	-0.01737872	-1.784233	-1.747458	-1.313389	-1.557446	-1.83078	-5.350642	-3.925955						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646147	720			16	720	1	196	216	280	280	-5.211753	0	-1.766968	0	-2.036619	0	-1.481637	0	-1.43968	0	-2.269061	0	-2.304162	0	-0.9106904	0	-1.845237	0	1.982775	0	-5.211753	0	-1.43968	0	-0.8168998	-0.798556	-0.9910969	-1.326929	-0.4919849	-0.02405728	-3.577508	-1.901377	-2.263966	-2.498899	-2.321085	-2.334843	-0.1332178	-1.688742	-1.80751	-1.59694	-1.499661	-1.860396	-5.244998	-3.88599						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646187	760			17	760	1	195	216	281	281	-5.06953	0	-1.663703	0	-2.028942	0	-1.565951	0	-1.449411	0	-2.098587	0	-2.232601	0	-0.8193322	0	-1.762392	0	1.932022	0	-5.06953	0	-1.449411	0	-0.869372	-0.8704735	-0.9858845	-1.294319	-0.3972341	0.06922724	-3.432752	-1.821279	-2.215155	-2.450686	-2.25629	-2.315628	-0.09974906	-1.681174	-1.76226	-1.527862	-1.41971	-1.770172	-5.31745	-3.793053						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646227	800			18	800	1	196	216	280	280	-5.332764	0	-1.642941	0	-2.036122	0	-1.531887	0	-1.514392	0	-2.180745	0	-2.228186	0	-0.7894979	0	-1.776865	0	1.91913	0	-5.332764	0	-1.514392	0	-0.801439	-0.7918519	-0.9630029	-1.336218	-0.4770402	0.0312429	-3.533882	-1.85922	-2.304166	-2.528778	-2.308232	-2.338641	-0.09323232	-1.737163	-1.82408	-1.56472	-1.528098	-1.876801	-5.342904	-3.742921						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646267	840			19	840	1	196	216	282	282	-5.207584	0	-1.722413	0	-1.932732	0	-1.589603	0	-1.466752	0	-2.139517	0	-2.188054	0	-0.9907902	0	-1.848026	0	2.026007	0	-5.207584	0	-1.466752	0	-0.8213522	-0.8329887	-0.9836289	-1.424434	-0.702083	-0.2022631	-3.606827	-1.706905	-2.229394	-2.396985	-2.228019	-2.189132	-0.2635523	-1.709712	-1.849862	-1.371027	-1.521766	-1.879218	-5.254269	-3.967856						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646307	880			20	880	1	197	216	281	281	-5.305566	0	-1.772791	0	-2.092216	0	-1.569817	0	-1.513403	0	-2.364191	0	-2.29944	0	-0.9862994	0	-1.861413	0	2.028878	0	-5.305566	0	-1.513403	0	-0.7976398	-0.8450583	-0.9617224	-1.442876	-0.7674458	-0.2070186	-3.696991	-1.860303	-2.335941	-2.451633	-2.343658	-2.275032	-0.2409066	-1.705461	-1.887457	-1.491795	-1.63351	-2.006749	-5.239925	-4.109828						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646347	920			21	920	1	196	216	281	281	-5.406054	0	-1.730418	0	-2.090513	0	-1.58141	0	-1.517264	0	-2.310801	0	-2.197768	0	-0.8560532	0	-1.772359	0	1.98285	0	-5.406054	0	-1.517264	0	-0.7822475	-0.828957	-0.9475458	-1.428017	-0.6988606	-0.1608554	-3.664326	-1.868466	-2.327018	-2.452563	-2.250789	-2.261219	-0.2191654	-1.719949	-1.850382	-1.469818	-1.640259	-1.981668	-5.297789	-3.954168						
FACET-ADFES_ext	20171222	north europ M02-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160646387	960			22	960	1	195	216	282	282	-5.310656	0	-1.527238	0	-2.04956	0	-1.706576	0	-1.487109	0	-2.110567	0	-2.041133	0	-0.7619672	0	-1.611458	0	1.928866	0	-5.310656	0	-1.487109	0	-0.9464796	-0.9948993	-0.982551	-1.320059	-0.4698767	0.06667553	-3.441427	-1.80284	-2.27559	-2.388381	-2.156222	-2.188049	-0.1265321	-1.794796	-1.758915	-1.329193	-1.508399	-1.838344	-5.472028	-3.827801						
