#Study : FACET-ADFES_ext
#Date : 20171222 11:38:50
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:34.095 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634175	80			0	80	1	215	153	269	269	-6.435251	0	-2.35757	0	-3.078452	0	-1.743097	0	-1.617978	0	-1.927308	0	-1.637936	0	-0.6053261	0	-1.590981	0	1.883011	0	-6.435251	0	-1.617978	0	-1.01571	-1.18339	-0.6832666	-2.349574	-1.18906	-0.7358375	-3.776083	-1.702482	-2.372719	-2.357496	-0.9732131	-1.513469	0.00468145	-0.4371133	-0.8281413	-2.326697	-0.5425889	-0.6763991	-4.456555	-3.823471						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634215	120			1	120	1	215	153	269	269	-6.200238	0	-2.234273	0	-3.133492	0	-1.998939	0	-1.574532	0	-1.736582	0	-1.720183	0	-0.5038434	0	-1.468766	0	1.842155	0	-6.200238	0	-1.574532	0	-1.063621	-1.239523	-0.752386	-2.40242	-1.072415	-0.6548817	-3.596103	-1.671679	-2.311838	-2.344979	-1.059638	-1.511565	0.02043923	-0.4697861	-0.7974619	-2.312859	-0.5326477	-0.7217259	-4.428964	-3.703919						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634255	160			2	160	1	214	152	270	270	-6.533472	0	-2.33914	0	-3.225564	0	-1.90574	0	-1.646289	0	-1.831547	0	-1.726467	0	-0.519884	0	-1.538074	0	1.976459	0	-6.533472	0	-1.646289	0	-1.077671	-1.312118	-0.7574512	-2.427508	-1.213416	-0.752279	-3.895407	-1.634846	-2.486725	-2.466138	-1.067009	-1.622719	0.06319939	-0.4585575	-0.9719799	-2.439981	-0.5279232	-0.8042046	-4.544132	-3.85185						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634295	200			3	200	1	215	154	267	267	-6.130117	0	-2.544966	0	-2.909505	0	-1.557287	0	-1.462481	0	-2.00844	0	-1.617028	0	-0.8830985	0	-1.702469	0	1.96959	0	-6.130117	0	-1.462481	0	-0.9396931	-1.084598	-0.8294147	-2.284185	-1.278258	-0.9617061	-3.967559	-1.629279	-2.294085	-2.324919	-0.9161335	-1.571474	-0.1516425	-0.3427404	-0.8690819	-2.357502	-0.5204036	-0.7287269	-4.295272	-3.847014						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634335	240			4	240	1	215	153	269	269	-6.237691	0	-2.38482	0	-3.174433	0	-1.890874	0	-1.530296	0	-1.857021	0	-1.645289	0	-0.6450568	0	-1.544247	0	1.965713	0	-6.237691	0	-1.530296	0	-0.9958934	-1.188094	-0.7563848	-2.370246	-1.091814	-0.7492607	-3.784806	-1.638591	-2.354163	-2.371132	-0.9781576	-1.543995	-0.009478799	-0.4951042	-0.858212	-2.332711	-0.5996829	-0.8156864	-4.436462	-3.849592						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634375	280			5	280	1	215	153	268	268	-6.20506	0	-2.41417	0	-3.125962	0	-1.8833	0	-1.506866	0	-1.937717	0	-1.687013	0	-0.7076042	0	-1.572499	0	1.953917	0	-6.20506	0	-1.506866	0	-1.003887	-1.168685	-0.7827628	-2.373941	-1.138041	-0.7703241	-3.820282	-1.698008	-2.319713	-2.357912	-1.039453	-1.562986	-0.01611123	-0.513587	-0.8109419	-2.321146	-0.5729569	-0.7618255	-4.434092	-3.864797						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634415	320			6	320	1	215	153	269	269	-6.428831	0	-2.435858	0	-3.204625	0	-1.768536	0	-1.599501	0	-1.943951	0	-1.638427	0	-0.6256238	0	-1.594694	0	1.945235	0	-6.428831	0	-1.599501	0	-0.9842687	-1.210969	-0.6705745	-2.333659	-1.130188	-0.7424988	-3.905163	-1.639821	-2.431677	-2.427037	-1.034597	-1.631892	-0.04764555	-0.4250574	-0.9578713	-2.437419	-0.5409925	-0.7882809	-4.462378	-3.887527						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634455	360			7	360	1	215	154	267	267	-5.974609	0	-2.507478	0	-2.967863	0	-1.675286	0	-1.35543	0	-2.166197	0	-1.722419	0	-0.8624891	0	-1.584964	0	1.935235	0	-5.974609	0	-1.35543	0	-0.976956	-1.114649	-0.876021	-2.33151	-1.271313	-0.9219111	-4.027049	-1.821365	-2.202403	-2.339122	-1.064883	-1.660542	-0.1722301	-0.3875174	-0.7801759	-2.31463	-0.5055003	-0.7264923	-4.341171	-3.889106						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634495	400			8	400	1	215	154	269	269	-6.261319	0	-2.448862	0	-3.170722	0	-1.759527	0	-1.542451	0	-2.015135	0	-1.683281	0	-0.711028	0	-1.620552	0	1.921803	0	-6.261319	0	-1.542451	0	-1.022987	-1.210915	-0.7882278	-2.345981	-1.187639	-0.7653221	-3.97619	-1.804705	-2.347559	-2.410985	-1.05373	-1.613923	-0.05145907	-0.4525854	-0.8625305	-2.353377	-0.6020809	-0.8279495	-4.532506	-3.870066						
FACET-ADFES_ext	20171222	north europ F05-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160634535	440			9	440	1	215	154	267	267	-6.11158	0	-2.37343	0	-3.046834	0	-1.853975	0	-1.485404	0	-2.095032	0	-1.737457	0	-0.7065707	0	-1.499951	0	1.86755	0	-6.11158	0	-1.485404	0	-1.013438	-1.155014	-0.8082172	-2.376127	-1.164036	-0.7838895	-3.856117	-1.877918	-2.24584	-2.41253	-1.11551	-1.623668	-0.1646211	-0.4919158	-0.7560143	-2.283048	-0.5308104	-0.7297024	-4.414894	-3.77964						
