#Study : FACET-ADFES_ext
#Date : 20171222 11:38:52
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:20.132 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620212	80			0	80	1	195	179	275	275	-7.415707	0	-3.270983	0	-0.9319603	0	-1.377073	0	-2.923987	0	-3.419381	0	-1.520972	0	-2.341346	0	-3.910017	0	2.611444	0	-7.415707	0	-1.377073	0	-1.303665	-1.053428	-1.43577	-0.4889494	-3.382177	-1.764972	-5.281535	-2.386021	-3.193887	-2.805672	-0.7097055	-0.4590219	-0.6374986	-0.1087527	-0.9179713	-2.266749	-1.187414	-1.037575	-4.436841	-3.718669						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620252	120			1	120	1	195	179	275	275	-7.496882	0	-3.272171	0	-1.007283	0	-1.360754	0	-2.898402	0	-3.471833	0	-1.43824	0	-2.247593	0	-3.849824	0	2.54405	0	-7.496882	0	-1.360754	0	-1.333681	-1.097549	-1.366392	-0.5798445	-3.446124	-1.781556	-5.260358	-2.409148	-3.206604	-2.825475	-0.5630075	-0.4107547	-0.5231481	-0.1094371	-0.8494484	-2.220744	-1.171438	-0.9939562	-4.38458	-3.667184						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620292	160			2	160	1	195	179	275	275	-7.529145	0	-3.182222	0	-1.048979	0	-1.476924	0	-2.940073	0	-3.371892	0	-1.457767	0	-2.112542	0	-3.733255	0	2.539213	0	-7.529145	0	-1.457767	0	-1.34078	-1.109601	-1.351162	-0.5950134	-3.377812	-1.74912	-5.092234	-2.373654	-3.218906	-2.831764	-0.5710786	-0.4148613	-0.5611852	-0.133893	-0.85859	-2.206958	-1.205735	-1.046163	-4.369162	-3.564683						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620332	200			3	200	1	195	179	275	275	-7.542259	0	-3.145969	0	-1.015198	0	-1.391636	0	-2.972116	0	-3.365221	0	-1.399943	0	-2.113538	0	-3.762771	0	2.517243	0	-7.542259	0	-1.391636	0	-1.314499	-1.079628	-1.330132	-0.5065865	-3.366417	-1.693618	-5.156102	-2.386001	-3.226355	-2.857194	-0.5805951	-0.4209026	-0.6271099	-0.1106747	-0.8994984	-2.240063	-1.215258	-1.045669	-4.421676	-3.5791						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620372	240			4	240	1	196	180	275	275	-7.289919	0	-3.19272	0	-0.9052567	0	-1.193691	0	-2.833509	0	-3.439263	0	-1.473594	0	-2.315677	0	-3.809302	0	2.532786	0	-7.289919	0	-1.193691	0	-1.245795	-0.9980703	-1.362487	-0.3854482	-3.313068	-1.67776	-5.235077	-2.456049	-3.12298	-2.740454	-0.6017575	-0.4487715	-0.69081	-0.06136518	-0.8155271	-2.219797	-1.204165	-0.9954575	-4.261178	-3.643214						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620412	280			5	280	1	195	180	275	275	-7.480089	0	-3.050021	0	-0.9755751	0	-1.259285	0	-2.955055	0	-3.426676	0	-1.376984	0	-2.086059	0	-3.731151	0	2.460071	0	-7.480089	0	-1.259285	0	-1.271481	-1.062448	-1.28613	-0.3982404	-3.350564	-1.649467	-5.209157	-2.464497	-3.189394	-2.811936	-0.6437511	-0.4511995	-0.6800267	-0.04933508	-0.8820907	-2.252789	-1.202587	-1.043785	-4.41742	-3.635738						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620452	320			6	320	1	195	180	276	276	-7.430215	0	-2.91828	0	-0.7672271	0	-1.110784	0	-3.00567	0	-3.30294	0	-1.380488	0	-2.057948	0	-3.730552	0	2.391314	0	-7.430215	0	-1.110784	0	-1.244924	-1.021955	-1.264516	-0.2942954	-3.378464	-1.675399	-5.228807	-2.345951	-3.1551	-2.802907	-0.7543486	-0.4426545	-0.7211866	-0.04907021	-1.02068	-2.308936	-1.156279	-1.025111	-4.571621	-3.622857						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620492	360			7	360	1	194	179	277	277	-7.56653	0	-2.968102	0	-0.8413046	0	-1.274018	0	-3.065733	0	-3.332963	0	-1.476516	0	-2.010508	0	-3.722933	0	2.475587	0	-7.56653	0	-1.274018	0	-1.289938	-1.070454	-1.256988	-0.3955701	-3.470556	-1.780623	-5.064654	-2.310818	-3.238254	-2.799617	-0.8154911	-0.4854591	-0.5629363	-0.08153576	-0.9885105	-2.230839	-1.116013	-1.008573	-4.395103	-3.706478						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620532	400			8	400	1	193	179	279	279	-7.379041	0	-2.840874	0	-0.7197896	0	-1.049655	0	-3.086638	0	-3.215843	0	-1.431588	0	-1.988656	0	-3.725647	0	2.36742	0	-7.379041	0	-1.049655	0	-1.261769	-1.048469	-1.258287	-0.2789337	-3.555919	-1.79511	-5.180288	-2.17672	-3.180161	-2.786133	-0.8208456	-0.4511994	-0.6905918	0.07498712	-1.137651	-2.232802	-1.094995	-0.9774082	-4.429788	-3.742228						
FACET-ADFES_ext	20171222	north europ F04-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160620572	440			9	440	1	195	180	277	277	-7.50197	0	-2.8861	0	-0.6751197	0	-0.9935015	0	-3.053306	0	-3.352017	0	-1.424348	0	-2.062241	0	-3.725945	0	2.395055	0	-7.50197	0	-0.9935015	0	-1.23973	-1.017611	-1.226346	-0.2301456	-3.511457	-1.777826	-5.249574	-2.321444	-3.182321	-2.771733	-0.8104943	-0.468554	-0.7025974	-0.02211647	-1.070295	-2.294999	-1.13296	-1.002119	-4.477335	-3.667981						
