#Study : FACET-ADFES_ext
#Date : 20171222 11:38:53
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:16.724 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616804	80			0	80	1	204	182	281	281	-6.949956	0	-2.913977	0	-1.039381	0	-1.220262	0	-2.642032	0	-3.471118	0	-2.123851	0	-2.073567	0	-3.771867	0	2.859898	0	-6.949956	0	-1.220262	0	-1.309384	-0.9544779	-1.51473	-0.2308044	-2.866347	-1.521409	-5.618933	-2.45424	-3.113124	-2.894367	-1.936084	-1.334638	-1.389709	-0.2978671	-1.875323	-2.938799	-1.575124	-1.603415	-5.375512	-4.008063						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616844	120			1	120	1	204	182	281	281	-7.004555	0	-3.001669	0	-1.00694	0	-1.342545	0	-2.663754	0	-3.486949	0	-2.200194	0	-2.109307	0	-3.819408	0	2.939586	0	-7.004555	0	-1.342545	0	-1.283987	-0.9317768	-1.547631	-0.2915045	-2.844669	-1.556182	-5.493481	-2.463531	-3.141029	-2.967611	-1.966288	-1.34492	-1.260767	-0.386842	-1.78757	-2.94137	-1.540815	-1.607109	-5.334551	-3.838946						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616884	160			2	160	1	204	182	280	280	-7.088593	0	-2.996644	0	-0.8483282	0	-1.269108	0	-2.686985	0	-3.559913	0	-2.240189	0	-2.175125	0	-3.848459	0	2.945117	0	-7.088593	0	-1.269108	0	-1.288044	-0.921132	-1.513603	-0.1902687	-2.890479	-1.538838	-5.48826	-2.569197	-3.211433	-2.993232	-2.041272	-1.379251	-1.283575	-0.4259846	-1.839913	-2.963016	-1.566448	-1.636991	-5.366513	-4.003813						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616924	200			3	200	1	205	183	279	279	-7.113678	0	-2.896464	0	-0.6286389	0	-1.062045	0	-2.655627	0	-3.554008	0	-2.365691	0	-2.346793	0	-3.887796	0	2.88923	0	-7.113678	0	-1.062045	0	-1.193665	-0.770658	-1.518223	0.03348533	-2.866195	-1.48123	-5.532287	-2.623253	-3.250959	-3.036332	-2.124289	-1.382045	-1.361328	-0.5136772	-1.868396	-3.04232	-1.554503	-1.643396	-5.380683	-3.929256						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616964	240			4	240	1	205	183	278	278	-7.174882	0	-2.856001	0	-0.6394898	0	-1.181315	0	-2.681948	0	-3.470913	0	-2.366649	0	-2.301582	0	-3.794518	0	2.918462	0	-7.174882	0	-1.181315	0	-1.178725	-0.7771044	-1.431116	-0.03042356	-2.840453	-1.467256	-5.300067	-2.633567	-3.300386	-3.071989	-2.060181	-1.308574	-1.219319	-0.5661801	-1.783868	-3.021137	-1.540736	-1.638233	-5.268538	-4.01059						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617004	280			5	280	1	205	183	279	279	-7.181563	0	-2.809094	0	-0.6034586	0	-1.147661	0	-2.655574	0	-3.493573	0	-2.365717	0	-2.228324	0	-3.751464	0	2.88234	0	-7.181563	0	-1.147661	0	-1.150962	-0.7461119	-1.409815	0.02858703	-2.823008	-1.505504	-5.288147	-2.622763	-3.268921	-3.048311	-2.150073	-1.38201	-1.236629	-0.6624073	-1.801493	-3.054076	-1.593173	-1.692384	-5.325441	-3.863358						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617044	320			6	320	1	204	182	280	280	-7.130098	0	-2.753985	0	-0.7466508	0	-1.210053	0	-2.666864	0	-3.40638	0	-2.310324	0	-2.093768	0	-3.646522	0	2.880481	0	-7.130098	0	-1.210053	0	-1.247938	-0.8766594	-1.393193	-0.08942153	-2.842358	-1.555846	-5.125751	-2.520599	-3.238631	-3.028135	-2.055812	-1.342909	-1.176643	-0.5758139	-1.770224	-2.959196	-1.568467	-1.700002	-5.216503	-3.875583						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617084	360			7	360	1	205	183	279	279	-7.106963	0	-2.759954	0	-0.6746916	0	-1.067724	0	-2.675385	0	-3.405285	0	-2.315138	0	-2.234492	0	-3.736745	0	2.822622	0	-7.106963	0	-1.067724	0	-1.186662	-0.8097938	-1.397481	0.02149667	-2.795759	-1.478652	-5.252624	-2.537684	-3.24179	-3.016232	-2.044022	-1.327243	-1.243973	-0.5040854	-1.776768	-3.007753	-1.538517	-1.646651	-5.273701	-3.886231						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617124	400			8	400	1	203	182	281	281	-6.962295	0	-2.736156	0	-0.9144493	0	-1.00609	0	-2.675505	0	-3.385116	0	-2.095142	0	-1.952638	0	-3.663596	0	2.740435	0	-6.962295	0	-1.00609	0	-1.254165	-0.9428445	-1.359415	-0.08153143	-2.788182	-1.495126	-5.281746	-2.408448	-3.110988	-2.878948	-1.991697	-1.385758	-1.32771	-0.3575263	-1.828722	-2.952979	-1.504074	-1.599568	-5.326917	-3.843469						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617164	440			9	440	1	205	183	279	279	-7.136987	0	-2.683871	0	-0.6673056	0	-0.9781612	0	-2.721488	0	-3.427581	0	-2.192892	0	-2.112858	0	-3.681571	0	2.742603	0	-7.136987	0	-0.9781612	0	-1.183283	-0.8194924	-1.305958	0.07911083	-2.808179	-1.427749	-5.222907	-2.564225	-3.254761	-3.031798	-1.94313	-1.293485	-1.272828	-0.4806842	-1.815468	-2.97832	-1.545055	-1.646317	-5.277135	-3.892356						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617204	480			10	480	1	205	182	280	280	-7.051148	0	-2.800187	0	-0.7467454	0	-1.076244	0	-2.664549	0	-3.471288	0	-2.276386	0	-2.262363	0	-3.798267	0	2.822931	0	-7.051148	0	-1.076244	0	-1.258727	-0.884855	-1.428995	0.01350265	-2.887765	-1.519547	-5.348876	-2.55737	-3.211337	-2.963895	-2.038471	-1.312636	-1.253296	-0.4425739	-1.793557	-2.955422	-1.561844	-1.645823	-5.261784	-4.068135						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617244	520			11	520	1	206	182	278	278	-7.254811	0	-2.805939	0	-0.6141613	0	-1.142283	0	-2.671089	0	-3.447537	0	-2.37211	0	-2.329456	0	-3.779602	0	2.868174	0	-7.254811	0	-1.142283	0	-1.164254	-0.7792255	-1.361023	0.03556308	-2.866251	-1.483409	-5.206117	-2.64764	-3.326648	-3.066605	-1.97872	-1.278114	-1.16518	-0.5935857	-1.727098	-3.002599	-1.576526	-1.64867	-5.176662	-4.012139						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617284	560			12	560	1	204	181	281	281	-7.268255	0	-2.895023	0	-1.019724	0	-1.256491	0	-2.736415	0	-3.58304	0	-2.265531	0	-2.243652	0	-3.830227	0	2.949914	0	-7.268255	0	-1.256491	0	-1.386114	-1.044377	-1.465452	-0.153317	-3.064069	-1.662934	-5.394581	-2.575331	-3.29117	-3.002075	-2.007331	-1.296981	-1.181976	-0.3973725	-1.767586	-2.907417	-1.589546	-1.686578	-5.279675	-4.351123						
FACET-ADFES_ext	20171222	north europ F04-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160617324	600			13	600	1	204	182	280	280	-7.017283	0	-2.765392	0	-0.7660123	0	-1.027457	0	-2.703856	0	-3.475377	0	-2.122761	0	-2.239419	0	-3.836346	0	2.768258	0	-7.017283	0	-1.027457	0	-1.338226	-0.9709154	-1.387248	0.05499562	-2.963233	-1.422896	-5.534065	-2.545345	-3.252683	-2.921412	-1.900668	-1.244753	-1.326237	-0.3721645	-1.856574	-2.945829	-1.557226	-1.537118	-5.32762	-4.323671						
