#Study : FACET-ADFES_ext
#Date : 20171222 11:38:53
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:15.918 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615998	80			0	80	1	188	188	295	295	-6.175733	0	-1.688392	0	0.03943655	0	-0.1970354	0	-2.396919	0	-3.282983	0	-1.328043	0	-1.653719	0	-1.842273	0	1.375001	0	-6.175733	0	-0.1970354	0	-0.1581732	-0.1910057	-0.857125	0.1264209	-1.975658	-1.087397	-4.746183	-1.948079	-2.769133	-2.337589	-1.389737	-0.956599	-0.6235637	-1.09514	-1.261738	-1.761976	-0.8075435	-0.4668034	-4.444235	-4.404035						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616038	120			1	120	1	190	190	291	291	-6.193972	0	-1.797512	0	-0.1046515	0	0.1676843	0	-2.248581	0	-3.142499	0	-1.00454	0	-1.7289	0	-2.117326	0	1.220969	0	-6.193972	0	0.1676843	0	0.03538322	-0.008276901	-0.6868573	0.3482927	-1.739705	-1.00912	-4.622931	-1.772358	-2.708763	-2.283076	-1.103052	-0.9713675	-0.6120871	-1.085757	-1.415927	-1.926301	-0.9528265	-0.7055995	-4.459697	-4.506254						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616078	160			2	160	1	190	190	290	290	-5.90564	0	-2.016455	0	-0.06003628	0	0.3121349	0	-2.197868	0	-3.072719	0	-0.9465305	0	-1.871648	0	-2.341931	0	1.258832	0	-5.90564	0	0.3121349	0	0.09823447	0.03741233	-0.6970326	0.3649312	-1.659096	-1.016407	-4.723558	-1.675992	-2.552318	-2.200155	-1.093785	-0.9868279	-0.6024787	-0.9706759	-1.418399	-1.936207	-0.9318525	-0.7807946	-4.453086	-4.473573						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616118	200			3	200	1	190	190	291	291	-5.917159	0	-1.994516	0	-0.03763914	0	0.2883675	0	-2.214986	0	-3.079737	0	-0.9737992	0	-1.912861	0	-2.305465	0	1.269711	0	-5.917159	0	0.2883675	0	0.09978426	0.04111972	-0.7190038	0.361264	-1.727657	-1.024228	-4.808034	-1.674369	-2.587579	-2.240981	-1.131156	-1.013597	-0.6739919	-0.9352686	-1.482333	-1.963378	-0.9049199	-0.7519711	-4.478181	-4.499953						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616158	240			4	240	1	190	190	292	292	-6.673324	0	-1.914307	0	0.03814976	0	0.2027397	0	-2.579517	0	-3.345871	0	-1.487831	0	-1.992337	0	-2.396231	0	0.994203	0	-6.673324	0	0.2027397	0	0.1828894	0.2504407	-0.848141	0.6181421	-1.823543	-1.005714	-5.025516	-1.856842	-2.768195	-2.520782	-1.410729	-1.085099	-0.7564642	-1.084878	-1.523264	-2.045183	-0.8047796	-0.6177884	-4.856784	-4.496984						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616198	280			5	280	1	191	190	290	290	-6.085979	0	-1.99182	0	0.1169098	0	0.3880004	0	-2.312962	0	-3.074603	0	-1.258772	0	-2.032926	0	-2.398237	0	1.091437	0	-6.085979	0	0.3880004	0	0.1196747	0.1569367	-0.810891	0.5322533	-1.71123	-1.043865	-4.844752	-1.562571	-2.599628	-2.307453	-1.209809	-1.027682	-0.6549334	-0.9020344	-1.504143	-2.070246	-0.6882251	-0.5862948	-4.416574	-4.441022						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616238	320			6	320	1	190	190	292	292	-6.670218	0	-1.874606	0	0.1681033	0	0.3575264	0	-2.656688	0	-3.402556	0	-1.586063	0	-2.11496	0	-2.418902	0	0.92851	0	-6.670218	0	0.3575264	0	0.2016165	0.3109737	-0.8617184	0.7024676	-1.879151	-1.053017	-5.191684	-1.818107	-2.72652	-2.538244	-1.437401	-1.071107	-0.9441801	-1.003097	-1.531332	-2.076213	-0.7401353	-0.5204058	-4.760959	-4.462831						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616278	360			7	360	1	190	190	291	291	-6.193095	0	-1.988218	0	0.1961323	0	0.3328831	0	-2.392735	0	-3.102152	0	-1.273585	0	-2.061993	0	-2.419671	0	1.085872	0	-6.193095	0	0.3328831	0	0.1426447	0.2005111	-0.7973009	0.5693741	-1.76045	-1.034451	-4.931888	-1.59091	-2.635285	-2.378973	-1.242562	-1.052923	-0.7014464	-0.9424068	-1.572271	-2.098579	-0.6635251	-0.5357552	-4.534727	-4.50206						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616318	400			8	400	1	190	189	292	292	-6.014443	0	-1.893255	0	-0.1014993	0	0.09826105	0	-2.225843	0	-3.023905	0	-1.035752	0	-1.760381	0	-2.148562	0	1.364285	0	-6.014443	0	0.09826105	0	-0.0708456	-0.1182913	-0.6717288	0.1995904	-1.791404	-1.038846	-4.571411	-1.704496	-2.67168	-2.29539	-1.196872	-1.030225	-0.5811014	-1.011296	-1.433744	-1.934278	-0.8296772	-0.6153719	-4.376344	-4.50557						
FACET-ADFES_ext	20171222	north europ F03-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160616358	440			9	440	1	189	189	293	293	-6.052693	0	-1.743405	0	-0.0965578	0	-0.0214418	0	-2.250433	0	-2.974059	0	-1.171042	0	-1.66989	0	-1.976329	0	1.404551	0	-6.052693	0	-0.0214418	0	-0.1701354	-0.1808544	-0.775597	0.167297	-1.801091	-1.046473	-4.54292	-1.729395	-2.714966	-2.327106	-1.300124	-1.056125	-0.6054223	-1.03792	-1.450767	-1.890216	-0.8438073	-0.6149079	-4.436068	-4.468081						
