#Study : FACET-ADFES_ext
#Date : 20171222 11:38:53
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:14.991 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615071	80			0	80	1	211	167	273	273	-6.473985	0	-3.18658	0	-1.007094	0	-0.5865671	0	-2.230509	0	-2.906786	0	-0.9663929	0	-2.305525	0	-3.112757	0	2.185682	0	-6.473985	0	-0.5865671	0	-0.009600704	-0.1577648	-0.8272817	-0.6554445	-1.698405	-1.202018	-4.862988	-1.377414	-2.81774	-2.369255	-0.6951461	-1.281254	-0.8015733	-1.081333	-1.476328	-2.132825	-0.9618801	-1.00844	-5.023849	-4.888138						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615111	120			1	120	1	211	166	274	274	-6.209832	0	-2.970599	0	-1.053046	0	-0.5591632	0	-2.19293	0	-2.893207	0	-0.8977556	0	-2.128328	0	-2.921257	0	2.082175	0	-6.209832	0	-0.5591632	0	-0.1469882	-0.3050897	-0.8236077	-0.6649007	-1.703778	-1.187054	-4.643566	-1.387494	-2.691581	-2.25044	-0.6148395	-1.149287	-0.6402426	-0.9669543	-1.36745	-1.973474	-0.9904962	-0.9616408	-4.820926	-4.729641						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615151	160			2	160	1	210	166	275	275	-6.28743	0	-2.83351	0	-0.9937548	0	-0.5205947	0	-2.185302	0	-2.831474	0	-0.7761812	0	-1.970222	0	-2.82956	0	1.977888	0	-6.28743	0	-0.5205947	0	-0.1584922	-0.3533709	-0.7741225	-0.5583463	-1.728051	-1.204157	-4.672782	-1.394503	-2.710005	-2.241649	-0.6604758	-1.145582	-0.6023446	-1.133328	-1.447779	-1.872753	-1.080831	-1.081635	-4.888322	-4.742202						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615191	200			3	200	1	211	167	275	275	-6.437347	0	-2.850913	0	-0.8671014	0	-0.3273879	0	-2.26692	0	-2.869143	0	-0.695747	0	-2.012025	0	-2.938453	0	1.946334	0	-6.437347	0	-0.3273879	0	-0.04634278	-0.2433183	-0.7341661	-0.4141511	-1.786	-1.233487	-4.827878	-1.380194	-2.757143	-2.328816	-0.604033	-1.166708	-0.7238035	-1.041807	-1.510978	-1.95461	-0.9861376	-1.033708	-4.994428	-4.737283						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615231	240			4	240	1	210	167	275	275	-6.441073	0	-2.732744	0	-0.738448	0	-0.2354989	0	-2.282774	0	-2.863089	0	-0.7346061	0	-1.82488	0	-2.750384	0	1.823281	0	-6.441073	0	-0.2354989	0	-0.0213549	-0.1874686	-0.7108796	-0.3212573	-1.699879	-1.156236	-4.770597	-1.457931	-2.762228	-2.390163	-0.8040699	-1.189405	-0.6549949	-1.162499	-1.510851	-1.908823	-1.037549	-1.042339	-4.991261	-4.30994						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615271	280			5	280	1	211	167	273	273	-6.291982	0	-2.901093	0	-0.489708	0	-0.1502206	0	-2.19313	0	-3.015435	0	-0.7594258	0	-1.917958	0	-2.83321	0	1.881593	0	-6.291982	0	-0.1502206	0	0.09137619	-0.05625648	-0.6006145	-0.2716545	-1.672909	-1.127739	-4.847613	-1.639148	-2.837784	-2.362534	-0.9211646	-1.289523	-0.6870373	-1.253513	-1.527139	-2.110805	-0.9784881	-0.9673663	-4.796679	-4.203286						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615311	320			6	320	1	212	168	274	274	-6.520794	0	-3.238316	0	-0.6825768	0	-0.3247505	0	-2.277615	0	-3.130572	0	-0.8314842	0	-2.584373	0	-3.336581	0	2.096131	0	-6.520794	0	-0.3247505	0	0.09961628	0.008135287	-0.8897294	-0.3587784	-1.967863	-1.347039	-5.301763	-1.405557	-2.790728	-2.323361	-0.6022679	-1.117438	-0.831286	-1.04475	-1.606015	-1.941728	-1.054372	-1.072134	-5.089373	-4.971393						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615351	360			7	360	1	212	169	272	272	-6.55692	0	-3.198198	0	-0.3998902	0	-0.07333957	0	-2.215329	0	-3.003793	0	-0.9429627	0	-2.594439	0	-3.383673	0	2.041797	0	-6.55692	0	-0.07333957	0	0.1941336	0.2032197	-0.778251	-0.009754022	-1.611945	-1.07883	-5.169184	-1.57102	-2.925938	-2.490238	-0.8617879	-1.374565	-1.047467	-1.225945	-1.760061	-2.3415	-1.019913	-1.060357	-5.081295	-4.629169						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615391	400			8	400	1	211	168	275	275	-6.535246	0	-2.924746	0	-0.6496788	0	-0.1113604	0	-2.27775	0	-3.040425	0	-0.7260638	0	-2.231816	0	-3.045731	0	1.801264	0	-6.535246	0	-0.1113604	0	0.07421683	-0.0641721	-0.7821084	-0.2218845	-1.891983	-1.284489	-5.169786	-1.538121	-2.783637	-2.382631	-0.8511591	-1.19899	-0.8692526	-0.992777	-1.659346	-1.999123	-1.038691	-1.123955	-5.059089	-4.798457						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615431	440			9	440	1	212	168	275	275	-6.723789	0	-2.675568	0	-0.6501512	0	-0.1370066	0	-2.263988	0	-2.876484	0	-0.6945617	0	-1.895387	0	-2.796334	0	1.81238	0	-6.723789	0	-0.1370066	0	0.0222169	-0.1400622	-0.6545488	-0.1807619	-1.779949	-1.221508	-4.769522	-1.495523	-2.880294	-2.445142	-0.8761033	-1.20892	-0.8106544	-1.178077	-1.636609	-2.059603	-1.094855	-1.141421	-5.003998	-4.447198						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615471	480			10	480	1	213	168	274	274	-6.675552	0	-2.622503	0	-0.7394251	0	-0.210818	0	-2.283265	0	-2.975454	0	-0.6982644	0	-1.739351	0	-2.661366	0	1.911607	0	-6.675552	0	-0.210818	0	-0.01420159	-0.2136371	-0.597514	-0.2552297	-1.746516	-1.176135	-4.661535	-1.520763	-2.946716	-2.457264	-0.768604	-1.20875	-0.7320225	-1.249234	-1.515172	-2.071726	-1.124593	-1.092968	-4.910595	-4.227452						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615511	520			11	520	1	213	168	274	274	-6.655992	0	-2.794619	0	-0.6570922	0	-0.153197	0	-2.275215	0	-3.085775	0	-0.7651312	0	-1.988163	0	-2.863414	0	1.951379	0	-6.655992	0	-0.153197	0	0.07904282	-0.07100564	-0.6654179	-0.1222925	-1.772844	-1.185955	-4.871147	-1.549951	-2.93421	-2.444772	-0.8275943	-1.264522	-0.8759336	-1.20401	-1.619298	-2.116671	-1.149877	-1.152992	-4.975382	-4.377438						
FACET-ADFES_ext	20171222	north europ F03-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160615551	560			12	560	1	213	168	274	274	-6.487619	0	-2.616589	0	-0.5806953	0	-0.07465534	0	-2.213462	0	-3.07408	0	-0.7733645	0	-1.816112	0	-2.64965	0	1.868072	0	-6.487619	0	-0.07465534	0	0.04475257	-0.0932946	-0.6198142	-0.08701579	-1.680822	-1.133778	-4.75979	-1.642991	-2.915256	-2.421829	-0.9048181	-1.24477	-0.8297567	-1.295384	-1.558654	-2.088719	-1.235602	-1.157465	-4.797748	-4.104165						
