#Study : FACET-ADFES_ext
#Date : 20171222 11:38:56
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:04.323 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604403	80			0	80	1	202	174	285	285	-0.6527455	0	-1.12528	0	-2.638351	0	-0.7014361	0	-0.02453073	0	-1.410576	0	-1.173862	0	-0.4468684	0	-0.005445302	0	0.7154245	0	-0.6527455	0	-0.02453073	0	-0.6834636	-0.4341087	-0.8383979	-0.5104284	-0.6531837	-0.2442341	-3.606666	-0.7611222	-0.6005413	-0.4747673	-0.4678775	-0.6454736	-1.292799	-0.1913791	-0.6265766	-0.3858328	-1.42699	-0.9246913	-1.290177	-2.902405						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604443	120			1	120	1	202	174	285	285	-0.6874532	0	-1.093493	0	-2.585833	0	-0.6299528	0	0.01806717	0	-1.376185	0	-1.135097	0	-0.3944981	0	0.004001607	0	0.6767567	0	-0.6874532	0	0.01806717	0	-0.6514594	-0.4279872	-0.8113579	-0.46861	-0.6266485	-0.2051983	-3.553986	-0.7949511	-0.5851101	-0.4573723	-0.5083275	-0.6517393	-1.24106	-0.2067264	-0.6339473	-0.3853581	-1.45568	-0.9433089	-1.305306	-2.848173						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604483	160			2	160	1	201	173	287	287	-0.8084851	0	-0.9176715	0	-2.644904	0	-0.7219924	0	0.005158169	0	-1.354146	0	-0.9398268	0	-0.2252251	0	0.1525606	0	0.6820077	0	-0.8084851	0	0.005158169	0	-0.706624	-0.5454699	-0.768263	-0.5399904	-0.6549045	-0.2055521	-3.387151	-0.7732415	-0.6140132	-0.4205853	-0.4080006	-0.5150157	-1.048269	-0.2819051	-0.5556841	-0.2836541	-1.552869	-0.9369786	-1.236349	-2.778181						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604523	200			3	200	1	201	174	285	285	-0.6780415	0	-1.121421	0	-2.61772	0	-0.5598108	0	-0.05862017	0	-1.448445	0	-1.147187	0	-0.4055812	0	0.02099227	0	0.6733692	0	-0.6780415	0	-0.05862017	0	-0.6477177	-0.3826516	-0.8144398	-0.4052701	-0.6450315	-0.2308308	-3.666627	-0.8029798	-0.6240756	-0.4974907	-0.5104531	-0.7005084	-1.376307	-0.1392069	-0.671857	-0.4207811	-1.413833	-0.9321319	-1.365511	-2.952198						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604563	240			4	240	1	200	174	286	286	-0.7338784	0	-0.9440296	0	-2.556056	0	-0.6134242	0	0.06591546	0	-1.446665	0	-1.021809	0	-0.233717	0	0.1402625	0	0.5959812	0	-0.7338784	0	0.06591546	0	-0.6316741	-0.4314434	-0.7468911	-0.4072244	-0.6539579	-0.209035	-3.491894	-0.8642256	-0.6244178	-0.4267778	-0.5298201	-0.6067743	-1.16059	-0.2344374	-0.6385038	-0.3785594	-1.500894	-0.9281343	-1.347552	-2.720219						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604603	280			5	280	1	200	174	285	285	-0.5963873	0	-1.066203	0	-2.595964	0	-0.5962403	0	-0.009225431	0	-1.46094	0	-1.169308	0	-0.3803569	0	0.06760969	0	0.6692863	0	-0.5963873	0	-0.009225431	0	-0.6650864	-0.3960859	-0.8384047	-0.3737958	-0.6167026	-0.1975769	-3.622528	-0.8382909	-0.5979516	-0.4612444	-0.5535961	-0.697346	-1.341896	-0.168587	-0.675185	-0.4291769	-1.441277	-0.9232314	-1.342848	-2.889057						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604643	320			6	320	1	200	174	286	286	-0.542063	0	-0.982622	0	-2.724535	0	-0.7359212	0	0.04304807	0	-1.453337	0	-1.07457	0	-0.2817965	0	0.1741567	0	0.6435229	0	-0.542063	0	0.04304807	0	-0.6924695	-0.4720511	-0.828226	-0.4182045	-0.5808696	-0.1575821	-3.494766	-0.8486461	-0.5585486	-0.4335368	-0.5102558	-0.6247776	-1.214	-0.2579121	-0.6206359	-0.3858654	-1.505051	-0.9184178	-1.334122	-2.875971						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604683	360			7	360	1	200	174	285	285	-0.6171626	0	-1.045319	0	-2.641664	0	-0.6042895	0	-0.07201799	0	-1.435579	0	-1.128966	0	-0.3498986	0	0.09984688	0	0.7165766	0	-0.6171626	0	-0.07201799	0	-0.6713651	-0.4095428	-0.8232574	-0.403394	-0.5670989	-0.1666307	-3.605238	-0.801151	-0.6155134	-0.5138804	-0.5159152	-0.7243642	-1.405505	-0.1603909	-0.6959178	-0.461123	-1.392683	-0.9352711	-1.400526	-2.902891						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604723	400			8	400	1	200	174	285	285	-0.699235	0	-1.023023	0	-2.726535	0	-0.7093428	0	-0.08477807	0	-1.433429	0	-1.106395	0	-0.290718	0	0.1223581	0	0.7377697	0	-0.699235	0	-0.08477807	0	-0.7387401	-0.5064156	-0.8170874	-0.4883857	-0.6352063	-0.1942655	-3.550734	-0.790275	-0.6442862	-0.4934346	-0.5185052	-0.6966947	-1.318446	-0.1451568	-0.6693535	-0.4179425	-1.402557	-0.9334024	-1.376617	-2.971825						
FACET-ADFES_ext	20171222	north europ F02-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160604763	440			9	440	1	200	174	285	285	-0.6755347	0	-1.025959	0	-2.748659	0	-0.6591271	0	-0.1249678	0	-1.406941	0	-1.185057	0	-0.3653265	0	0.122422	0	0.7425171	0	-0.6755347	0	-0.1249678	0	-0.7245989	-0.4686901	-0.8363841	-0.4606118	-0.6508759	-0.2277125	-3.577518	-0.7664152	-0.6424748	-0.4963984	-0.5078443	-0.6998619	-1.414297	-0.1327532	-0.639893	-0.407068	-1.405174	-0.9400305	-1.313359	-3.014413						
