#Study : FACET-ADFES_ext
#Date : 20171222 11:38:57
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:03.524 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603604	80			0	80	1	199	177	282	282	-0.3616045	0	-1.285684	0	-3.47658	0	-0.947926	0	-0.08906607	0	-1.782849	0	-1.576774	0	-0.5936605	0	0.04214618	0	0.6255915	0	-0.3616045	0	-0.08906607	0	-0.9295208	-0.7473932	-0.9645138	-0.3887662	-0.4899656	-0.05002447	-3.865331	-0.9808218	-0.723369	-0.4767882	-0.8342267	-1.059411	-1.87993	-0.01694597	-0.7493648	-0.7193878	-1.519483	-1.011305	-1.662378	-3.808785						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603644	120			1	120	1	199	177	283	283	-0.3456551	0	-1.308108	0	-3.411543	0	-0.8956539	0	-0.07306199	0	-1.816165	0	-1.523699	0	-0.588325	0	0.04897101	0	0.4716079	0	-0.3456551	0	-0.07306199	0	-0.8750547	-0.7096915	-0.8665014	-0.4434704	-0.5449152	-0.09813149	-3.769723	-0.9441928	-0.6240009	-0.3803251	-0.7904391	-0.9574819	-1.623123	-0.007321627	-0.6347178	-0.5747374	-1.453237	-0.9341925	-1.40703	-3.896762						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603684	160			2	160	1	199	177	283	283	-0.2175419	0	-1.313883	0	-3.373077	0	-0.8585039	0	-0.1222349	0	-1.751243	0	-1.464338	0	-0.5819637	0	0.03945731	0	0.5124359	0	-0.2175419	0	-0.1222349	0	-0.8991863	-0.7521344	-0.9298837	-0.4063948	-0.4791765	-0.05987812	-3.812968	-0.9232209	-0.6384822	-0.4604875	-0.8353763	-1.022867	-1.713279	-0.01596761	-0.6557285	-0.6561214	-1.442441	-0.9856948	-1.608949	-3.732066						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603724	200			3	200	1	198	176	284	284	-0.3390152	0	-1.165497	0	-3.527013	0	-1.006	0	-0.1385497	0	-1.746759	0	-1.352104	0	-0.3368826	0	0.2366971	0	0.4919418	0	-0.3390152	0	-0.1385497	0	-0.8999188	-0.8575626	-0.8379009	-0.5468788	-0.4636382	-0.04748346	-3.684739	-0.9500982	-0.6819659	-0.4222667	-0.8553172	-0.9652825	-1.667975	-0.07152805	-0.6098959	-0.6175717	-1.511382	-1.012305	-1.600545	-3.739071						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603764	240			4	240	1	197	175	286	286	-0.5275077	0	-0.9502763	0	-3.778659	0	-1.082026	0	-0.1138307	0	-1.794655	0	-1.213726	0	-0.03486449	0	0.4398918	0	0.2565291	0	-0.5275077	0	-0.1138307	0	-0.9358581	-1.103279	-0.6475763	-0.6555365	-0.5281752	-0.07006267	-3.563523	-0.972989	-0.7152811	-0.3788421	-0.8504524	-0.8791697	-1.465693	-0.03992814	-0.5897762	-0.5410153	-1.567475	-1.049786	-1.639037	-4.005569						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603804	280			5	280	1	197	175	287	287	-0.511363	0	-0.9077916	0	-3.699468	0	-1.05455	0	-0.1047153	0	-1.715304	0	-1.181776	0	0.07772714	0	0.524431	0	0.3159311	0	-0.511363	0	-0.1047153	0	-0.922701	-1.076107	-0.6751969	-0.6719007	-0.4864337	-0.03180642	-3.526217	-0.9536791	-0.7026773	-0.399069	-0.8608403	-0.8815423	-1.412622	-0.05807896	-0.6038464	-0.524964	-1.582447	-1.084871	-1.614813	-3.845345						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603844	320			6	320	1	197	175	285	285	-0.4019703	0	-1.02483	0	-3.751136	0	-1.171623	0	-0.1431621	0	-1.767973	0	-1.319732	0	-0.1572129	0	0.3716117	0	0.3792344	0	-0.4019703	0	-0.1431621	0	-0.9740841	-1.061157	-0.804575	-0.6983839	-0.5503461	-0.1048331	-3.700131	-1.002331	-0.7328235	-0.4339909	-0.9106401	-0.9341865	-1.531696	-0.03767734	-0.6096144	-0.6160447	-1.565531	-1.061004	-1.669011	-3.995705						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603884	360			7	360	1	197	176	287	287	-0.2249737	0	-1.042732	0	-3.477384	0	-0.9490372	0	-0.06219613	0	-1.737585	0	-1.153876	0	-0.09229906	0	0.4192328	0	0.3803242	0	-0.2249737	0	-0.06219613	0	-0.8843375	-0.916499	-0.7930639	-0.4915898	-0.3637455	-0.01613347	-3.569207	-0.932943	-0.5794166	-0.4262499	-0.7505537	-0.9088854	-1.467548	-0.1004644	-0.6474169	-0.5967937	-1.543049	-1.081822	-1.677894	-3.687678						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603924	400			8	400	1	198	177	284	284	-0.1742847	0	-1.294182	0	-3.63868	0	-1.159021	0	-0.03691543	0	-1.920165	0	-1.444537	0	-0.494726	0	0.149965	0	0.3863918	0	-0.1742847	0	-0.03691543	0	-0.8945537	-0.7620097	-0.889825	-0.5026001	-0.3714593	0.0299329	-3.838213	-1.092922	-0.5703035	-0.432711	-0.8870137	-0.9763367	-1.679653	-0.1331487	-0.6569132	-0.6304218	-1.573733	-1.029158	-1.626224	-3.96399						
FACET-ADFES_ext	20171222	north europ F02-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160603964	440			9	440	1	196	175	289	289	-0.2430597	0	-1.045866	0	-3.310798	0	-1.152404	0	0.03141401	0	-1.542348	0	-1.059938	0	0.06484812	0	0.3384666	0	0.3275428	0	-0.2430597	0	0.03141401	0	-0.9267043	-0.9918481	-0.6819789	-0.5972897	-0.2996266	0.02701759	-3.225779	-0.9085605	-0.4826747	-0.5127031	-0.638306	-0.8275374	-1.245961	-0.05252962	-0.777573	-0.6111025	-1.419451	-1.104146	-1.798857	-3.575359						
