#Study : FACET-ADFES_ext
#Date : 20171222 11:38:57
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:06:00.772 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160600852	80			0	80	1	227	175	277	277	-2.456979	0	-1.967479	0	-1.747934	0	0.03581614	0	-0.4681295	0	-1.715924	0	-1.627556	0	-1.878913	0	-1.666152	0	1.286748	0	-2.456979	0	0.03581614	0	-0.2568112	0.2025348	-0.9557839	-0.2008712	-0.9891039	-0.5354818	-4.209876	-0.6004433	-1.016644	-1.15757	-0.3216657	-0.6655425	-1.605794	-0.2704968	-1.048401	-0.7240534	-1.214706	-1.252075	-2.654361	-3.146242						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160600892	120			1	120	1	227	175	277	277	-2.554093	0	-2.09615	0	-2.031774	0	-0.2883349	0	-0.4387549	0	-2.001263	0	-1.770944	0	-1.982074	0	-1.702721	0	1.442227	0	-2.554093	0	-0.2883349	0	-0.3431035	0.115961	-1.059453	-0.3735356	-1.111949	-0.6650095	-4.48431	-0.7645769	-1.089852	-1.114965	-0.3391839	-0.719237	-1.708077	-0.2659245	-1.041569	-0.7381061	-1.34179	-1.308532	-2.705527	-3.566453						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160600932	160			2	160	1	228	176	276	276	-2.392886	0	-2.069736	0	-1.913982	0	-0.1320456	0	-0.4835231	0	-1.801093	0	-1.760812	0	-1.982023	0	-1.75649	0	1.389539	0	-2.392886	0	-0.1320456	0	-0.2217708	0.243466	-0.9955168	-0.2354749	-1.04181	-0.6349007	-4.489277	-0.6844923	-1.044937	-1.167262	-0.400803	-0.7725877	-1.749038	-0.3119237	-1.084181	-0.8324732	-1.286124	-1.335569	-2.796059	-3.567148						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160600972	200			3	200	1	228	176	275	275	-2.342195	0	-2.058002	0	-1.919424	0	-0.1431268	0	-0.4848094	0	-1.912083	0	-1.796	0	-1.961626	0	-1.730479	0	1.404438	0	-2.342195	0	-0.1431268	0	-0.2046995	0.2576867	-0.9699528	-0.187853	-1.031551	-0.6390936	-4.543897	-0.7929885	-1.015146	-1.114388	-0.4263082	-0.7823496	-1.687229	-0.3131263	-1.062416	-0.8044447	-1.340869	-1.355401	-2.746503	-3.61402						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601012	240			4	240	1	227	176	276	276	-2.498958	0	-2.128039	0	-1.931417	0	-0.1005182	0	-0.481759	0	-1.954791	0	-1.78829	0	-2.057173	0	-1.786115	0	1.409363	0	-2.498958	0	-0.1005182	0	-0.2782261	0.1851944	-1.00713	-0.2313639	-1.118278	-0.6507559	-4.522643	-0.6869775	-1.059753	-1.120574	-0.3876614	-0.7593493	-1.746274	-0.2357514	-1.058005	-0.7761132	-1.253912	-1.293414	-2.761911	-3.641573						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601052	280			5	280	1	227	175	276	276	-2.43121	0	-2.206699	0	-1.845972	0	-0.5114073	0	-0.439696	0	-1.899385	0	-2.090112	0	-2.04464	0	-1.719215	0	1.50271	0	-2.43121	0	-0.439696	0	-0.4432681	0.0437529	-1.163056	-0.4812864	-0.9826689	-0.6260602	-4.404514	-0.8618585	-0.9841009	-1.075148	-0.4160536	-0.7341179	-1.40519	-0.2525943	-1.014684	-0.6732909	-1.393769	-1.362843	-2.601165	-3.409015						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601092	320			6	320	1	226	175	279	279	-2.496033	0	-2.012008	0	-1.898212	0	-0.4880612	0	-0.4357332	0	-1.786811	0	-1.664775	0	-1.931393	0	-1.69462	0	1.387753	0	-2.496033	0	-0.4357332	0	-0.3866897	0.06821055	-1.107289	-0.4070033	-1.069318	-0.6614591	-4.181204	-0.6727009	-1.005212	-1.094149	-0.1485437	-0.5435024	-1.436072	-0.3055802	-0.9539083	-0.7093192	-1.247903	-1.209691	-2.644698	-3.344773						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601132	360			7	360	1	227	175	276	276	-2.355493	0	-2.123145	0	-1.863124	0	-0.6396057	0	-0.4335691	0	-1.841175	0	-2.036456	0	-1.917395	0	-1.651734	0	1.505675	0	-2.355493	0	-0.4335691	0	-0.4406953	0.03772294	-1.137019	-0.5025287	-0.8935096	-0.5784885	-4.291665	-0.8949038	-0.9374741	-1.089482	-0.4119008	-0.7649821	-1.254037	-0.2893873	-0.9766346	-0.7143136	-1.394686	-1.351303	-2.645584	-3.33738						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601172	400			8	400	1	227	176	276	276	-2.483453	0	-2.085858	0	-1.988726	0	-0.2344144	0	-0.459162	0	-1.923423	0	-1.68614	0	-1.963027	0	-1.711064	0	1.407087	0	-2.483453	0	-0.2344144	0	-0.2945305	0.1330866	-1.02808	-0.347914	-1.096509	-0.6719983	-4.415668	-0.7035946	-1.05223	-1.136322	-0.3061907	-0.7097575	-1.693269	-0.2147718	-1.015926	-0.7811384	-1.262028	-1.270985	-2.74716	-3.559575						
FACET-ADFES_ext	20171222	north europ F02-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160601212	440			9	440	1	227	175	277	277	-2.446852	0	-1.96744	0	-1.779492	0	-0.285459	0	-0.454467	0	-1.734168	0	-1.639352	0	-1.758925	0	-1.537396	0	1.275191	0	-2.446852	0	-0.285459	0	-0.31937	0.1560582	-0.9554308	-0.3656702	-0.8022584	-0.463999	-4.112489	-0.7617707	-0.9735349	-1.142161	-0.3129027	-0.6343812	-1.417225	-0.3619505	-1.063156	-0.7075511	-1.325865	-1.247253	-2.674999	-3.006284						
