#Study : FACET-ADFES_ext
#Date : 20171222 11:39:00
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:53.761 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553841	80			0	80	1	203	185	292	292	-2.266593	0	-2.436498	0	-1.732467	0	-0.8136286	0	-0.4147644	0	-2.34932	0	-2.754653	0	-1.838682	0	-1.6435	0	2.333574	0	-2.266593	0	-0.4147644	0	-1.374895	-0.8020275	-1.671594	-0.8931443	-1.836889	-1.195418	-4.773805	-1.076585	-1.57657	-1.148774	-2.056382	-1.422021	-1.761958	-0.4696895	-1.455762	-1.350428	-0.9998425	-0.7558733	-3.246507	-3.846485						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553881	120			1	120	1	204	186	289	289	-2.216331	0	-2.605158	0	-1.549868	0	-0.7332157	0	-0.3603611	0	-2.551077	0	-2.737448	0	-2.125655	0	-1.860434	0	2.349413	0	-2.216331	0	-0.3603611	0	-1.25251	-0.6834484	-1.639944	-0.7997473	-1.887194	-1.191164	-4.94558	-1.131249	-1.598391	-1.088832	-2.018823	-1.402726	-1.767536	-0.4591237	-1.496361	-1.371994	-1.061457	-0.7186977	-3.146331	-3.848527						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553921	160			2	160	1	203	185	290	290	-2.220538	0	-2.497159	0	-1.785788	0	-0.9330061	0	-0.3651483	0	-2.327164	0	-2.756989	0	-1.865765	0	-1.677922	0	2.30815	0	-2.220538	0	-0.3651483	0	-1.351034	-0.7718621	-1.644403	-0.9448936	-1.721963	-1.113781	-4.785564	-1.086406	-1.598927	-1.158253	-1.969155	-1.426796	-1.643447	-0.4665002	-1.440037	-1.358862	-1.038165	-0.7630294	-3.19738	-3.850778						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553961	200			3	200	1	203	185	291	291	-2.295951	0	-2.470104	0	-1.796008	0	-0.8816251	0	-0.3732623	0	-2.390022	0	-2.729109	0	-1.887574	0	-1.664763	0	2.311741	0	-2.295951	0	-0.3732623	0	-1.355731	-0.7732222	-1.616136	-0.9093171	-1.772492	-1.152362	-4.766308	-1.061768	-1.623003	-1.137222	-2.013225	-1.407793	-1.698668	-0.4475434	-1.448972	-1.344791	-1.004484	-0.7296016	-3.192998	-3.926486						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554001	240			4	240	1	203	185	290	290	-2.323435	0	-2.525352	0	-1.69246	0	-0.8383605	0	-0.3711541	0	-2.501233	0	-2.711772	0	-1.94844	0	-1.718895	0	2.314908	0	-2.323435	0	-0.3711541	0	-1.278788	-0.723432	-1.592049	-0.8685132	-1.81944	-1.15318	-4.847525	-1.143626	-1.640671	-1.118886	-2.024978	-1.448067	-1.718655	-0.4659275	-1.494424	-1.380301	-1.060098	-0.7392435	-3.202296	-3.927458						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554041	280			5	280	1	203	185	290	290	-2.325772	0	-2.496178	0	-1.740029	0	-0.8302374	0	-0.3625707	0	-2.377343	0	-2.735314	0	-1.993127	0	-1.73624	0	2.299647	0	-2.325772	0	-0.3625707	0	-1.297453	-0.72737	-1.604581	-0.8544796	-1.797691	-1.163737	-4.778412	-1.071508	-1.662323	-1.141841	-1.99972	-1.442275	-1.706138	-0.454208	-1.480878	-1.389621	-1.047118	-0.7605671	-3.184591	-3.992078						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554081	320			6	320	1	203	185	289	289	-2.530252	0	-2.378415	0	-1.572685	0	-0.748748	0	-0.460648	0	-2.426892	0	-2.709366	0	-1.789019	0	-1.61388	0	2.287258	0	-2.530252	0	-0.460648	0	-1.290152	-0.737693	-1.58241	-0.934601	-1.817521	-1.163551	-4.776015	-1.134346	-1.613157	-1.166584	-1.918741	-1.413948	-1.607512	-0.5143255	-1.446581	-1.257222	-1.071411	-0.7586063	-3.152432	-3.617147						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554121	360			7	360	1	204	185	289	289	-2.347601	0	-2.410994	0	-1.738447	0	-0.7623875	0	-0.3635908	0	-2.399271	0	-2.734304	0	-1.931682	0	-1.666608	0	2.277095	0	-2.347601	0	-0.3635908	0	-1.303965	-0.7483037	-1.589025	-0.8050376	-1.782586	-1.142203	-4.839334	-1.131912	-1.698586	-1.152937	-2.045778	-1.514573	-1.739943	-0.4542609	-1.530794	-1.415824	-1.08079	-0.8098446	-3.187281	-4.058479						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554161	400			8	400	1	203	185	290	290	-2.282246	0	-2.433769	0	-1.78504	0	-0.91506	0	-0.3422354	0	-2.411435	0	-2.723829	0	-1.861282	0	-1.604435	0	2.286209	0	-2.282246	0	-0.3422354	0	-1.322986	-0.7545788	-1.604102	-0.9025016	-1.769806	-1.151143	-4.781615	-1.135522	-1.63506	-1.135981	-2.01549	-1.408865	-1.697574	-0.5190545	-1.465907	-1.346203	-1.11258	-0.7958919	-3.166656	-3.944536						
FACET-ADFES_ext	20171222	north europ F01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160554201	440			9	440	1	204	185	289	289	-2.490503	0	-2.495886	0	-1.745927	0	-0.8064464	0	-0.4189085	0	-2.680171	0	-2.786129	0	-1.968858	0	-1.684732	0	2.353666	0	-2.490503	0	-0.4189085	0	-1.311055	-0.7681829	-1.590354	-0.8478829	-1.934825	-1.19962	-5.038229	-1.270575	-1.735617	-1.154161	-2.067083	-1.519072	-1.765038	-0.4615366	-1.55171	-1.365049	-1.163361	-0.8431593	-3.19929	-4.082362						
