#Study : FACET-ADFES_ext
#Date : 20171222 11:39:00
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:52.211 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552291	80			0	80	1	208	190	290	290	-5.133328	0	-1.903632	0	-1.667916	0	-1.605643	0	-1.736908	0	-1.221763	0	-2.208125	0	-1.307153	0	-2.206823	0	2.226984	0	-5.133328	0	-1.221763	0	-1.942659	-1.52358	-1.713551	-1.425633	-1.616012	-1.16416	-3.888056	-0.7868583	-2.304929	-2.122618	-1.457329	-1.066315	-0.5650591	-0.6279175	-1.446392	-1.73217	-0.6894904	-0.6463802	-5.01547	-3.256906						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552331	120			1	120	1	209	191	289	289	-5.101119	0	-1.924199	0	-1.525934	0	-1.460047	0	-1.743336	0	-1.254387	0	-2.251407	0	-1.422752	0	-2.289812	0	2.213873	0	-5.101119	0	-1.254387	0	-1.882781	-1.469687	-1.66169	-1.337994	-1.623082	-1.159715	-3.910749	-0.8052196	-2.256198	-2.062413	-1.495087	-1.107588	-0.5939831	-0.5454881	-1.483567	-1.781759	-0.5988064	-0.58736	-4.952134	-3.27919						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552371	160			2	160	1	208	191	290	290	-5.102963	0	-1.857406	0	-1.592062	0	-1.547972	0	-1.750088	0	-1.180092	0	-2.200458	0	-1.284076	0	-2.215469	0	2.176494	0	-5.102963	0	-1.180092	0	-1.907717	-1.514006	-1.665747	-1.362072	-1.558969	-1.088377	-3.883278	-0.8199162	-2.268831	-2.127196	-1.52611	-1.112458	-0.4823537	-0.5990169	-1.460045	-1.792157	-0.6109052	-0.623609	-5.06293	-3.239361						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552411	200			3	200	1	208	191	290	290	-5.078382	0	-1.9911	0	-1.616799	0	-1.443747	0	-1.75877	0	-1.229059	0	-2.088893	0	-1.499001	0	-2.408168	0	2.235659	0	-5.078382	0	-1.229059	0	-1.862088	-1.427741	-1.683677	-1.336898	-1.669654	-1.201987	-3.936826	-0.7070983	-2.365485	-2.134787	-1.429223	-1.052322	-0.7604498	-0.5261849	-1.482301	-1.82122	-0.6373389	-0.6084265	-5.013375	-3.41425						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552451	240			4	240	1	209	191	288	288	-5.181558	0	-1.832583	0	-1.413278	0	-1.367979	0	-1.77651	0	-1.15338	0	-2.236712	0	-1.289111	0	-2.240139	0	2.078981	0	-5.181558	0	-1.15338	0	-1.850581	-1.489888	-1.600533	-1.337295	-1.567634	-1.077188	-3.871267	-0.8488337	-2.201375	-2.116847	-1.440177	-1.076655	-0.4291638	-0.4333249	-1.427209	-1.799285	-0.5020882	-0.586999	-4.97161	-2.968706						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552491	280			5	280	1	208	191	291	291	-5.197468	0	-1.931412	0	-1.6673	0	-1.589785	0	-1.822842	0	-1.161461	0	-2.059756	0	-1.418686	0	-2.372977	0	2.208557	0	-5.197468	0	-1.161461	0	-1.889943	-1.476629	-1.675668	-1.381109	-1.651375	-1.216321	-3.854652	-0.6470364	-2.422128	-2.176592	-1.41967	-0.9868751	-0.701669	-0.6076948	-1.471809	-1.833225	-0.6717029	-0.6236963	-5.111774	-3.368103						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552531	320			6	320	1	208	191	291	291	-5.109902	0	-1.908562	0	-1.619833	0	-1.465284	0	-1.76721	0	-1.142022	0	-2.037584	0	-1.412479	0	-2.342588	0	2.155906	0	-5.109902	0	-1.142022	0	-1.854193	-1.428888	-1.673963	-1.370152	-1.619934	-1.182395	-3.824144	-0.6810096	-2.333637	-2.12375	-1.347784	-0.9488044	-0.6326423	-0.537342	-1.416288	-1.728684	-0.6791945	-0.6014687	-4.968088	-3.265348						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552571	360			7	360	1	208	191	291	291	-5.109301	0	-1.871617	0	-1.593954	0	-1.513155	0	-1.772165	0	-1.098867	0	-2.076184	0	-1.421829	0	-2.364693	0	2.176276	0	-5.109301	0	-1.098867	0	-1.84428	-1.422988	-1.670153	-1.336548	-1.555628	-1.137191	-3.771584	-0.6604646	-2.359143	-2.153636	-1.407372	-0.9809174	-0.7146978	-0.5972635	-1.469933	-1.820259	-0.6969755	-0.6240304	-5.065826	-3.207527						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552611	400			8	400	1	209	191	290	290	-5.13336	0	-1.936715	0	-1.595414	0	-1.441831	0	-1.742982	0	-1.244649	0	-2.12273	0	-1.417323	0	-2.35346	0	2.210815	0	-5.13336	0	-1.244649	0	-1.869229	-1.444806	-1.677987	-1.332742	-1.649401	-1.160143	-3.941629	-0.8041084	-2.329199	-2.123171	-1.423055	-1.037755	-0.6225329	-0.5664501	-1.461116	-1.763276	-0.7025735	-0.6397578	-5.017898	-3.312855						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552651	440			9	440	1	208	191	291	291	-5.213422	0	-1.87986	0	-1.700081	0	-1.57942	0	-1.801909	0	-1.115685	0	-2.012364	0	-1.380715	0	-2.343954	0	2.166649	0	-5.213422	0	-1.115685	0	-1.860875	-1.447594	-1.683318	-1.377635	-1.620952	-1.166605	-3.794515	-0.7084913	-2.437955	-2.231672	-1.351874	-0.9374236	-0.683602	-0.6688856	-1.452201	-1.780806	-0.7847177	-0.6776058	-5.099177	-3.2295						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552691	480			10	480	1	208	191	292	292	-5.272197	0	-1.835577	0	-1.788768	0	-1.63985	0	-1.845014	0	-1.07103	0	-1.933236	0	-1.343348	0	-2.319404	0	2.107842	0	-5.272197	0	-1.07103	0	-1.832608	-1.445037	-1.619203	-1.413108	-1.564242	-1.125207	-3.7182	-0.6227793	-2.487334	-2.27818	-1.279048	-0.8967659	-0.7633723	-0.6870731	-1.464043	-1.822626	-0.7792306	-0.6881854	-5.150099	-3.176154						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552731	520			11	520	1	208	191	289	289	-5.075201	0	-1.782878	0	-1.635288	0	-1.598616	0	-1.690532	0	-0.9583678	0	-2.219874	0	-1.209429	0	-2.133376	0	2.099146	0	-5.075201	0	-0.9583678	0	-1.931397	-1.57592	-1.69579	-1.496964	-1.501917	-1.079632	-3.6877	-0.7396315	-2.168955	-2.145729	-1.376137	-1.0024	-0.3105446	-0.5516626	-1.379053	-1.694113	-0.5785781	-0.6405452	-4.981989	-3.076951						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552771	560			12	560	1	208	191	292	292	-5.51755	0	-1.858576	0	-1.854777	0	-1.67583	0	-1.923816	0	-1.198453	0	-1.926449	0	-1.296275	0	-2.292947	0	2.135849	0	-5.51755	0	-1.198453	0	-1.761636	-1.388994	-1.600934	-1.428183	-1.623239	-1.160171	-3.812579	-0.666477	-2.555174	-2.302672	-1.231438	-0.9055924	-0.7874367	-0.7424954	-1.473184	-1.805132	-0.8559572	-0.7390035	-5.175237	-3.270287						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552811	600			13	600	1	208	191	292	292	-5.461542	0	-1.848468	0	-1.808062	0	-1.656486	0	-1.917339	0	-1.167128	0	-1.894719	0	-1.302567	0	-2.306762	0	2.111844	0	-5.461542	0	-1.167128	0	-1.734275	-1.362169	-1.59334	-1.413725	-1.617796	-1.165273	-3.781994	-0.647907	-2.542708	-2.304895	-1.206482	-0.8815244	-0.7956215	-0.7578537	-1.447657	-1.799902	-0.8422667	-0.7203601	-5.152868	-3.238744						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552851	640			14	640	1	208	191	290	290	-5.147642	0	-1.758124	0	-1.682987	0	-1.695451	0	-1.73313	0	-1.019473	0	-2.226447	0	-1.156027	0	-2.093869	0	2.088374	0	-5.147642	0	-1.019473	0	-1.931745	-1.57952	-1.677511	-1.517698	-1.508391	-1.042553	-3.765685	-0.8174239	-2.204	-2.154392	-1.393128	-1.010397	-0.2646942	-0.6589107	-1.355147	-1.654006	-0.6393742	-0.6444644	-5.037635	-3.214765						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552891	680			15	680	1	208	191	290	290	-5.169085	0	-1.753753	0	-1.626993	0	-1.727706	0	-1.705985	0	-1.050771	0	-2.295816	0	-1.122127	0	-2.05653	0	2.117368	0	-5.169085	0	-1.050771	0	-1.914126	-1.549352	-1.684698	-1.514566	-1.48907	-1.024267	-3.788308	-0.8411593	-2.204657	-2.152088	-1.46924	-1.049317	-0.2422946	-0.6872984	-1.372428	-1.684418	-0.6413629	-0.6437935	-5.049544	-3.188915						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552931	720			16	720	1	208	190	290	290	-5.175317	0	-1.776658	0	-1.692461	0	-1.722648	0	-1.741982	0	-1.033967	0	-2.2198	0	-1.143075	0	-2.097901	0	2.119774	0	-5.175317	0	-1.033967	0	-1.910019	-1.548077	-1.676549	-1.532187	-1.514833	-1.058215	-3.740973	-0.7750497	-2.236255	-2.156548	-1.398754	-0.9907581	-0.315292	-0.670841	-1.346092	-1.658963	-0.6712756	-0.6714028	-5.044993	-3.141779						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160552971	760			17	760	1	209	190	290	290	-5.198232	0	-1.754652	0	-1.687991	0	-1.671669	0	-1.767705	0	-1.036195	0	-2.214583	0	-1.20289	0	-2.139386	0	2.093056	0	-5.198232	0	-1.036195	0	-1.957093	-1.58916	-1.677662	-1.504203	-1.526093	-1.038908	-3.827207	-0.8325064	-2.232706	-2.192876	-1.360256	-1.008457	-0.2424222	-0.6517202	-1.344395	-1.652985	-0.6347017	-0.6324463	-5.061458	-3.235642						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553011	800			18	800	1	209	191	290	290	-5.178504	0	-1.889156	0	-1.744541	0	-1.661574	0	-1.74104	0	-1.14995	0	-2.184878	0	-1.317926	0	-2.241331	0	2.185073	0	-5.178504	0	-1.14995	0	-1.973106	-1.562841	-1.698939	-1.472912	-1.597222	-1.135328	-3.871172	-0.8156585	-2.296608	-2.170872	-1.405319	-1.018226	-0.4585265	-0.6295083	-1.421889	-1.709246	-0.6952314	-0.6553321	-5.058952	-3.368765						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553051	840			19	840	1	208	190	290	290	-5.162998	0	-1.737816	0	-1.715059	0	-1.69581	0	-1.710245	0	-1.042824	0	-2.191139	0	-1.158031	0	-2.092458	0	2.073158	0	-5.162998	0	-1.042824	0	-1.933474	-1.56324	-1.66206	-1.513202	-1.517717	-1.043926	-3.776597	-0.8475254	-2.212574	-2.175891	-1.374596	-0.997606	-0.2215748	-0.6845446	-1.336549	-1.610759	-0.6739066	-0.6522303	-5.052184	-3.189481						
FACET-ADFES_ext	20171222	north europ F01-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160553091	880			20	880	1	208	190	290	290	-5.072599	0	-1.736698	0	-1.640506	0	-1.737523	0	-1.679464	0	-0.9677441	0	-2.251775	0	-1.124861	0	-2.050672	0	2.079463	0	-5.072599	0	-0.9677441	0	-1.9292	-1.567515	-1.670821	-1.541499	-1.46027	-1.009445	-3.720226	-0.7810274	-2.163796	-2.135105	-1.426717	-1.019841	-0.2153861	-0.6647995	-1.339849	-1.647269	-0.6227742	-0.6427234	-4.986614	-3.068848						
