#Study : FACET-ADFES_ext
#Date : 20171222 11:39:01
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:49.913 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160549993	80			0	80	1	201	173	289	289	-3.448782	0	-1.752112	0	-0.3434985	0	0.3697368	0	-0.4804911	0	-1.801522	0	-1.381992	0	-0.9818411	0	-1.273016	0	1.437412	0	-3.448782	0	0.3697368	0	0.006673433	0.06277385	-0.3573126	-0.3761927	-0.7108061	-0.6201661	-3.115998	-1.067091	-1.752773	-1.518756	-1.780958	-1.664297	-0.8429736	-0.8960261	-0.8905691	-1.744084	-0.974084	-1.490167	-2.615999	-0.866412						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550033	120			1	120	1	201	173	290	290	-3.329982	0	-1.73244	0	-0.3395705	0	0.3513432	0	-0.4921138	0	-1.691471	0	-1.3872	0	-0.9581018	0	-1.291936	0	1.420638	0	-3.329982	0	0.3513432	0	-0.03065997	0.02868438	-0.35112	-0.3997687	-0.6727511	-0.5952514	-3.020255	-0.9907268	-1.701413	-1.493909	-1.76215	-1.628639	-0.7907371	-0.8489771	-0.8746008	-1.748779	-0.9143863	-1.416936	-2.565477	-0.8131354						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550073	160			2	160	1	201	173	288	288	-3.753796	0	-1.702937	0	-0.2775849	0	0.5028633	0	-0.585	0	-1.718202	0	-1.367618	0	-0.9884055	0	-1.336352	0	1.472166	0	-3.753796	0	0.5028633	0	-0.03179831	0.02741806	-0.3567894	-0.3547983	-0.7478539	-0.6533343	-3.066764	-1.029152	-1.775774	-1.631806	-1.695928	-1.638313	-0.8173973	-0.8393951	-0.8941417	-1.800772	-0.8686025	-1.456689	-2.776557	-0.7996724						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550113	200			3	200	1	200	173	291	291	-3.591887	0	-1.784086	0	-0.5061486	0	0.4769168	0	-0.4892889	0	-2.002119	0	-1.266449	0	-1.04174	0	-1.421785	0	1.392984	0	-3.591887	0	0.4769168	0	0.03911747	0.03727705	-0.2903717	-0.3226009	-0.7987679	-0.6400893	-3.156457	-1.158613	-1.766582	-1.46523	-1.712095	-1.663385	-0.8168417	-0.8893529	-0.9132478	-1.699365	-0.9334102	-1.329301	-2.590634	-0.9961491						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550153	240			4	240	1	199	172	292	292	-3.329793	0	-1.702788	0	-0.5079895	0	0.4392523	0	-0.3893172	0	-1.919732	0	-1.341988	0	-0.9078469	0	-1.230094	0	1.447117	0	-3.329793	0	0.4392523	0	-0.04673474	-0.02108541	-0.3293573	-0.3544639	-0.7643302	-0.6205885	-3.069819	-1.089521	-1.732042	-1.424228	-1.800687	-1.695479	-0.7995149	-0.8192144	-0.9264675	-1.720306	-0.9302194	-1.308736	-2.37855	-0.9787631						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550193	280			5	280	1	199	172	292	292	-3.272732	0	-1.625765	0	-0.5068908	0	0.4095775	0	-0.3639639	0	-1.825731	0	-1.393882	0	-0.8690286	0	-1.189881	0	1.462192	0	-3.272732	0	0.4095775	0	-0.1037778	-0.06728843	-0.3772415	-0.3318669	-0.7325889	-0.5902488	-2.983588	-1.066549	-1.748284	-1.423102	-1.835674	-1.705763	-0.7946612	-0.773936	-0.9290204	-1.748803	-0.8974187	-1.292843	-2.402492	-0.984562						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550233	320			6	320	1	200	174	290	290	-3.446715	0	-1.744667	0	-0.2883078	0	0.5230263	0	-0.4636519	0	-1.877541	0	-1.412107	0	-1.021917	0	-1.361813	0	1.4199	0	-3.446715	0	0.5230263	0	0.01497022	0.08681684	-0.3346394	-0.2373362	-0.7579213	-0.6033772	-3.172447	-1.088049	-1.76723	-1.508054	-1.794908	-1.691964	-0.8897721	-0.8216475	-0.9408289	-1.795206	-0.9114342	-1.39762	-2.61168	-0.8912307						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550273	360			7	360	1	199	173	292	292	-3.448929	0	-1.658342	0	-0.4776908	0	0.5299289	0	-0.425683	0	-1.981972	0	-1.357287	0	-0.8589208	0	-1.269555	0	1.464877	0	-3.448929	0	0.5299289	0	-0.04690284	-0.04274861	-0.3346785	-0.2240019	-0.8092567	-0.6127022	-3.127786	-1.207017	-1.839043	-1.462641	-1.896018	-1.762793	-0.8727815	-0.8447907	-0.9777063	-1.780489	-0.8922911	-1.265438	-2.573616	-1.013013						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550313	400			8	400	1	199	174	291	291	-3.154056	0	-1.70704	0	-0.4646892	0	0.545317	0	-0.3450211	0	-1.890644	0	-1.445599	0	-0.9443887	0	-1.275181	0	1.441535	0	-3.154056	0	0.545317	0	-0.03145064	0.0006652534	-0.3710396	-0.1966995	-0.741127	-0.5754628	-3.206112	-1.14252	-1.74367	-1.430888	-1.913173	-1.791031	-1.00551	-0.7098793	-0.9738699	-1.886164	-0.8995341	-1.306842	-2.473494	-1.002013						
FACET-ADFES_ext	20171222	medit M10-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160550353	440			9	440	1	199	174	290	290	-3.291046	0	-1.693711	0	-0.3256029	0	0.5893029	0	-0.4059306	0	-1.782673	0	-1.460735	0	-1.054263	0	-1.366755	0	1.417156	0	-3.291046	0	0.5893029	0	-0.007728267	0.0479825	-0.3744301	-0.1526147	-0.7616348	-0.6040922	-3.143654	-1.092047	-1.761372	-1.470416	-1.820545	-1.70552	-0.9668575	-0.7240779	-0.9359031	-1.845221	-0.8802762	-1.33744	-2.498908	-0.898591						
