#Study : FACET-ADFES_ext
#Date : 20171222 11:39:02
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:47.600 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547680	80			0	80	1	182	170	293	293	-3.834699	0	-1.735524	0	-0.5169984	0	-0.04564757	0	-0.6908924	0	-1.90063	0	-1.543442	0	-1.10057	0	-1.495996	0	1.498775	0	-3.834699	0	-0.04564757	0	-0.06318348	-0.02253869	-0.4998814	-0.5104064	-0.7150986	-0.602163	-3.14448	-1.289169	-1.919025	-1.559412	-1.920056	-1.685982	-0.8078158	-1.177044	-1.065181	-1.892833	-1.067999	-1.290593	-2.964095	-1.06022						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547720	120			1	120	1	182	170	292	292	-3.497603	0	-1.664038	0	-0.5061266	0	-0.08370375	0	-0.5672042	0	-1.729958	0	-1.629991	0	-1.025287	0	-1.337222	0	1.49512	0	-3.497603	0	-0.08370375	0	-0.1146034	-0.0568994	-0.5345456	-0.5368613	-0.6552474	-0.5548872	-3.041868	-1.197137	-1.804976	-1.488598	-1.917409	-1.681372	-0.7808651	-1.090068	-1.018324	-1.879649	-1.030872	-1.310137	-2.813965	-0.9411489						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547760	160			2	160	1	182	170	292	292	-3.641797	0	-1.688023	0	-0.5020484	0	-0.07257148	0	-0.6306052	0	-1.774735	0	-1.580757	0	-1.053739	0	-1.401679	0	1.517471	0	-3.641797	0	-0.07257148	0	-0.07964946	-0.0442147	-0.5148492	-0.5290082	-0.6937882	-0.5871865	-3.056084	-1.220027	-1.870876	-1.535967	-1.933252	-1.693816	-0.8104215	-1.141065	-1.063401	-1.91011	-1.028287	-1.296551	-2.9069	-0.9901758						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547800	200			3	200	1	182	170	292	292	-3.806332	0	-1.653766	0	-0.4523289	0	-0.03922606	0	-0.7067078	0	-1.798746	0	-1.59926	0	-1.100541	0	-1.455371	0	1.481973	0	-3.806332	0	-0.03922606	0	-0.09713451	-0.0326757	-0.5018024	-0.4846154	-0.7292452	-0.5845797	-3.066166	-1.263664	-1.929027	-1.583736	-1.909435	-1.6708	-0.794742	-1.167872	-1.060935	-1.921353	-1.043729	-1.3202	-2.946234	-0.9523854						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547840	240			4	240	1	183	170	291	291	-3.725164	0	-1.593963	0	-0.2918775	0	0.1157207	0	-0.6150197	0	-1.795194	0	-1.604305	0	-1.106462	0	-1.39908	0	1.463596	0	-3.725164	0	0.1157207	0	-0.1240511	-0.02028085	-0.495848	-0.3844342	-0.765865	-0.6172077	-3.035643	-1.255516	-1.865379	-1.531549	-1.859906	-1.63282	-0.8007748	-1.109533	-0.9673502	-1.858385	-1.035292	-1.354285	-2.798448	-0.8189582						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547880	280			5	280	1	182	170	292	292	-3.771331	0	-1.659099	0	-0.4391682	0	-0.06820513	0	-0.6651435	0	-1.802354	0	-1.504359	0	-1.040074	0	-1.405855	0	1.487223	0	-3.771331	0	-0.06820513	0	-0.1105806	-0.04992403	-0.4585131	-0.52184	-0.7380201	-0.602486	-2.998897	-1.244551	-1.889494	-1.556116	-1.860102	-1.630708	-0.7038229	-1.193604	-1.001773	-1.832075	-1.030987	-1.302077	-2.887293	-0.9601342						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547920	320			6	320	1	182	170	292	292	-3.84046	0	-1.56175	0	-0.4497849	0	-0.1453791	0	-0.6869451	0	-1.789057	0	-1.522985	0	-0.9185378	0	-1.255896	0	1.486032	0	-3.84046	0	-0.1453791	0	-0.133908	-0.0689113	-0.4564106	-0.5779231	-0.7748595	-0.5804199	-2.860273	-1.277563	-1.915439	-1.571722	-1.868906	-1.629021	-0.6233791	-1.185746	-0.9563079	-1.773537	-1.002249	-1.297068	-2.796196	-0.9064335						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160547960	360			7	360	1	182	169	292	292	-3.79365	0	-1.625973	0	-0.4873428	0	-0.1618069	0	-0.6606673	0	-1.823904	0	-1.520768	0	-0.9391288	0	-1.306844	0	1.540949	0	-3.79365	0	-0.1618069	0	-0.1317179	-0.08656242	-0.469921	-0.5578166	-0.7541144	-0.5839171	-2.957536	-1.281715	-1.942497	-1.569766	-1.905901	-1.647863	-0.6604187	-1.212237	-0.9944751	-1.815833	-1.026898	-1.288991	-2.895602	-1.010167						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548000	400			8	400	1	183	170	291	291	-3.771374	0	-1.659812	0	-0.3288066	0	-0.09795573	0	-0.6343208	0	-1.840155	0	-1.667897	0	-1.142575	0	-1.469949	0	1.508254	0	-3.771374	0	-0.09795573	0	-0.1280834	0.007865929	-0.5319505	-0.4169705	-0.7686868	-0.5883172	-3.067396	-1.294587	-1.888316	-1.548167	-1.876837	-1.629962	-0.7580194	-1.22342	-0.979247	-1.834158	-1.102538	-1.380696	-2.912286	-0.914766						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548040	440			9	440	1	180	169	294	294	-3.78327	0	-1.835074	0	-0.5460164	0	-0.03556364	0	-0.6436908	0	-2.122911	0	-1.590856	0	-0.9882509	0	-1.443295	0	1.699528	0	-3.78327	0	-0.03556364	0	-0.0873513	-0.05292289	-0.5436012	-0.4796553	-0.7707898	-0.5860874	-3.407148	-1.407851	-2.014148	-1.551403	-2.095345	-1.800842	-0.9154118	-1.143071	-1.134061	-1.969665	-1.069012	-1.271434	-3.011158	-1.151183						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548080	480			10	480	1	181	169	293	293	-3.761363	0	-1.793925	0	-0.5931098	0	-0.03965013	0	-0.6536168	0	-2.023727	0	-1.573265	0	-0.9827597	0	-1.38949	0	1.641905	0	-3.761363	0	-0.03965013	0	-0.106617	-0.07313047	-0.5266196	-0.5183695	-0.7684039	-0.5719053	-3.29803	-1.357896	-1.985698	-1.546329	-2.03119	-1.755653	-0.8363014	-1.117997	-1.08395	-1.933084	-1.030704	-1.247326	-2.908616	-1.146581						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548120	520			11	520	1	181	169	293	293	-3.810353	0	-1.767708	0	-0.550508	0	-0.06039481	0	-0.6798261	0	-1.981997	0	-1.584107	0	-1.033167	0	-1.437884	0	1.603614	0	-3.810353	0	-0.06039481	0	-0.08673524	-0.05234244	-0.5148668	-0.5135171	-0.7470395	-0.5665448	-3.241232	-1.338968	-1.992497	-1.563942	-2.014468	-1.735723	-0.8478627	-1.143526	-1.097833	-1.929022	-1.032771	-1.255853	-2.963008	-1.112939						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548160	560			12	560	1	181	169	293	293	-3.766316	0	-1.701719	0	-0.5152773	0	-0.1411121	0	-0.6672248	0	-1.886478	0	-1.535874	0	-0.9964188	0	-1.353933	0	1.558789	0	-3.766316	0	-0.1411121	0	-0.09510621	-0.06007069	-0.4979122	-0.5434829	-0.7395473	-0.5656313	-3.080267	-1.32989	-1.957274	-1.583969	-1.956308	-1.685646	-0.7052752	-1.194219	-1.044309	-1.859931	-0.992909	-1.266437	-2.954878	-1.029893						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548200	600			13	600	1	182	170	292	292	-3.825294	0	-1.698764	0	-0.3760499	0	-0.03460335	0	-0.691459	0	-1.889435	0	-1.620117	0	-1.148178	0	-1.495024	0	1.500455	0	-3.825294	0	-0.03460335	0	-0.08212189	0.0054132	-0.5063229	-0.4204172	-0.767497	-0.5943694	-3.148738	-1.313384	-1.949543	-1.593578	-1.928447	-1.683513	-0.7914866	-1.180731	-1.068259	-1.912416	-1.00553	-1.308337	-2.991094	-1.015347						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548240	640			14	640	1	181	169	293	293	-3.766264	0	-1.705561	0	-0.4893196	0	-0.04043316	0	-0.6518271	0	-2.034675	0	-1.603344	0	-0.97795	0	-1.359403	0	1.624784	0	-3.766264	0	-0.04043316	0	-0.1063554	-0.04507589	-0.5312137	-0.4389517	-0.7653089	-0.5733057	-3.312869	-1.39922	-1.99782	-1.559025	-2.043681	-1.747819	-0.8413972	-1.181151	-1.116006	-1.954802	-1.094363	-1.302816	-2.978293	-1.081567						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548280	680			15	680	1	181	169	294	294	-3.735077	0	-1.74834	0	-0.4356184	0	0.01537015	0	-0.6762471	0	-2.007634	0	-1.619457	0	-1.03644	0	-1.465217	0	1.611227	0	-3.735077	0	0.01537015	0	-0.09787308	-0.01948486	-0.5288637	-0.4076828	-0.72532	-0.5318586	-3.332395	-1.376628	-1.972026	-1.560281	-2.073591	-1.780712	-0.8851339	-1.161799	-1.127705	-1.993076	-1.025087	-1.25019	-3.016383	-1.1034						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548320	720			16	720	1	181	169	293	293	-3.749975	0	-1.711497	0	-0.4853114	0	-0.0925592	0	-0.6716751	0	-1.941035	0	-1.578435	0	-0.9953879	0	-1.366247	0	1.595943	0	-3.749975	0	-0.0925592	0	-0.1044582	-0.06094737	-0.5124599	-0.4906456	-0.7529596	-0.5507599	-3.175367	-1.36369	-1.961542	-1.557351	-1.994134	-1.718691	-0.7591999	-1.148847	-1.077279	-1.91252	-0.9863448	-1.228329	-2.941848	-1.071475						
FACET-ADFES_ext	20171222	medit M10-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160548360	760			17	760	1	181	169	293	293	-3.726298	0	-1.71205	0	-0.4565287	0	-0.1108979	0	-0.6385577	0	-1.929015	0	-1.610596	0	-1.025566	0	-1.382928	0	1.574085	0	-3.726298	0	-0.1108979	0	-0.09956059	-0.03888546	-0.511926	-0.4834599	-0.7634131	-0.5546889	-3.146507	-1.3718	-1.958526	-1.55954	-2.001076	-1.715184	-0.7526786	-1.16132	-1.057106	-1.914915	-0.9891706	-1.238809	-2.926136	-1.047114						
