#Study : FACET-ADFES_ext
#Date : 20171222 11:39:03
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:40.013 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540093	80			0	80	1	166	154	310	310	-4.55493	0	-4.545235	0	-3.099623	0	-2.470844	0	-1.231967	0	-5.460814	0	-1.791991	0	-1.525146	0	-2.398198	0	2.821539	0	-4.55493	0	-1.231967	0	-0.4202893	-0.417738	-1.047951	-1.69281	-1.532811	-0.7821156	-5.407963	-2.679032	-1.880765	-1.298362	-1.963787	-1.513248	-1.51186	-0.707562	-1.211275	-1.358098	-2.035583	-1.451109	-3.49317	-2.922445						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540133	120			1	120	1	166	154	310	310	-4.598185	0	-4.530784	0	-3.098346	0	-2.484033	0	-1.264106	0	-5.443361	0	-1.812091	0	-1.514187	0	-2.399093	0	2.830158	0	-4.598185	0	-1.264106	0	-0.4293162	-0.4209369	-1.053505	-1.72911	-1.542204	-0.7806101	-5.345886	-2.672373	-1.891621	-1.288603	-1.950188	-1.490428	-1.445858	-0.6797373	-1.190297	-1.348883	-2.006638	-1.423698	-3.463327	-2.950202						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540173	160			2	160	1	165	154	311	311	-4.503171	0	-4.536651	0	-3.076085	0	-2.496758	0	-1.274321	0	-5.403965	0	-1.817646	0	-1.474704	0	-2.366421	0	2.829939	0	-4.503171	0	-1.274321	0	-0.4031081	-0.3750658	-1.032645	-1.670975	-1.55823	-0.7631531	-5.451231	-2.644341	-1.89207	-1.299349	-2.033322	-1.564495	-1.562524	-0.6617416	-1.228457	-1.338366	-1.936091	-1.374835	-3.466128	-2.884768						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540213	200			3	200	1	165	154	311	311	-4.458221	0	-4.515766	0	-3.009625	0	-2.36406	0	-1.252918	0	-5.319991	0	-1.846824	0	-1.506047	0	-2.364059	0	2.796718	0	-4.458221	0	-1.252918	0	-0.3779991	-0.3511613	-1.065729	-1.635335	-1.508095	-0.7683927	-5.464399	-2.622895	-1.860417	-1.29531	-2.066117	-1.568568	-1.606278	-0.6706246	-1.256077	-1.349264	-1.93918	-1.401843	-3.501398	-2.857752						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540253	240			4	240	1	166	154	310	310	-4.419252	0	-4.508342	0	-3.04169	0	-2.434493	0	-1.210145	0	-5.335831	0	-1.821314	0	-1.523374	0	-2.388144	0	2.823544	0	-4.419252	0	-1.210145	0	-0.4229335	-0.4103235	-1.068433	-1.723333	-1.530015	-0.787923	-5.289798	-2.626347	-1.82112	-1.242784	-1.918245	-1.457124	-1.466194	-0.6566422	-1.181603	-1.328273	-1.977642	-1.414015	-3.388843	-2.789128						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540293	280			5	280	1	165	154	312	312	-4.464865	0	-4.51953	0	-3.079045	0	-2.3109	0	-1.281997	0	-5.230816	0	-1.933354	0	-1.476887	0	-2.373609	0	2.808409	0	-4.464865	0	-1.281997	0	-0.4104987	-0.3523233	-1.085859	-1.627052	-1.470185	-0.6862553	-5.607278	-2.608381	-1.87476	-1.370406	-2.153449	-1.681103	-1.83268	-0.6044259	-1.380631	-1.428994	-1.939329	-1.442875	-3.662143	-2.901803						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540333	320			6	320	1	165	153	314	314	-4.743468	0	-4.503386	0	-3.27556	0	-2.503766	0	-1.369231	0	-5.254653	0	-1.925204	0	-1.402439	0	-2.35518	0	2.826271	0	-4.743468	0	-1.369231	0	-0.4343854	-0.3456858	-1.066388	-1.640919	-1.489507	-0.5929044	-5.717441	-2.633749	-1.995132	-1.487963	-2.162009	-1.708802	-1.937588	-0.61347	-1.468696	-1.432927	-2.008558	-1.474351	-3.826435	-3.043994						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540373	360			7	360	1	165	155	311	311	-4.536526	0	-4.559152	0	-3.031305	0	-2.217393	0	-1.253706	0	-5.401959	0	-1.912463	0	-1.514051	0	-2.392147	0	2.829516	0	-4.536526	0	-1.253706	0	-0.3992581	-0.367244	-1.097926	-1.57113	-1.560505	-0.7548427	-5.763312	-2.676077	-1.897001	-1.315886	-2.135004	-1.655309	-1.838013	-0.6458333	-1.328549	-1.419486	-2.01484	-1.499396	-3.687445	-2.854402						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540413	400			8	400	1	165	154	313	313	-4.835964	0	-4.623672	0	-3.126137	0	-2.301512	0	-1.362206	0	-5.541119	0	-1.970698	0	-1.522976	0	-2.452921	0	2.892822	0	-4.835964	0	-1.362206	0	-0.4333872	-0.359754	-1.126956	-1.528858	-1.718182	-0.7523671	-6.091302	-2.757842	-2.038465	-1.435753	-2.209826	-1.716195	-2.070135	-0.6265308	-1.459881	-1.455403	-2.078153	-1.518278	-3.848105	-3.080182						
FACET-ADFES_ext	20171222	medit M09-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160540453	440			9	440	1	164	154	314	314	-4.978579	0	-4.62229	0	-3.146286	0	-2.294503	0	-1.410573	0	-5.664503	0	-1.940358	0	-1.401072	0	-2.37516	0	2.889019	0	-4.978579	0	-1.410573	0	-0.4092389	-0.3266712	-1.085992	-1.532532	-1.726011	-0.7078402	-6.174764	-2.821808	-2.103628	-1.474268	-2.321183	-1.833091	-2.141963	-0.6422716	-1.534089	-1.473163	-2.084724	-1.481578	-3.922148	-3.114931						
