#Study : FACET-ADFES_ext
#Date : 20171222 11:39:04
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:36.226 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536306	80			0	80	1	203	169	307	307	-2.780737	0	-4.371507	0	-1.874198	0	-1.734915	0	-0.3570468	0	-4.166059	0	-2.635326	0	-2.667093	0	-3.170757	0	2.882105	0	-2.780737	0	-0.3570468	0	-1.006563	-0.6537026	-1.506506	-1.313497	-1.479691	-1.280266	-4.59467	-1.771765	-1.382505	-1.255732	-1.737126	-1.504391	-1.463705	-0.4621838	-1.36579	-1.811185	-1.370595	-1.209421	-3.384558	-3.154351						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536346	120			1	120	1	202	169	310	310	-3.029049	0	-4.32861	0	-2.022659	0	-1.558262	0	-0.3937833	0	-4.241752	0	-2.510502	0	-2.487474	0	-3.145145	0	2.898877	0	-3.029049	0	-0.3937833	0	-0.9415461	-0.5861226	-1.473997	-1.22141	-1.541785	-1.154825	-4.894785	-1.771161	-1.324617	-1.27482	-1.733486	-1.624308	-1.559651	-0.4645676	-1.480863	-1.746751	-1.516062	-1.34311	-3.556358	-3.128889						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536386	160			2	160	1	202	169	308	308	-2.993778	0	-4.420126	0	-1.935197	0	-1.702735	0	-0.50805	0	-4.278455	0	-2.580668	0	-2.62652	0	-3.26609	0	2.954483	0	-2.993778	0	-0.50805	0	-0.9951789	-0.6427521	-1.5156	-1.283222	-1.5744	-1.246591	-4.800643	-1.836946	-1.403022	-1.347198	-1.733333	-1.57848	-1.407483	-0.5032356	-1.414073	-1.810731	-1.440402	-1.291918	-3.510974	-3.239725						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536426	200			3	200	1	202	169	310	310	-2.83406	0	-4.487583	0	-2.042983	0	-1.442471	0	-0.4286021	0	-4.453035	0	-2.570004	0	-2.513397	0	-3.18477	0	2.982353	0	-2.83406	0	-0.4286021	0	-0.9111736	-0.5677975	-1.468982	-1.137469	-1.663067	-1.206191	-5.146246	-1.86459	-1.307424	-1.249509	-1.833346	-1.751628	-1.721093	-0.4132507	-1.538107	-1.715492	-1.523381	-1.407984	-3.492373	-3.386601						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536466	240			4	240	1	201	169	310	310	-2.804839	0	-4.48381	0	-2.092247	0	-1.40055	0	-0.4295643	0	-4.344725	0	-2.618934	0	-2.51771	0	-3.190104	0	2.97472	0	-2.804839	0	-0.4295643	0	-0.9375351	-0.5699404	-1.50461	-1.121051	-1.597431	-1.160012	-5.195294	-1.8016	-1.230821	-1.206839	-1.751145	-1.752469	-1.858357	-0.3616359	-1.536044	-1.690641	-1.582251	-1.465792	-3.520844	-3.415656						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536506	280			5	280	1	202	168	310	310	-2.813009	0	-4.535259	0	-2.06025	0	-1.518153	0	-0.5016271	0	-4.335007	0	-2.595345	0	-2.607443	0	-3.285426	0	3.02084	0	-2.813009	0	-0.5016271	0	-0.9699366	-0.606028	-1.528016	-1.187187	-1.595237	-1.193379	-5.097726	-1.85873	-1.30091	-1.269237	-1.769938	-1.759451	-1.720537	-0.400626	-1.541031	-1.761733	-1.505692	-1.407685	-3.518206	-3.454213						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536546	320			6	320	1	203	169	308	308	-2.744715	0	-4.424004	0	-1.984648	0	-1.820781	0	-0.316305	0	-4.187923	0	-2.549433	0	-2.54221	0	-3.15514	0	2.907937	0	-2.744715	0	-0.316305	0	-1.009432	-0.658886	-1.508085	-1.387893	-1.447984	-1.199439	-4.717389	-1.766252	-1.252923	-1.212519	-1.72202	-1.532168	-1.459869	-0.5586142	-1.370245	-1.765728	-1.455283	-1.272997	-3.459585	-3.140825						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536586	360			7	360	1	201	168	310	310	-2.637401	0	-4.386755	0	-2.091328	0	-1.497586	0	-0.3804933	0	-4.193168	0	-2.580391	0	-2.430556	0	-3.063209	0	2.939399	0	-2.637401	0	-0.3804933	0	-0.9279067	-0.5702235	-1.49958	-1.223172	-1.489502	-1.083099	-4.984288	-1.759275	-1.180572	-1.190281	-1.759316	-1.72049	-1.713178	-0.4283876	-1.480367	-1.626138	-1.541364	-1.41597	-3.435608	-3.269177						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536626	400			8	400	1	201	168	311	311	-2.711011	0	-4.230108	0	-2.199465	0	-1.572792	0	-0.3817099	0	-4.019755	0	-2.50462	0	-2.308121	0	-2.947564	0	2.852739	0	-2.711011	0	-0.3817099	0	-0.9217546	-0.547937	-1.494744	-1.246343	-1.381716	-0.969493	-4.901779	-1.66178	-1.154066	-1.221982	-1.612392	-1.66444	-1.688232	-0.419533	-1.51091	-1.586765	-1.595842	-1.439727	-3.457389	-3.175857						
FACET-ADFES_ext	20171222	medit M07-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160536666	440			9	440	1	201	168	312	312	-2.825221	0	-4.333479	0	-2.141926	0	-1.494724	0	-0.4425187	0	-4.173375	0	-2.639061	0	-2.383485	0	-3.031193	0	2.936093	0	-2.825221	0	-0.4425187	0	-0.9082919	-0.5301247	-1.510962	-1.177376	-1.434395	-1.021528	-5.028305	-1.789422	-1.205749	-1.267243	-1.770945	-1.798276	-1.853276	-0.4882044	-1.586638	-1.66315	-1.656299	-1.512505	-3.57805	-3.298689						
