#Study : FACET-ADFES_ext
#Date : 20171222 11:39:05
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:30.850 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160530930	80			0	80	1	206	148	287	287	-2.155976	0	-3.647853	0	-2.150452	0	-1.604157	0	-0.4062745	0	-2.570771	0	-2.686998	0	-2.290538	0	-2.500683	0	2.20391	0	-2.155976	0	-0.4062745	0	-0.8902713	-0.6680478	-1.335569	-1.552928	-1.032714	-1.091013	-3.385094	-1.287955	-1.269122	-1.242911	-1.512599	-1.25833	-0.850895	-0.1082673	-0.9907726	-1.99042	-0.4534132	-0.494371	-2.827496	-2.355176						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160530970	120			1	120	1	206	148	287	287	-2.050776	0	-3.67427	0	-2.129294	0	-1.564581	0	-0.3432825	0	-2.668497	0	-2.678351	0	-2.27898	0	-2.468281	0	2.191645	0	-2.050776	0	-0.3432825	0	-0.8530606	-0.645979	-1.313021	-1.543731	-1.048635	-1.115043	-3.439187	-1.311098	-1.224781	-1.190644	-1.526921	-1.261802	-0.8207758	-0.1394553	-0.9665861	-1.956137	-0.4545178	-0.4786666	-2.747416	-2.366901						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531010	160			2	160	1	206	147	288	288	-1.948246	0	-3.675548	0	-2.164394	0	-1.695599	0	-0.292572	0	-2.695214	0	-2.693229	0	-2.24321	0	-2.476646	0	2.205467	0	-1.948246	0	-0.292572	0	-0.8796342	-0.6389089	-1.32002	-1.567725	-0.9912961	-1.020467	-3.449564	-1.325138	-1.191896	-1.190656	-1.619132	-1.228058	-0.8340023	-0.1736943	-0.9939901	-1.937681	-0.4569755	-0.4366212	-2.749586	-2.366694						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531050	200			3	200	1	205	147	289	289	-2.167338	0	-3.664669	0	-2.063879	0	-1.74827	0	-0.3798787	0	-2.575102	0	-2.640729	0	-2.212323	0	-2.534399	0	2.244255	0	-2.167338	0	-0.3798787	0	-0.9026908	-0.6488758	-1.290022	-1.548077	-0.980486	-0.9947051	-3.381649	-1.308104	-1.314498	-1.304994	-1.667574	-1.278302	-0.8694951	-0.2111594	-1.036125	-2.046571	-0.4207985	-0.4456805	-2.933503	-2.302824						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531090	240			4	240	1	205	147	289	289	-2.004678	0	-3.68662	0	-2.179667	0	-1.8507	0	-0.2834948	0	-2.699194	0	-2.589437	0	-2.228493	0	-2.489946	0	2.239119	0	-2.004678	0	-0.2834948	0	-0.9169129	-0.6594218	-1.317795	-1.602151	-0.9757144	-0.9926603	-3.451993	-1.267693	-1.171106	-1.230871	-1.523574	-1.145163	-0.816466	-0.1999155	-1.009036	-1.893886	-0.4613721	-0.4473708	-2.86189	-2.329768						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531130	280			5	280	1	205	147	289	289	-2.116675	0	-3.646734	0	-2.109323	0	-1.832435	0	-0.2923072	0	-2.706438	0	-2.605677	0	-2.176525	0	-2.484242	0	2.271991	0	-2.116675	0	-0.2923072	0	-0.9152191	-0.656158	-1.291488	-1.581705	-0.9797909	-0.9920762	-3.392605	-1.275639	-1.216024	-1.259234	-1.635558	-1.186484	-0.8188959	-0.248226	-1.067715	-1.934679	-0.4602102	-0.4513193	-2.91743	-2.366024						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531170	320			6	320	1	205	147	290	290	-2.167794	0	-3.61642	0	-2.082328	0	-1.799893	0	-0.3545075	0	-2.645923	0	-2.583925	0	-2.171203	0	-2.504853	0	2.266778	0	-2.167794	0	-0.3545075	0	-0.9294765	-0.6614644	-1.291507	-1.538897	-0.9263968	-0.9329413	-3.388755	-1.296442	-1.255524	-1.328493	-1.624264	-1.224211	-0.8280101	-0.236065	-1.094347	-1.980254	-0.4567311	-0.4637467	-2.998078	-2.319373						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531210	360			7	360	1	205	147	290	290	-2.213467	0	-3.627625	0	-2.157584	0	-1.902403	0	-0.3884267	0	-2.769709	0	-2.58749	0	-2.14307	0	-2.486581	0	2.316027	0	-2.213467	0	-0.3884267	0	-0.9975953	-0.7435022	-1.327071	-1.588771	-0.9572276	-0.9358006	-3.456197	-1.33323	-1.258417	-1.316302	-1.653758	-1.21733	-0.9141604	-0.2131244	-1.0663	-1.995649	-0.5152848	-0.5142102	-3.02493	-2.371064						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531250	400			8	400	1	205	147	290	290	-2.209699	0	-3.612618	0	-2.189096	0	-1.937826	0	-0.3838484	0	-2.824639	0	-2.542252	0	-2.093763	0	-2.429799	0	2.304725	0	-2.209699	0	-0.3838484	0	-1.003913	-0.7605788	-1.309906	-1.61949	-0.9477128	-0.9402848	-3.450225	-1.331141	-1.215	-1.274679	-1.603173	-1.170784	-0.9188687	-0.2267163	-1.041848	-1.942023	-0.5650634	-0.5426727	-3.010027	-2.388092						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531290	440			9	440	1	205	147	290	290	-2.19241	0	-3.638798	0	-2.196023	0	-1.915657	0	-0.3792054	0	-2.755173	0	-2.567764	0	-2.146181	0	-2.465899	0	2.299574	0	-2.19241	0	-0.3792054	0	-1.017553	-0.7606707	-1.329205	-1.629558	-0.9660813	-0.9712314	-3.412385	-1.269184	-1.211564	-1.274098	-1.550819	-1.151851	-0.9096825	-0.1935503	-1.054532	-1.944782	-0.5206895	-0.5162237	-2.987443	-2.389939						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531330	480			10	480	1	204	147	290	290	-1.958716	0	-3.664437	0	-2.286071	0	-1.897572	0	-0.3384768	0	-2.775444	0	-2.601521	0	-2.173739	0	-2.476416	0	2.262582	0	-1.958716	0	-0.3384768	0	-1.035154	-0.8030891	-1.318637	-1.602174	-0.9496065	-0.9451056	-3.427927	-1.306253	-1.183597	-1.245625	-1.591667	-1.188729	-1.04239	-0.09353752	-1.047825	-1.956418	-0.5357347	-0.538475	-2.932659	-2.474667						
FACET-ADFES_ext	20171222	medit M07-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160531370	520			11	520	1	205	147	290	290	-2.015876	0	-3.690886	0	-2.242011	0	-1.928547	0	-0.3560266	0	-2.783846	0	-2.596145	0	-2.205112	0	-2.503108	0	2.292487	0	-2.015876	0	-0.3560266	0	-1.016069	-0.7711308	-1.331035	-1.612631	-0.9348674	-0.951259	-3.472074	-1.327136	-1.199714	-1.262972	-1.580075	-1.190525	-0.9708432	-0.1327991	-1.03584	-1.953584	-0.5364957	-0.5175235	-2.953563	-2.459684						
