#Study : FACET-ADFES_ext
#Date : 20171222 11:39:06
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:26.358 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526438	80			0	80	1	193	155	334	334	-6.811263	0	-3.006835	0	-0.2909051	0	-1.109124	0	-1.498011	0	-3.606557	0	-0.6657827	0	-1.013897	0	-2.235303	0	1.78942	0	-6.811263	0	-0.6657827	0	0.6525676	0.1421061	-0.4419147	-1.013919	-1.670086	-1.080572	-4.225645	-2.001019	-2.804243	-2.03265	-1.503182	-1.093631	-0.02763933	-1.595294	-1.123021	-1.904836	-0.8638568	-1.248065	-4.504382	-1.45919						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526478	120			1	120	1	192	155	335	335	-6.667622	0	-2.961274	0	-0.2670673	0	-1.093991	0	-1.4958	0	-3.416533	0	-0.7145919	0	-1.048771	0	-2.238288	0	1.766329	0	-6.667622	0	-0.7145919	0	0.5950806	0.1039575	-0.4799544	-1.04425	-1.572863	-1.00031	-4.18972	-1.884428	-2.775788	-2.028023	-1.500414	-1.075846	-0.01957531	-1.601791	-1.111501	-1.872787	-0.8652204	-1.274872	-4.534313	-1.398643						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526518	160			2	160	1	193	155	335	335	-6.659967	0	-2.983508	0	-0.1961323	0	-1.096112	0	-1.572011	0	-3.448525	0	-0.7747357	0	-1.102259	0	-2.304742	0	1.751493	0	-6.659967	0	-0.7747357	0	0.5960704	0.1278677	-0.4733959	-1.045394	-1.653628	-1.062367	-4.210609	-1.888361	-2.78507	-2.053417	-1.503629	-1.096195	-0.01269424	-1.546872	-1.111641	-1.9249	-0.7468794	-1.193899	-4.494656	-1.383661						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526558	200			3	200	1	193	155	335	335	-6.54348	0	-2.950863	0	-0.1144848	0	-0.9567469	0	-1.560433	0	-3.39569	0	-0.7621354	0	-1.06573	0	-2.276127	0	1.675371	0	-6.54348	0	-0.7621354	0	0.6557562	0.1838891	-0.4214575	-0.9465685	-1.589094	-0.9887065	-4.217391	-1.869318	-2.752442	-2.046678	-1.529407	-1.144442	-0.0521786	-1.531318	-1.135783	-1.949745	-0.6858938	-1.153564	-4.457869	-1.338434						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526598	240			4	240	1	193	155	336	336	-6.613032	0	-2.919846	0	-0.1512235	0	-1.075954	0	-1.643507	0	-3.411837	0	-0.7427491	0	-1.009037	0	-2.235981	0	1.663612	0	-6.613032	0	-0.7427491	0	0.6128864	0.118138	-0.372142	-1.101337	-1.692285	-1.058731	-4.139313	-1.883285	-2.834268	-2.088437	-1.530232	-1.123315	-0.01610029	-1.558768	-1.098641	-1.914289	-0.6385604	-1.117135	-4.433278	-1.213706						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526638	280			5	280	1	192	155	335	335	-6.329427	0	-2.874222	0	-0.1587546	0	-1.071928	0	-1.510826	0	-3.238055	0	-0.774119	0	-0.9985198	0	-2.19106	0	1.669301	0	-6.329427	0	-0.774119	0	0.5476236	0.0898167	-0.478949	-1.075784	-1.572497	-0.9785023	-4.125776	-1.754344	-2.680617	-2.025865	-1.516061	-1.099768	0.01217797	-1.518266	-1.094001	-1.913902	-0.6460984	-1.078986	-4.380691	-1.327105						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526678	320			6	320	1	192	155	336	336	-6.303946	0	-2.898615	0	-0.06810937	0	-1.057207	0	-1.52381	0	-3.304974	0	-0.7580398	0	-1.034792	0	-2.218209	0	1.633397	0	-6.303946	0	-0.7580398	0	0.5388859	0.0706265	-0.46322	-1.097163	-1.62079	-1.010213	-4.173779	-1.782583	-2.688999	-2.02632	-1.512211	-1.073881	0.01133154	-1.524855	-1.08421	-1.885211	-0.6399837	-1.052277	-4.367014	-1.258069						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526718	360			7	360	1	193	155	335	335	-6.279207	0	-2.946449	0	0.01188773	0	-1.05592	0	-1.596705	0	-3.28515	0	-0.8173096	0	-1.103148	0	-2.31671	0	1.630912	0	-6.279207	0	-0.8173096	0	0.5629071	0.1051595	-0.4578643	-1.039241	-1.599652	-1.003745	-4.156555	-1.73795	-2.682585	-2.07617	-1.507433	-1.104575	-0.03332492	-1.492569	-1.093673	-1.977056	-0.4934923	-0.9597729	-4.375309	-1.229418						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526758	400			8	400	1	193	156	334	334	-6.341244	0	-3.035754	0	-0.02895611	0	-1.113695	0	-1.580545	0	-3.373491	0	-0.8189096	0	-1.170708	0	-2.392553	0	1.691756	0	-6.341244	0	-0.8189096	0	0.5795028	0.1200094	-0.5155722	-1.00898	-1.635891	-1.044123	-4.258729	-1.761612	-2.687152	-2.095408	-1.4811	-1.1051	-0.08368092	-1.496832	-1.121934	-2.030936	-0.5039357	-0.9634967	-4.423903	-1.320246						
FACET-ADFES_ext	20171222	medit M05-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160526798	440			9	440	1	193	156	334	334	-6.512928	0	-3.074703	0	-0.01615351	0	-1.058928	0	-1.631116	0	-3.43162	0	-0.7762698	0	-1.144018	0	-2.39482	0	1.652393	0	-6.512928	0	-0.7762698	0	0.6717988	0.1943896	-0.4518979	-1.004263	-1.690365	-1.092933	-4.265201	-1.822624	-2.751594	-2.129181	-1.522544	-1.141798	-0.09348102	-1.507759	-1.148266	-2.062151	-0.4834907	-0.9748507	-4.464029	-1.360113						
