#Study : FACET-ADFES_ext
#Date : 20171222 11:39:07
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:22.549 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522629	80			0	80	1	155	155	336	336	-6.559708	0	-3.973269	0	-0.2991545	0	-0.4117665	0	-1.693578	0	-4.417916	0	0.7667789	0	-1.322251	0	-2.777777	0	0.891948	0	-6.559708	0	0.7667789	0	2.107458	0.6855825	0.61708	-0.8210739	-1.926511	-1.121168	-4.660582	-2.36776	-2.728621	-1.454848	-1.228335	-0.9304357	0.1130918	-1.697889	-1.234828	-1.625701	-0.6038926	-0.8917992	-4.191256	-1.479291						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522669	120			1	120	1	156	155	334	334	-6.656751	0	-4.030593	0	-0.2585322	0	-0.4692348	0	-1.737011	0	-4.485636	0	0.692595	0	-1.391778	0	-2.906644	0	0.9417402	0	-6.656751	0	0.692595	0	2.034449	0.6697205	0.6130427	-0.8617348	-1.96694	-1.152194	-4.738436	-2.397372	-2.739251	-1.535055	-1.315817	-1.029416	0.02367011	-1.736948	-1.215307	-1.772736	-0.4775334	-0.8210356	-4.208059	-1.527525						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522709	160			2	160	1	157	156	333	333	-6.761253	0	-4.101695	0	-0.2796814	0	-0.5472952	0	-1.796626	0	-4.501667	0	0.717388	0	-1.344815	0	-2.895147	0	0.9414954	0	-6.761253	0	0.717388	0	2.113576	0.7972195	0.608075	-0.9703021	-1.962207	-1.169826	-4.777966	-2.375428	-2.723392	-1.551308	-1.353095	-1.10858	0.03696381	-1.822276	-1.325866	-1.767823	-0.4040815	-0.8008399	-4.263641	-1.570176						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522749	200			3	200	1	156	155	335	335	-6.551221	0	-4.023489	0	-0.2742111	0	-0.4896792	0	-1.70598	0	-4.453615	0	0.7275283	0	-1.381296	0	-2.873243	0	0.9064049	0	-6.551221	0	0.7275283	0	2.054894	0.6659715	0.6136973	-0.8632084	-1.956087	-1.143937	-4.698161	-2.375548	-2.694844	-1.482164	-1.246566	-0.9664816	0.03241992	-1.678362	-1.196838	-1.713642	-0.5133337	-0.8352467	-4.152575	-1.490496						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522789	240			4	240	1	156	154	336	336	-6.491299	0	-3.929882	0	-0.2819563	0	-0.4647667	0	-1.741082	0	-4.311065	0	0.7778301	0	-1.272989	0	-2.765913	0	0.8741966	0	-6.491299	0	0.7778301	0	2.099933	0.7061892	0.6516605	-0.8557446	-1.874054	-1.093734	-4.557305	-2.295259	-2.684757	-1.47323	-1.202782	-0.922433	0.1565337	-1.685952	-1.224761	-1.619166	-0.509113	-0.8159257	-4.138882	-1.386226						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522829	280			5	280	1	157	157	331	331	-6.305364	0	-4.224923	0	-0.06409116	0	-0.5415767	0	-1.556487	0	-4.361759	0	0.6833614	0	-1.617099	0	-3.082763	0	0.9959796	0	-6.305364	0	0.6833614	0	2.103533	0.8463173	0.4172958	-0.7633294	-1.943816	-1.17642	-4.867341	-2.268441	-2.562158	-1.529876	-1.277925	-1.070286	-0.03352015	-1.682817	-1.301468	-1.825649	-0.3501984	-0.7303934	-4.151115	-1.637956						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522869	320			6	320	1	158	156	333	333	-6.56098	0	-4.086071	0	-0.2364161	0	-0.6121225	0	-1.740867	0	-4.342046	0	0.6587145	0	-1.498936	0	-2.977272	0	0.9440426	0	-6.56098	0	0.6587145	0	2.111979	0.7878149	0.5628362	-0.8685247	-1.95417	-1.123614	-4.752472	-2.260906	-2.695928	-1.516115	-1.364946	-1.034918	0.01922224	-1.786127	-1.322109	-1.764908	-0.4007389	-0.8220986	-4.190951	-1.654691						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522909	360			7	360	1	156	156	336	336	-6.310294	0	-3.962095	0	-0.4257446	0	-0.6429279	0	-1.667378	0	-4.115539	0	0.8459337	0	-1.26433	0	-2.708167	0	0.8280166	0	-6.310294	0	0.8459337	0	2.152276	0.7804033	0.6094462	-0.965964	-1.748561	-0.9917442	-4.505374	-2.116949	-2.551885	-1.349099	-1.22789	-0.872231	0.2397107	-1.679538	-1.238866	-1.483634	-0.5507237	-0.8988759	-4.179258	-1.401219						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522949	400			8	400	1	157	156	333	333	-6.351674	0	-4.199026	0	-0.257366	0	-0.5392635	0	-1.555774	0	-4.479235	0	0.8025541	0	-1.539672	0	-2.990292	0	0.922028	0	-6.351674	0	0.8025541	0	2.113154	0.7171347	0.5348879	-0.7990823	-2.007186	-1.254781	-4.789407	-2.32858	-2.591221	-1.428046	-1.157174	-0.9383201	-0.02206186	-1.558565	-1.245196	-1.757112	-0.4780543	-0.7984815	-4.074675	-1.760274						
FACET-ADFES_ext	20171222	medit M05-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160522989	440			9	440	1	156	155	335	335	-6.513443	0	-4.102229	0	-0.2820139	0	-0.4656089	0	-1.700583	0	-4.515604	0	0.815029	0	-1.436536	0	-2.921215	0	0.855896	0	-6.513443	0	0.815029	0	2.144765	0.7247964	0.6639318	-0.8041556	-2.035444	-1.224028	-4.770586	-2.372932	-2.662983	-1.428771	-1.215415	-0.943857	0.05249675	-1.597289	-1.245246	-1.684163	-0.5073929	-0.8290605	-4.074561	-1.639152						
