#Study : FACET-ADFES_ext
#Date : 20171222 11:39:08
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:19.625 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519705	80			0	80	1	237	188	265	265	-4.408321	0	-4.001593	0	0.2322385	0	-0.8710216	0	-0.9055806	0	-3.798944	0	-1.182395	0	-2.003672	0	-3.186402	0	2.022503	0	-4.408321	0	-0.8710216	0	0.8665197	0.9184342	-0.4569448	-0.9276733	-2.314688	-1.988152	-4.89753	-2.186599	-2.11703	-1.829627	-1.170873	-1.143667	-1.191945	-0.4058423	-1.178785	-2.012713	-1.048775	-1.496744	-3.589392	-0.925688						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519745	120			1	120	1	237	188	264	264	-4.553873	0	-4.098243	0	0.2519429	0	-0.9474202	0	-1.001028	0	-3.867189	0	-1.217612	0	-2.187626	0	-3.353676	0	2.025884	0	-4.553873	0	-0.9474202	0	0.9077929	0.9756612	-0.4587317	-0.8729252	-2.377769	-1.98609	-5.018849	-2.263517	-2.208921	-1.931083	-1.153461	-1.140056	-1.283646	-0.5273231	-1.237962	-2.07487	-1.142477	-1.605083	-3.788754	-0.9434386						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519785	160			2	160	1	237	188	264	264	-4.577774	0	-4.045655	0	0.2313401	0	-0.957365	0	-0.9917179	0	-3.863067	0	-1.222554	0	-2.175643	0	-3.296061	0	2.02036	0	-4.577774	0	-0.957365	0	0.8771358	0.9490972	-0.4897918	-0.888989	-2.345784	-1.99648	-4.967	-2.272394	-2.222639	-1.937587	-1.16927	-1.133372	-1.276059	-0.5524606	-1.212859	-2.037065	-1.160548	-1.591802	-3.746309	-0.9239025						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519825	200			3	200	1	237	188	264	264	-4.486168	0	-4.043172	0	0.2332473	0	-0.9104189	0	-0.9330505	0	-3.818509	0	-1.206422	0	-2.10475	0	-3.24854	0	1.995112	0	-4.486168	0	-0.9104189	0	0.9079099	0.9606482	-0.4431038	-0.9001972	-2.343254	-1.993791	-4.967875	-2.228974	-2.196871	-1.896346	-1.225587	-1.181815	-1.301556	-0.531531	-1.258258	-2.082395	-1.144319	-1.595327	-3.754143	-0.8972248						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519865	240			4	240	1	238	188	264	264	-4.477718	0	-4.12134	0	0.2102519	0	-0.8322037	0	-0.9469186	0	-3.871077	0	-1.205408	0	-2.162141	0	-3.317647	0	2.005073	0	-4.477718	0	-0.8322037	0	0.9475324	1.000538	-0.4539536	-0.8450722	-2.333872	-1.9502	-5.08557	-2.252952	-2.197719	-1.917182	-1.20349	-1.206978	-1.37289	-0.5081688	-1.284052	-2.097619	-1.141616	-1.612121	-3.77997	-0.9462792						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519905	280			5	280	1	238	188	264	264	-4.650777	0	-4.153235	0	0.3202572	0	-0.8883913	0	-1.023888	0	-3.990298	0	-1.262357	0	-2.312723	0	-3.429536	0	1.998156	0	-4.650777	0	-0.8883913	0	0.939316	1.032162	-0.4949999	-0.8573506	-2.479231	-2.041097	-5.131165	-2.293309	-2.271973	-1.999713	-1.210848	-1.180424	-1.311397	-0.5721222	-1.263681	-2.08469	-1.141082	-1.58409	-3.826732	-0.9781662						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519945	320			6	320	1	237	188	266	266	-4.353117	0	-4.185926	0	0.2736357	0	-0.8027223	0	-0.9549087	0	-3.849796	0	-1.268779	0	-2.212893	0	-3.378705	0	2.093444	0	-4.353117	0	-0.8027223	0	0.8988317	0.9852607	-0.5117189	-0.8897778	-2.392169	-1.988171	-5.124325	-2.235485	-2.130881	-1.835053	-1.263335	-1.193632	-1.171058	-0.4118548	-1.218763	-2.013144	-1.033565	-1.499994	-3.620174	-1.116911						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160519985	360			7	360	1	237	188	265	265	-4.29449	0	-4.161747	0	0.2315886	0	-0.8179554	0	-0.913304	0	-3.833979	0	-1.27881	0	-2.191866	0	-3.341543	0	2.071502	0	-4.29449	0	-0.8179554	0	0.9059595	0.9702749	-0.4844685	-0.8829758	-2.359152	-1.986126	-5.120409	-2.206407	-2.128472	-1.84555	-1.275144	-1.233999	-1.271316	-0.4296671	-1.293135	-2.074527	-1.096723	-1.582264	-3.692216	-1.002859						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520025	400			8	400	1	237	188	265	265	-4.326915	0	-4.20603	0	0.2932652	0	-0.8481246	0	-0.9125294	0	-3.843337	0	-1.320768	0	-2.320973	0	-3.461302	0	2.037496	0	-4.326915	0	-0.8481246	0	0.9163719	0.9980648	-0.4976869	-0.853018	-2.403954	-2.032814	-5.175602	-2.204704	-2.143381	-1.876242	-1.283669	-1.247601	-1.284358	-0.4091964	-1.326958	-2.122902	-1.069791	-1.555062	-3.712949	-1.12554						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520065	440			9	440	1	237	188	265	265	-4.416	0	-4.140006	0	0.3515954	0	-0.8426594	0	-0.9921501	0	-3.892896	0	-1.24736	0	-2.263675	0	-3.370821	0	2.018022	0	-4.416	0	-0.8426594	0	0.9199162	1.005674	-0.5053033	-0.8573004	-2.413447	-1.990754	-5.08201	-2.240554	-2.173288	-1.880751	-1.213483	-1.154137	-1.226283	-0.5365134	-1.221011	-2.011861	-1.065883	-1.519536	-3.695948	-0.9720472						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520105	480			10	480	1	237	188	265	265	-4.482133	0	-4.130205	0	0.2880212	0	-0.8629181	0	-0.9843758	0	-3.891227	0	-1.245977	0	-2.26519	0	-3.378548	0	2.023107	0	-4.482133	0	-0.8629181	0	0.9150958	0.9975359	-0.5016664	-0.8821791	-2.417757	-2.002044	-5.098938	-2.231306	-2.185753	-1.914825	-1.20211	-1.175605	-1.24178	-0.5240963	-1.245179	-2.049852	-1.074563	-1.540319	-3.729111	-0.9620856						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520145	520			11	520	1	238	188	264	264	-4.469069	0	-4.177926	0	0.2779104	0	-0.8829625	0	-0.9782988	0	-3.929274	0	-1.290246	0	-2.335097	0	-3.42554	0	2.001973	0	-4.469069	0	-0.8829625	0	0.9233031	1.005277	-0.5280511	-0.8752953	-2.434966	-2.007238	-5.089794	-2.237892	-2.193364	-1.924195	-1.19118	-1.168038	-1.267499	-0.5402572	-1.249865	-2.051982	-1.099931	-1.540421	-3.73764	-0.9664375						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520185	560			12	560	1	237	188	265	265	-4.291915	0	-4.091176	0	0.2949083	0	-0.8431408	0	-0.9107001	0	-3.754018	0	-1.344171	0	-2.117254	0	-3.282297	0	2.004227	0	-4.291915	0	-0.8431408	0	0.9314286	1.010165	-0.4596783	-0.9147979	-2.276781	-2.003546	-5.052297	-2.14315	-2.084587	-1.847274	-1.337677	-1.287135	-1.269315	-0.3953059	-1.317275	-2.149547	-0.9302604	-1.434336	-3.645261	-0.8277352						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520225	600			13	600	1	237	188	265	265	-4.287812	0	-4.169192	0	0.2436263	0	-0.8370119	0	-0.8772555	0	-3.810422	0	-1.319341	0	-2.198384	0	-3.33763	0	2.038762	0	-4.287812	0	-0.8370119	0	0.943795	1.002914	-0.4783303	-0.9310694	-2.306881	-1.986027	-5.1363	-2.183065	-2.072459	-1.808245	-1.337063	-1.276678	-1.273198	-0.4200722	-1.311579	-2.11561	-1.000704	-1.515911	-3.659157	-0.9544017						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520265	640			14	640	1	237	188	265	265	-4.240063	0	-4.085952	0	0.2561284	0	-0.8052381	0	-0.862292	0	-3.787346	0	-1.284897	0	-2.076861	0	-3.233715	0	1.987915	0	-4.240063	0	-0.8052381	0	0.948255	0.9959193	-0.4333434	-0.9319135	-2.239612	-1.962491	-5.091747	-2.153285	-2.052107	-1.805173	-1.351098	-1.309688	-1.303743	-0.393299	-1.340894	-2.132462	-1.001635	-1.516803	-3.640309	-0.849663						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520305	680			15	680	1	239	189	262	262	-4.542975	0	-4.045751	0	0.06934719	0	-1.006015	0	-0.9721774	0	-3.937668	0	-1.169092	0	-2.210148	0	-3.267082	0	1.876936	0	-4.542975	0	-0.9721774	0	0.9311054	0.9545876	-0.4664102	-0.8897274	-2.452461	-2.016975	-5.05154	-2.256512	-2.21568	-1.94381	-1.051225	-1.116854	-1.36238	-0.4934345	-1.218145	-2.0356	-1.223458	-1.625738	-3.71526	-0.9876007						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520345	720			16	720	1	239	188	262	262	-4.506733	0	-4.121153	0	0.07047676	0	-1.027067	0	-0.9735248	0	-3.918989	0	-1.181787	0	-2.266134	0	-3.341458	0	1.971466	0	-4.506733	0	-0.9735248	0	0.8811056	0.9256688	-0.5159244	-0.9071372	-2.446572	-2.013095	-5.06689	-2.259387	-2.221905	-1.927656	-1.034403	-1.071008	-1.320986	-0.478664	-1.219136	-2.008972	-1.248962	-1.643628	-3.702829	-0.9921723						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520385	760			17	760	1	239	188	262	262	-4.526051	0	-4.091126	0	0.06344489	0	-1.082172	0	-0.9866886	0	-3.920192	0	-1.204603	0	-2.261729	0	-3.329669	0	1.953913	0	-4.526051	0	-0.9866886	0	0.8971812	0.941238	-0.5197922	-0.9349862	-2.449025	-2.016122	-5.068248	-2.251277	-2.219283	-1.941074	-1.055161	-1.099408	-1.316376	-0.5292386	-1.230292	-2.025427	-1.260266	-1.647465	-3.705748	-0.9575055						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520425	800			18	800	1	239	188	262	262	-4.482877	0	-4.083591	0	0.1319103	0	-1.09456	0	-1.020657	0	-3.970851	0	-1.29055	0	-2.307709	0	-3.354701	0	1.928355	0	-4.482877	0	-1.020657	0	0.849448	0.9174086	-0.5585729	-0.9178907	-2.491047	-2.024079	-5.067558	-2.310381	-2.214149	-1.923275	-1.108102	-1.128044	-1.280254	-0.5355777	-1.158087	-2.006366	-1.181703	-1.549275	-3.613097	-1.03473						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520465	840			19	840	1	239	188	262	262	-4.350749	0	-4.023008	0	0.1652544	0	-1.116424	0	-1.047952	0	-3.906085	0	-1.402908	0	-2.288017	0	-3.29863	0	1.853382	0	-4.350749	0	-1.047952	0	0.8594026	0.9369267	-0.5718914	-0.9182692	-2.447608	-2.01034	-5.064595	-2.281208	-2.181102	-1.936521	-1.225149	-1.225315	-1.387477	-0.5331316	-1.185643	-2.084199	-1.102345	-1.48722	-3.586356	-0.9471737						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520505	880			20	880	1	239	188	262	262	-4.326749	0	-4.020231	0	0.1519569	0	-1.203887	0	-1.011549	0	-3.821414	0	-1.37501	0	-2.264263	0	-3.313886	0	1.893953	0	-4.326749	0	-1.011549	0	0.8465377	0.9333085	-0.6124729	-0.9410787	-2.411026	-1.990656	-4.983913	-2.257237	-2.147871	-1.920417	-1.196538	-1.171232	-1.324247	-0.5602891	-1.155837	-2.036935	-1.107015	-1.473926	-3.585805	-0.917115						
FACET-ADFES_ext	20171222	medit M01-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160520545	920			21	920	1	237	187	265	265	-4.072459	0	-4.243225	0	0.3340879	0	-0.9325314	0	-0.8889791	0	-3.824592	0	-1.522128	0	-2.398884	0	-3.507379	0	2.048212	0	-4.072459	0	-0.8889791	0	0.8971757	1.028631	-0.5484369	-0.8931436	-2.425122	-2.060421	-5.241364	-2.217015	-2.051553	-1.821748	-1.488733	-1.368376	-1.276099	-0.453078	-1.355635	-2.198187	-0.95732	-1.436876	-3.623456	-1.035309						
