#Study : FACET-ADFES_ext
#Date : 20171222 11:39:08
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:16.657 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516737	80			0	80	1	215	209	276	276	-4.680326	0	-3.024871	0	0.2634918	0	-1.499838	0	-0.9978641	0	-2.875982	0	-1.830621	0	-1.79547	0	-2.651139	0	2.347389	0	-4.680326	0	-0.9978641	0	0.2238888	0.5392721	-0.8444384	-1.26	-1.990599	-1.583018	-3.563582	-1.837906	-2.372337	-1.847645	-1.233735	-0.756088	-0.7161949	-0.9369861	-0.8162184	-1.525069	-0.9612884	-1.15715	-3.0304	-0.643851						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516777	120			1	120	1	214	208	277	277	-4.675903	0	-3.064838	0	0.3483586	0	-1.534433	0	-1.00004	0	-2.876593	0	-1.89987	0	-1.901923	0	-2.731838	0	2.39706	0	-4.675903	0	-1.00004	0	0.1834448	0.5231501	-0.9238176	-1.262185	-2.081635	-1.614686	-3.590622	-1.79743	-2.376379	-1.862393	-1.266856	-0.711571	-0.5504186	-1.02681	-0.8413019	-1.486611	-0.9821037	-1.120479	-3.038738	-0.7448349						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516817	160			2	160	1	214	208	276	276	-4.864941	0	-2.984336	0	0.4950967	0	-1.280584	0	-1.074643	0	-2.974723	0	-1.864145	0	-1.896461	0	-2.772144	0	2.280959	0	-4.864941	0	-1.074643	0	0.2292184	0.5841908	-0.8613997	-1.145745	-2.133514	-1.650032	-3.721465	-1.891438	-2.416753	-1.952419	-1.336058	-0.8053805	-0.580075	-1.142477	-0.9479375	-1.566418	-0.929881	-1.104239	-3.179818	-0.7323748						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516857	200			3	200	1	214	208	277	277	-4.930583	0	-3.024219	0	0.5113679	0	-1.404232	0	-1.138962	0	-2.978252	0	-1.86684	0	-1.916403	0	-2.812737	0	2.314454	0	-4.930583	0	-1.138962	0	0.2094241	0.5670515	-0.846246	-1.175511	-2.210148	-1.710916	-3.636844	-1.868908	-2.470565	-1.956796	-1.381282	-0.76803	-0.5355538	-1.160554	-0.9340165	-1.563527	-0.832831	-1.027034	-3.191758	-0.8836771						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516897	240			4	240	1	213	207	277	277	-4.817978	0	-2.929242	0	0.509985	0	-1.428745	0	-1.123945	0	-2.838739	0	-1.928328	0	-1.885242	0	-2.76512	0	2.285114	0	-4.817978	0	-1.123945	0	0.1477092	0.5145707	-0.8777853	-1.125251	-2.143603	-1.64427	-3.518887	-1.79975	-2.443334	-1.960615	-1.351247	-0.7387931	-0.4742702	-1.184938	-0.908775	-1.565533	-0.7865801	-0.9562588	-3.181169	-0.9554011						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516937	280			5	280	1	213	207	278	278	-4.906382	0	-2.921159	0	0.4103976	0	-1.452989	0	-1.126818	0	-2.825634	0	-1.848715	0	-1.786139	0	-2.733126	0	2.336974	0	-4.906382	0	-1.126818	0	0.1639377	0.5009738	-0.8471198	-1.169793	-2.123217	-1.606351	-3.48234	-1.802111	-2.474823	-1.95691	-1.302271	-0.7092335	-0.4607646	-1.156387	-0.8890167	-1.516464	-0.8926911	-1.028883	-3.163141	-0.8986893						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160516977	320			6	320	1	213	207	277	277	-4.92951	0	-2.966424	0	0.4598916	0	-1.401806	0	-1.141871	0	-2.914186	0	-1.864363	0	-1.863338	0	-2.783186	0	2.306464	0	-4.92951	0	-1.141871	0	0.1940491	0.5371774	-0.8576978	-1.14072	-2.210705	-1.667757	-3.605348	-1.845467	-2.46769	-1.965078	-1.355534	-0.7494599	-0.4862703	-1.199414	-0.9244732	-1.552749	-0.8476645	-0.9939846	-3.174358	-0.919317						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160517017	360			7	360	1	214	208	276	276	-4.908987	0	-3.124178	0	0.4496321	0	-1.387938	0	-1.107787	0	-3.047093	0	-1.96115	0	-2.047427	0	-2.907842	0	2.368166	0	-4.908987	0	-1.107787	0	0.1513921	0.5261684	-0.8897477	-1.119181	-2.256419	-1.717377	-3.805365	-1.917714	-2.49192	-1.959064	-1.371881	-0.8016062	-0.6845545	-1.116917	-0.9632415	-1.613475	-0.9574585	-1.128871	-3.210952	-0.9987177						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160517057	400			8	400	1	214	208	277	277	-4.961516	0	-3.066325	0	0.3881645	0	-1.414157	0	-1.098093	0	-3.07531	0	-1.915727	0	-1.92705	0	-2.784456	0	2.399614	0	-4.961516	0	-1.098093	0	0.1406581	0.4981796	-0.8752327	-1.178611	-2.227011	-1.673426	-3.674679	-1.92511	-2.496397	-1.932517	-1.356785	-0.7799042	-0.5728921	-1.09782	-0.9124435	-1.542131	-0.9582192	-1.091896	-3.129841	-1.023741						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160517097	440			9	440	1	214	208	278	278	-5.003893	0	-2.969017	0	0.3755451	0	-1.360932	0	-1.069776	0	-3.036502	0	-1.798236	0	-1.742312	0	-2.65162	0	2.374807	0	-5.003893	0	-1.069776	0	0.1584026	0.5055726	-0.8043083	-1.166601	-2.192742	-1.64388	-3.50815	-1.871312	-2.502623	-1.917074	-1.277941	-0.6945484	-0.5043074	-1.061479	-0.8526407	-1.463539	-0.9659408	-1.071626	-3.066588	-1.041964						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160517137	480			10	480	1	215	209	275	275	-5.134938	0	-3.11618	0	0.4663655	0	-1.400255	0	-1.144222	0	-3.279182	0	-1.994505	0	-2.080817	0	-2.867198	0	2.362161	0	-5.134938	0	-1.144222	0	0.1560098	0.5240207	-0.8499646	-1.033699	-2.338111	-1.743316	-3.941045	-2.104357	-2.597619	-2.023698	-1.38271	-0.8653909	-0.8350003	-1.141079	-0.9456921	-1.73493	-0.9679629	-1.167166	-3.312987	-1.060806						
FACET-ADFES_ext	20171222	medit M01-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160517177	520			11	520	1	216	210	274	274	-5.052067	0	-3.031764	0	0.4983806	0	-1.330777	0	-1.159109	0	-3.2635	0	-1.872817	0	-1.962039	0	-2.740566	0	2.277215	0	-5.052067	0	-1.159109	0	0.1893667	0.5389478	-0.7389041	-1.005822	-2.263165	-1.690118	-3.886417	-2.069143	-2.557678	-1.971875	-1.273534	-0.8027975	-0.8675633	-1.09332	-0.9163477	-1.681756	-0.98309	-1.195971	-3.271502	-0.9917384						
