#Study : FACET-ADFES_ext
#Date : 20171222 11:39:10
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:09.665 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509745	80			0	80	1	176	200	300	300	-5.024852	0	-2.644315	0	-0.3945274	0	-0.4738356	0	-1.420599	0	-3.583297	0	-1.9993	0	-2.84802	0	-3.151663	0	2.193135	0	-5.024852	0	-0.4738356	0	-0.1744537	0.4139175	-1.183471	0.3422445	-2.204046	-0.8971514	-5.491503	-1.336026	-2.137072	-1.234195	-1.783285	-1.418088	-1.104114	-1.201435	-1.284438	-1.403531	-1.769329	-1.868681	-3.920433	-3.955896						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509785	120			1	120	1	177	201	299	299	-5.009414	0	-2.679166	0	-0.3724309	0	-0.4880517	0	-1.466071	0	-3.641445	0	-1.945177	0	-2.869202	0	-3.130572	0	2.196089	0	-5.009414	0	-0.4880517	0	-0.1486218	0.4197016	-1.172522	0.2970078	-2.22929	-0.8811551	-5.489273	-1.343266	-2.131112	-1.23039	-1.729581	-1.344451	-1.066637	-1.198924	-1.221129	-1.358526	-1.790459	-1.910412	-3.985103	-3.767778						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509825	160			2	160	1	177	201	299	299	-4.971113	0	-2.648166	0	-0.362679	0	-0.5056288	0	-1.424821	0	-3.605695	0	-1.952577	0	-2.866947	0	-3.126691	0	2.175785	0	-4.971113	0	-0.5056288	0	-0.1474073	0.4320027	-1.171633	0.3382871	-2.215902	-0.8608747	-5.503051	-1.351501	-2.11711	-1.213538	-1.727067	-1.340887	-1.040819	-1.212212	-1.230259	-1.357436	-1.802092	-1.88374	-3.933923	-3.858025						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509865	200			3	200	1	177	201	299	299	-5.074556	0	-2.701031	0	-0.3507088	0	-0.5679408	0	-1.487703	0	-3.607862	0	-2.049506	0	-2.932256	0	-3.214934	0	2.241625	0	-5.074556	0	-0.5679408	0	-0.1667335	0.4274144	-1.203632	0.3456902	-2.295164	-0.8904513	-5.57034	-1.376269	-2.198797	-1.288771	-1.830248	-1.41226	-1.064124	-1.196816	-1.26161	-1.428342	-1.786923	-1.893147	-4.023453	-3.943662						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509905	240			4	240	1	177	200	300	300	-5.057868	0	-2.636502	0	-0.4019105	0	-0.5423923	0	-1.523016	0	-3.544674	0	-2.032027	0	-2.841969	0	-3.152266	0	2.256481	0	-5.057868	0	-0.5423923	0	-0.2293352	0.356081	-1.22119	0.3012739	-2.241212	-0.9513649	-5.495806	-1.299782	-2.183705	-1.284897	-1.77191	-1.396199	-1.134808	-1.162901	-1.23679	-1.430567	-1.760741	-1.881757	-3.986953	-3.927412						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509945	280			5	280	1	177	200	300	300	-5.013123	0	-2.648035	0	-0.38926	0	-0.5612862	0	-1.517034	0	-3.528756	0	-2.019598	0	-2.850927	0	-3.153481	0	2.254496	0	-5.013123	0	-0.5612862	0	-0.2188856	0.3622973	-1.222588	0.2886384	-2.222231	-0.9591703	-5.462859	-1.276194	-2.158131	-1.265792	-1.746023	-1.373783	-1.092961	-1.138398	-1.22581	-1.40187	-1.747909	-1.870392	-3.956802	-3.905064						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160509985	320			6	320	1	177	200	299	299	-5.049457	0	-2.658695	0	-0.4067148	0	-0.5214732	0	-1.520796	0	-3.517651	0	-2.046726	0	-2.870427	0	-3.19831	0	2.232164	0	-5.049457	0	-0.5214732	0	-0.1979236	0.3954115	-1.213823	0.3252044	-2.203867	-0.9182082	-5.456807	-1.268126	-2.154262	-1.268752	-1.767062	-1.4072	-1.103604	-1.113832	-1.239822	-1.413688	-1.737186	-1.872713	-3.979455	-3.908362						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160510025	360			7	360	1	177	201	298	298	-5.063109	0	-2.722132	0	-0.3779292	0	-0.5115094	0	-1.590799	0	-3.540368	0	-2.025302	0	-2.944932	0	-3.25689	0	2.223224	0	-5.063109	0	-0.5115094	0	-0.1504633	0.4350456	-1.213096	0.3086483	-2.202174	-0.8793256	-5.478994	-1.257579	-2.127943	-1.268871	-1.686058	-1.372998	-1.10795	-1.102254	-1.212519	-1.389169	-1.742757	-1.912859	-4.119901	-3.82168						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160510065	400			8	400	1	177	201	299	299	-5.057843	0	-2.692049	0	-0.4037665	0	-0.5080507	0	-1.591932	0	-3.481395	0	-2.106515	0	-2.942466	0	-3.256172	0	2.269482	0	-5.057843	0	-0.5080507	0	-0.1865297	0.4106679	-1.249981	0.3194851	-2.203331	-0.9434434	-5.475566	-1.241127	-2.140244	-1.273339	-1.762145	-1.429609	-1.149661	-1.070546	-1.23547	-1.416418	-1.729989	-1.92119	-4.08846	-3.928932						
FACET-ADFES_ext	20171222	medit F10-Contempt-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160510105	440			9	440	1	177	201	299	299	-5.022193	0	-2.671594	0	-0.4126115	0	-0.4959386	0	-1.567369	0	-3.494214	0	-2.033242	0	-2.947375	0	-3.232598	0	2.197528	0	-5.022193	0	-0.4959386	0	-0.1533222	0.4374272	-1.197422	0.3530056	-2.202964	-0.8833835	-5.4536	-1.225842	-2.131797	-1.251609	-1.688708	-1.384338	-1.124177	-1.064571	-1.25041	-1.364786	-1.75087	-1.912761	-4.038626	-3.906274						
