#Study : FACET-ADFES_ext
#Date : 20171222 11:39:11
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:08.198 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508278	80			0	80	1	190	167	292	292	-4.358766	0	-5.483885	0	-1.039963	0	1.06434	0	-0.327098	0	-6.087122	0	-2.604775	0	-3.484987	0	-4.264835	0	1.908884	0	-4.358766	0	1.06434	0	1.286947	1.529284	-1.107791	-0.00652652	-2.745531	-1.852214	-8.57935	-3.108391	-1.554076	-0.9930792	-2.56237	-1.946608	-1.516281	0.2844992	-1.601356	-2.005752	-1.112825	-1.37265	-3.712119	-4.294919						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508318	120			1	120	1	189	167	294	294	-4.254895	0	-5.422417	0	-0.9802486	0	0.7675986	0	-0.3340364	0	-5.913863	0	-2.550319	0	-3.391399	0	-4.22286	0	2.080426	0	-4.254895	0	0.7675986	0	1.174178	1.477953	-1.247473	-0.04043473	-2.825904	-1.872144	-8.578562	-3.047132	-1.5691	-1.005962	-2.604196	-1.97371	-1.595034	0.1239728	-1.687571	-1.945029	-1.228845	-1.441616	-3.786955	-4.378314						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508358	160			2	160	1	190	167	292	292	-4.663867	0	-5.512284	0	-1.004484	0	1.026842	0	-0.4017639	0	-6.243772	0	-2.613133	0	-3.429785	0	-4.256678	0	1.933817	0	-4.663867	0	1.026842	0	1.273155	1.504553	-1.108877	-0.0281511	-2.804731	-1.859088	-8.597101	-3.233671	-1.661889	-1.056539	-2.586705	-1.958552	-1.470155	0.2123554	-1.589526	-2.050432	-1.143621	-1.352493	-3.808971	-4.293844						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508398	200			3	200	1	189	167	293	293	-4.520825	0	-5.532075	0	-0.884122	0	0.6940892	0	-0.4163405	0	-5.995116	0	-2.638326	0	-3.411818	0	-4.366403	0	2.089693	0	-4.520825	0	0.6940892	0	1.218638	1.48754	-1.205697	-0.0189705	-2.935071	-1.964373	-8.486814	-3.119125	-1.684849	-1.11366	-2.638625	-1.957766	-1.53582	-0.08447866	-1.696754	-1.984434	-1.33461	-1.533458	-3.866899	-4.354818						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508438	240			4	240	1	189	167	293	293	-4.649027	0	-5.697577	0	-0.931899	0	0.8381516	0	-0.4352526	0	-6.239452	0	-2.612371	0	-3.618214	0	-4.502013	0	1.986199	0	-4.649027	0	0.8381516	0	1.298833	1.555907	-1.211571	0.03234155	-2.926974	-1.914142	-8.753914	-3.176067	-1.647965	-1.066537	-2.57384	-1.943086	-1.548657	0.03175324	-1.696193	-1.96895	-1.275501	-1.471023	-3.879766	-4.494902						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508478	280			5	280	1	189	167	294	294	-4.756385	0	-5.69434	0	-0.8199499	0	0.6388006	0	-0.4890653	0	-6.150913	0	-2.599664	0	-3.564619	0	-4.551393	0	2.094526	0	-4.756385	0	0.6388006	0	1.253989	1.536188	-1.267564	0.01144268	-3.029263	-2.008114	-8.753543	-3.155141	-1.692586	-1.13608	-2.580478	-1.960933	-1.611403	-0.1281319	-1.802318	-1.965978	-1.390241	-1.569083	-3.967051	-4.537027						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508518	320			6	320	1	189	166	294	294	-4.618697	0	-5.658381	0	-0.8769373	0	0.807007	0	-0.4360377	0	-6.166359	0	-2.625707	0	-3.612795	0	-4.523613	0	2.006949	0	-4.618697	0	0.807007	0	1.20706	1.514656	-1.322899	0.04819864	-2.946157	-1.889188	-8.710046	-3.097957	-1.624515	-1.059736	-2.580684	-1.931782	-1.562612	0.03786727	-1.713509	-1.929492	-1.218086	-1.429197	-3.857063	-4.472993						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508558	360			7	360	1	188	166	294	294	-4.750031	0	-5.726573	0	-0.8756416	0	0.5997865	0	-0.4789759	0	-6.215085	0	-2.672949	0	-3.630148	0	-4.549375	0	2.163554	0	-4.750031	0	0.5997865	0	1.179588	1.482466	-1.354182	-0.004025679	-3.036772	-1.966569	-8.780372	-3.204895	-1.718902	-1.103134	-2.593731	-1.947407	-1.554994	-0.1202718	-1.696604	-1.954435	-1.356943	-1.500778	-3.910836	-4.608739						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508598	400			8	400	1	189	167	293	293	-4.747075	0	-5.636821	0	-0.8665898	0	0.7915722	0	-0.5166839	0	-6.147767	0	-2.633074	0	-3.540987	0	-4.537048	0	2.004438	0	-4.747075	0	0.7915722	0	1.31535	1.584397	-1.202728	0.04992267	-2.928307	-1.922701	-8.784824	-3.133127	-1.661826	-1.129287	-2.607439	-1.999492	-1.644766	-0.05124632	-1.776322	-2.016949	-1.317403	-1.53652	-4.016916	-4.545054						
FACET-ADFES_ext	20171222	medit F09-Surprise-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160508638	440			9	440	1	189	166	293	293	-4.804284	0	-5.783413	0	-0.8876318	0	0.8500495	0	-0.5270749	0	-6.421454	0	-2.716791	0	-3.692251	0	-4.609437	0	2.036291	0	-4.804284	0	0.8500495	0	1.18509	1.469859	-1.27983	0.05113364	-3.010475	-1.91729	-8.838116	-3.276092	-1.741058	-1.122388	-2.594815	-1.975329	-1.49749	0.08227409	-1.633934	-2.026948	-1.205703	-1.377616	-3.903254	-4.562934						
