#Study : FACET-ADFES_ext
#Date : 20171222 11:39:11
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:05:05.206 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505286	80			0	80	1	188	169	288	288	-1.960744	0	-4.785641	0	-2.27318	0	0.5564322	0	0.3033415	0	-5.126789	0	-2.801481	0	-3.201166	0	-2.986492	0	2.031577	0	-1.960744	0	0.5564322	0	0.3871614	0.7047694	-1.570402	-0.1499206	-2.443291	-1.485593	-7.405586	-2.976746	-0.8872396	-0.2750261	-2.41837	-1.778827	-2.196446	0.8624223	-0.8363654	-1.199807	-1.166725	-1.361345	-2.345298	-4.043123						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505326	120			1	120	1	187	168	290	290	-1.969154	0	-4.860627	0	-2.200747	0	0.4834559	0	0.2707024	0	-5.169344	0	-2.830117	0	-3.159109	0	-2.99349	0	2.157407	0	-1.969154	0	0.4834559	0	0.2877452	0.6629772	-1.567158	-0.1509108	-2.574745	-1.525017	-7.486983	-2.969713	-0.9210029	-0.2854524	-2.504245	-1.919677	-2.493681	0.8205474	-1.000903	-1.245357	-1.179605	-1.330042	-2.397943	-4.074852						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505366	160			2	160	1	187	168	290	290	-2.024142	0	-4.856479	0	-2.182156	0	0.4849005	0	0.2596242	0	-5.148335	0	-2.947081	0	-3.260773	0	-3.072968	0	2.158025	0	-2.024142	0	0.4849005	0	0.2625229	0.664638	-1.618695	-0.1045348	-2.593089	-1.567829	-7.497218	-2.970654	-0.9384122	-0.3287115	-2.481916	-1.923493	-2.497678	0.836023	-1.011354	-1.275292	-1.176117	-1.33311	-2.392764	-4.118373						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505406	200			3	200	1	187	168	290	290	-1.958376	0	-4.91114	0	-2.253215	0	0.2520167	0	0.2429692	0	-5.12709	0	-2.958691	0	-3.03628	0	-2.974396	0	2.326232	0	-1.958376	0	0.2520167	0	0.336087	0.7202149	-1.553193	-0.2219246	-2.555544	-1.556088	-7.525054	-3.028571	-0.9734012	-0.3648797	-2.591384	-2.030349	-2.702242	0.6632262	-1.066464	-1.349031	-1.282608	-1.46867	-2.485625	-4.102759						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505446	240			4	240	1	187	168	289	289	-2.111329	0	-4.910138	0	-2.210272	0	0.5018147	0	0.1912501	0	-5.172693	0	-2.94851	0	-3.280631	0	-3.138847	0	2.181215	0	-2.111329	0	0.5018147	0	0.312727	0.6766455	-1.583005	-0.1279082	-2.643516	-1.633792	-7.536361	-2.978285	-0.987369	-0.3941522	-2.459387	-1.952568	-2.466063	0.8302984	-1.015653	-1.343708	-1.170566	-1.380243	-2.426598	-4.207632						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505486	280			5	280	1	188	168	287	287	-2.161048	0	-4.956342	0	-2.243739	0	0.5966961	0	0.2376584	0	-5.302258	0	-2.929271	0	-3.467478	0	-3.226223	0	2.041585	0	-2.161048	0	0.5966961	0	0.3280124	0.6448662	-1.622202	-0.1724029	-2.700042	-1.718904	-7.51342	-3.001116	-1.004312	-0.3890529	-2.399438	-1.795829	-2.09025	0.9412284	-0.878707	-1.293195	-1.048317	-1.258945	-2.357271	-4.279289						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505526	320			6	320	1	187	167	289	289	-1.989789	0	-4.840717	0	-2.287118	0	0.4358217	0	0.2692533	0	-5.120527	0	-2.80633	0	-3.242385	0	-3.003759	0	2.139182	0	-1.989789	0	0.4358217	0	0.2467419	0.5912332	-1.593968	-0.2211058	-2.558091	-1.531944	-7.392081	-2.926763	-0.9162167	-0.2754314	-2.377643	-1.81096	-2.331415	0.8713072	-0.9138892	-1.173973	-1.159531	-1.32576	-2.292957	-4.081155						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505566	360			7	360	1	187	167	288	288	-2.225034	0	-4.791068	0	-2.200084	0	0.5962139	0	0.2096063	0	-5.167224	0	-2.889631	0	-3.393627	0	-3.100062	0	2.011931	0	-2.225034	0	0.5962139	0	0.1875045	0.5354664	-1.629576	-0.193559	-2.646783	-1.656244	-7.353056	-2.877431	-0.9759235	-0.3694337	-2.32224	-1.741248	-1.980724	0.95389	-0.8405872	-1.235517	-0.9982404	-1.157947	-2.24812	-4.194674						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505606	400			8	400	1	188	168	287	287	-2.248664	0	-4.88216	0	-2.143211	0	0.7339051	0	0.209139	0	-5.224846	0	-2.931358	0	-3.504696	0	-3.266958	0	1.95408	0	-2.248664	0	0.7339051	0	0.2790163	0.5841463	-1.613797	-0.1761205	-2.63429	-1.707729	-7.326041	-2.898046	-1.005368	-0.4177976	-2.353808	-1.701508	-1.815927	0.9859259	-0.8271037	-1.334657	-0.9465483	-1.178959	-2.321168	-4.188803						
FACET-ADFES_ext	20171222	medit F09-Joy-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160505646	440			9	440	1	187	168	287	287	-2.142951	0	-4.892312	0	-2.184127	0	0.6139941	0	0.2388769	0	-5.25838	0	-2.954818	0	-3.447132	0	-3.204141	0	2.001532	0	-2.142951	0	0.6139941	0	0.3353734	0.6782748	-1.605018	-0.1429807	-2.65142	-1.67993	-7.50359	-2.962864	-0.9667903	-0.3577516	-2.408673	-1.778766	-2.068264	0.927325	-0.8522227	-1.290953	-1.060943	-1.254292	-2.373888	-4.253257						
