#Study : FACET-ADFES_ext
#Date : 20171222 11:39:13
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:59.350 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459430	80			0	80	1	165	155	308	308	-6.705051	0	-3.671453	0	-3.122329	0	-1.897	0	-1.486632	0	-3.336067	0	-2.46141	0	-1.881538	0	-2.975121	0	2.897006	0	-6.705051	0	-1.486632	0	-0.3532864	0.05875883	-1.497562	-0.9283118	-2.360425	-1.84024	-6.197667	-1.922147	-2.835173	-2.310735	-1.70681	-2.294563	-3.584353	-1.89188	-2.276913	-2.338473	-2.857343	-3.120676	-5.404659	-2.573004						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459470	120			1	120	1	165	155	307	307	-6.623124	0	-3.680574	0	-2.922412	0	-1.817434	0	-1.391096	0	-3.39799	0	-2.545949	0	-1.910969	0	-2.954625	0	2.867388	0	-6.623124	0	-1.391096	0	-0.2925546	0.1232956	-1.483719	-0.9082217	-2.383092	-1.86699	-6.217982	-1.93343	-2.768301	-2.219099	-1.729243	-2.26742	-3.482936	-1.928972	-2.238115	-2.23267	-2.843343	-3.055611	-5.286492	-2.51741						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459510	160			2	160	1	164	154	308	308	-6.642788	0	-3.631023	0	-3.196309	0	-2.074034	0	-1.414357	0	-3.40655	0	-2.470854	0	-1.889742	0	-2.860965	0	2.96709	0	-6.642788	0	-1.414357	0	-0.5896752	-0.152661	-1.548517	-1.057452	-2.529934	-1.917556	-6.027153	-1.956072	-2.823266	-2.236373	-1.739499	-2.250823	-3.4783	-1.808131	-2.217911	-2.241643	-2.774917	-2.956392	-4.996716	-2.70499						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459550	200			3	200	1	165	154	308	308	-6.562749	0	-3.574907	0	-3.17139	0	-2.059054	0	-1.380262	0	-3.351063	0	-2.426437	0	-1.828441	0	-2.802457	0	2.929618	0	-6.562749	0	-1.380262	0	-0.5618043	-0.1467946	-1.501107	-1.05169	-2.504044	-1.920143	-5.934323	-1.870755	-2.776785	-2.207016	-1.674565	-2.225862	-3.409678	-1.772899	-2.197475	-2.212441	-2.731139	-2.923345	-4.991951	-2.637871						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459590	240			4	240	1	166	155	307	307	-6.358277	0	-3.609841	0	-2.934678	0	-1.764397	0	-1.260539	0	-3.36882	0	-2.483003	0	-1.880213	0	-2.856215	0	2.796335	0	-6.358277	0	-1.260539	0	-0.2093944	0.1835168	-1.424803	-0.9472647	-2.313909	-1.866417	-6.164162	-1.914266	-2.649439	-2.100818	-1.730061	-2.225628	-3.412019	-1.843601	-2.185615	-2.149301	-2.807071	-3.014951	-5.12052	-2.501227						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459630	280			5	280	1	166	155	306	306	-6.353345	0	-3.56943	0	-2.913402	0	-1.780116	0	-1.246936	0	-3.429989	0	-2.413533	0	-1.834042	0	-2.790091	0	2.7751	0	-6.353345	0	-1.246936	0	-0.2244371	0.1500464	-1.390314	-0.9441294	-2.283262	-1.845026	-6.053884	-1.891801	-2.650142	-2.079251	-1.605878	-2.13718	-3.315948	-1.76324	-2.146713	-2.070729	-2.763873	-2.931876	-5.050301	-2.518486						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459670	320			6	320	1	166	155	305	305	-6.397818	0	-3.454519	0	-2.968473	0	-1.769455	0	-1.232352	0	-3.396937	0	-2.293401	0	-1.576363	0	-2.598625	0	2.706418	0	-6.397818	0	-1.232352	0	-0.1842652	0.1761675	-1.275721	-0.9697306	-2.138857	-1.794393	-5.898141	-1.899632	-2.650869	-2.086856	-1.504711	-2.078901	-3.357	-1.677749	-2.144965	-2.067201	-2.773632	-2.913982	-5.063672	-2.521263						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459710	360			7	360	1	166	155	305	305	-6.231633	0	-3.539163	0	-2.765313	0	-1.502053	0	-1.207623	0	-3.407883	0	-2.411052	0	-1.786184	0	-2.775665	0	2.684791	0	-6.231633	0	-1.207623	0	-0.1608517	0.2222103	-1.326382	-0.816345	-2.234582	-1.848628	-6.118175	-1.863216	-2.59578	-2.022005	-1.678458	-2.183629	-3.402442	-1.740207	-2.172935	-2.089628	-2.771205	-2.960234	-5.074204	-2.485513						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459750	400			8	400	1	166	155	306	306	-6.35608	0	-3.584917	0	-2.934146	0	-1.779391	0	-1.237078	0	-3.428368	0	-2.472172	0	-1.871962	0	-2.79532	0	2.816456	0	-6.35608	0	-1.237078	0	-0.3366626	0.04392648	-1.448221	-0.962677	-2.391406	-1.910112	-6.043606	-1.868549	-2.651777	-2.047672	-1.677068	-2.177457	-3.304337	-1.739883	-2.104627	-2.062141	-2.732656	-2.883271	-4.932805	-2.5538						
FACET-ADFES_ext	20171222	medit F08-Pride-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160459790	440			9	440	1	166	155	306	306	-6.497443	0	-3.559432	0	-2.933249	0	-1.687172	0	-1.257833	0	-3.425553	0	-2.442968	0	-1.778478	0	-2.762078	0	2.767934	0	-6.497443	0	-1.257833	0	-0.2804868	0.1013459	-1.381503	-0.9296849	-2.388833	-1.920769	-5.941819	-1.879581	-2.681105	-2.083914	-1.637442	-2.15065	-3.375301	-1.711001	-2.12881	-2.061546	-2.763577	-2.864343	-4.908701	-2.414715						
