#Study : FACET-ADFES_ext
#Date : 20171222 11:39:14
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:55.506 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455586	80			0	80	1	183	157	308	308	-6.459287	0	-3.291534	0	-4.846453	0	-3.267939	0	-1.207839	0	-2.504015	0	-1.821605	0	-0.7067414	0	-1.990866	0	2.646382	0	-6.459287	0	-1.207839	0	-0.05687789	0.1342989	-1.331823	-1.993945	-1.673561	-1.227867	-5.056245	-1.787716	-2.590765	-2.300751	-1.103472	-2.11805	-3.353571	-1.324569	-2.169771	-2.082614	-2.575505	-2.974855	-4.787882	-1.637956						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455626	120			1	120	1	184	156	309	309	-6.337487	0	-3.869333	0	-3.972362	0	-2.599287	0	-1.376201	0	-2.653475	0	-2.01459	0	-1.635146	0	-2.984046	0	2.706717	0	-6.337487	0	-1.376201	0	-0.0431896	0.2914366	-1.582075	-1.585541	-1.977298	-1.57812	-5.535964	-1.773338	-2.598215	-2.372776	-1.099214	-2.087147	-3.194587	-1.344299	-2.081667	-2.037573	-2.419736	-2.89804	-5.114588	-1.972539						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455666	160			2	160	1	184	157	308	308	-6.157482	0	-3.835816	0	-3.620355	0	-2.359715	0	-1.280043	0	-2.752934	0	-2.143099	0	-1.701608	0	-2.959324	0	2.70978	0	-6.157482	0	-1.280043	0	-0.008495709	0.3448347	-1.584121	-1.529402	-1.971197	-1.622274	-5.678435	-1.794156	-2.530622	-2.308596	-1.275746	-2.1399	-3.210524	-1.355837	-2.115619	-2.049693	-2.408417	-2.827089	-5.094785	-1.909468						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455706	200			3	200	1	184	157	308	308	-6.314928	0	-3.751199	0	-3.739082	0	-2.371527	0	-1.355661	0	-2.771362	0	-2.082076	0	-1.621361	0	-2.906346	0	2.691911	0	-6.314928	0	-1.355661	0	-0.02437763	0.3042715	-1.526986	-1.45548	-1.969019	-1.592692	-5.643625	-1.804958	-2.603927	-2.355546	-1.220622	-2.157164	-3.280747	-1.397421	-2.140702	-2.081353	-2.504585	-2.918797	-5.130225	-1.923244						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455746	240			4	240	1	184	156	308	308	-6.219392	0	-3.86285	0	-3.717864	0	-2.364863	0	-1.28033	0	-2.846025	0	-2.210265	0	-1.717103	0	-2.933947	0	2.746715	0	-6.219392	0	-1.28033	0	-0.0775883	0.2728719	-1.609082	-1.519933	-2.032232	-1.650377	-5.755892	-1.81556	-2.549967	-2.293801	-1.278227	-2.177682	-3.288213	-1.382076	-2.133258	-2.053943	-2.45538	-2.844924	-5.022696	-1.966744						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455786	280			5	280	1	185	157	309	309	-5.999972	0	-3.900712	0	-3.467987	0	-2.068709	0	-1.286105	0	-2.601932	0	-2.159251	0	-1.911725	0	-3.18292	0	2.671147	0	-5.999972	0	-1.286105	0	0.06065245	0.4138564	-1.51585	-1.228379	-1.897811	-1.576725	-5.773357	-1.667449	-2.566156	-2.342273	-1.181534	-2.105108	-3.310534	-1.315689	-2.123844	-2.098397	-2.388849	-2.944441	-5.215871	-2.279274						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455826	320			6	320	1	185	157	309	309	-5.985515	0	-3.885906	0	-3.402458	0	-2.092149	0	-1.256685	0	-2.717979	0	-2.168488	0	-1.912677	0	-3.158603	0	2.691582	0	-5.985515	0	-1.256685	0	0.03253184	0.3874876	-1.538161	-1.219035	-1.951722	-1.620305	-5.816308	-1.698741	-2.544158	-2.303463	-1.195941	-2.103409	-3.252093	-1.349622	-2.132888	-2.072408	-2.439821	-2.941686	-5.190472	-2.276729						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455866	360			7	360	1	184	156	309	309	-6.180533	0	-3.876406	0	-3.531354	0	-2.240497	0	-1.34285	0	-2.691965	0	-2.220241	0	-1.939531	0	-3.186582	0	2.724859	0	-6.180533	0	-1.34285	0	-0.06951521	0.3091534	-1.601615	-1.253555	-2.01349	-1.61412	-5.716301	-1.707644	-2.637028	-2.371659	-1.194991	-2.135881	-3.274149	-1.390112	-2.142219	-2.106068	-2.39157	-2.89774	-5.173381	-2.34865						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455906	400			8	400	1	184	156	309	309	-6.279859	0	-3.824641	0	-3.624179	0	-2.300361	0	-1.355545	0	-2.743488	0	-2.1416	0	-1.815302	0	-3.096761	0	2.705079	0	-6.279859	0	-1.355545	0	-0.03552955	0.2913281	-1.557732	-1.293506	-2.036849	-1.644752	-5.698427	-1.745553	-2.633841	-2.374275	-1.142205	-2.114612	-3.242327	-1.400989	-2.12937	-2.091047	-2.481255	-2.940266	-5.204043	-2.191202						
FACET-ADFES_ext	20171222	medit F08-Disgust-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160455946	440			9	440	1	184	156	309	309	-6.296238	0	-3.940533	0	-3.555822	0	-2.32716	0	-1.402197	0	-2.804531	0	-2.272998	0	-2.056653	0	-3.277369	0	2.744097	0	-6.296238	0	-1.402197	0	-0.07837294	0.3120614	-1.656747	-1.271439	-2.069648	-1.643948	-5.838653	-1.782702	-2.656786	-2.425861	-1.19366	-2.110854	-3.271767	-1.379439	-2.175944	-2.132744	-2.421007	-2.882925	-5.285474	-2.442238						
