#Study : FACET-ADFES_ext
#Date : 20171222 11:39:14
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:54.064 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454144	80			0	80	1	172	171	309	309	-7.2831	0	-4.050431	0	-3.059646	0	-2.159975	0	-1.782898	0	-3.178456	0	-1.83203	0	-1.914795	0	-3.352443	0	2.804079	0	-7.2831	0	-1.782898	0	-0.06707331	0.2578368	-1.4133	-1.184412	-2.064095	-1.697921	-5.879508	-1.69806	-3.035571	-2.804584	-1.182306	-2.045819	-3.431933	-1.581063	-2.284696	-2.336755	-2.38584	-2.824953	-5.685502	-2.374269						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454184	120			1	120	1	173	173	308	308	-7.373432	0	-3.953277	0	-4.106722	0	-2.768992	0	-1.646207	0	-2.624982	0	-1.367237	0	-1.134729	0	-2.853528	0	2.609723	0	-7.373432	0	-1.367237	0	0.3314286	0.6004084	-1.284717	-2.024315	-1.774516	-1.521252	-5.338819	-1.623347	-2.929051	-2.854685	-1.180213	-2.093012	-3.2565	-1.634501	-2.288548	-2.186031	-2.381925	-2.969541	-5.816141	-1.003118						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454224	160			2	160	1	173	174	310	310	-7.154783	0	-3.410058	0	-6.991837	0	-3.733372	0	-1.522163	0	-1.705264	0	-0.8270747	0	-0.3119412	0	-2.121692	0	2.120632	0	-7.154783	0	-0.8270747	0	0.5314146	0.6754125	-1.147597	-3.191411	-1.652442	-1.084041	-3.840278	-1.505814	-2.625067	-2.775403	-0.9263323	-1.901521	-3.207112	-1.371139	-2.081706	-1.958964	-2.370279	-3.061138	-5.601149	0.540646						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454264	200			3	200	1	173	174	309	309	-7.53009	0	-3.470454	0	-7.327062	0	-3.93237	0	-1.664492	0	-1.910714	0	-0.8449797	0	-0.3210049	0	-2.163282	0	2.196667	0	-7.53009	0	-0.8449797	0	0.4938405	0.5626279	-1.158006	-3.311313	-1.979753	-1.323828	-4.08536	-1.505555	-2.780188	-2.953591	-0.9448706	-2.03897	-3.22739	-1.471848	-2.278425	-2.117111	-2.5183	-3.20551	-5.853481	1.122234						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454304	240			4	240	1	173	173	309	309	-7.333753	0	-3.344451	0	-7.29968	0	-4.093642	0	-1.618181	0	-1.712507	0	-0.8167087	0	-0.2196692	0	-2.040369	0	2.151607	0	-7.333753	0	-0.8167087	0	0.4706748	0.5702096	-1.155435	-3.364534	-1.812094	-1.169987	-3.777292	-1.499961	-2.636268	-2.822601	-0.8805834	-1.916908	-3.075095	-1.453922	-2.102486	-1.989734	-2.445478	-3.119985	-5.732753	0.744005						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454344	280			5	280	1	172	173	311	311	-7.247925	0	-3.509324	0	-6.672672	0	-3.698509	0	-1.511181	0	-1.724175	0	-0.9423853	0	-0.3435819	0	-2.051062	0	2.152971	0	-7.247925	0	-0.9423853	0	0.5487602	0.7076584	-1.192464	-2.92992	-1.329639	-0.8210188	-3.992835	-1.570955	-2.700205	-2.832666	-0.9735495	-1.878686	-3.402622	-1.451893	-2.131601	-2.019909	-2.265815	-2.999234	-5.530079	0.003475572						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454384	320			6	320	1	171	172	311	311	-7.097754	0	-3.571616	0	-5.992574	0	-3.52455	0	-1.538599	0	-1.809116	0	-1.090736	0	-0.4601105	0	-2.188859	0	2.240305	0	-7.097754	0	-1.090736	0	0.504515	0.7207494	-1.19817	-2.397415	-1.066334	-0.6346001	-4.324322	-1.642849	-2.784281	-2.836243	-1.093238	-2.084425	-3.6334	-1.449381	-2.240752	-2.166477	-2.229475	-2.96171	-5.532832	-0.7264501						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454424	360			7	360	1	170	172	311	311	-7.235065	0	-3.635788	0	-5.613106	0	-3.462955	0	-1.602794	0	-2.027815	0	-1.124743	0	-0.628272	0	-2.342596	0	2.318368	0	-7.235065	0	-1.124743	0	0.4328419	0.6525841	-1.165372	-2.179039	-1.107675	-0.7132747	-4.677321	-1.705607	-2.856005	-2.839323	-1.023696	-2.057414	-3.684616	-1.48128	-2.231961	-2.19857	-2.324192	-3.017023	-5.574503	-1.135017						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454464	400			8	400	1	171	173	310	310	-7.207069	0	-3.682324	0	-4.705586	0	-2.880463	0	-1.606046	0	-2.343725	0	-1.227455	0	-0.8288046	0	-2.533785	0	2.467371	0	-7.207069	0	-1.227455	0	0.3312826	0.5175159	-1.116158	-1.789204	-1.357216	-1.057769	-5.058214	-1.685126	-2.951081	-2.830964	-1.075573	-2.101361	-3.655679	-1.505226	-2.216493	-2.273081	-2.402241	-3.084504	-5.735462	-1.318706						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454504	440			9	440	1	172	173	309	309	-7.389544	0	-3.851559	0	-4.395997	0	-2.990261	0	-1.70834	0	-2.51766	0	-1.30991	0	-1.034827	0	-2.79124	0	2.601089	0	-7.389544	0	-1.30991	0	0.2927819	0.4854204	-1.159987	-1.725883	-1.56428	-1.262396	-5.275429	-1.760049	-3.038368	-2.906722	-1.086854	-2.07133	-3.623621	-1.607763	-2.234313	-2.371512	-2.500216	-3.135705	-6.016823	-1.547509						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454544	480			10	480	1	172	172	310	310	-7.263581	0	-4.007379	0	-4.374696	0	-2.73004	0	-1.679831	0	-2.677689	0	-1.33635	0	-1.201131	0	-2.908504	0	2.623384	0	-7.263581	0	-1.33635	0	0.2687825	0.4582036	-1.18028	-1.556188	-1.615069	-1.316859	-5.495413	-1.785991	-3.044067	-2.867332	-1.127901	-2.090862	-3.77635	-1.446614	-2.25548	-2.38633	-2.504533	-3.172837	-5.982573	-1.761324						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454584	520			11	520	1	172	172	309	309	-7.309663	0	-3.962656	0	-4.008556	0	-2.583171	0	-1.72123	0	-2.712076	0	-1.396116	0	-1.289992	0	-3.00115	0	2.665709	0	-7.309663	0	-1.396116	0	0.2046365	0.4118607	-1.20299	-1.422089	-1.717077	-1.41292	-5.52868	-1.743761	-3.073629	-2.895314	-1.119	-2.134041	-3.697326	-1.501947	-2.315843	-2.419908	-2.479657	-3.127394	-6.013556	-1.838921						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454624	560			12	560	1	172	172	308	308	-7.509354	0	-3.983366	0	-3.821458	0	-2.650197	0	-1.808021	0	-2.87727	0	-1.513847	0	-1.416983	0	-3.080144	0	2.787467	0	-7.509354	0	-1.513847	0	0.1630363	0.4089597	-1.261293	-1.476398	-1.804373	-1.51598	-5.642782	-1.725646	-3.093853	-2.930258	-1.023297	-2.062459	-3.407401	-1.627226	-2.335135	-2.355807	-2.53049	-3.095224	-5.947516	-2.062577						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454664	600			13	600	1	172	172	309	309	-7.415743	0	-4.085748	0	-3.761075	0	-2.508313	0	-1.828867	0	-2.863035	0	-1.580182	0	-1.595056	0	-3.233224	0	2.741863	0	-7.415743	0	-1.580182	0	0.1330537	0.3810187	-1.304294	-1.28877	-1.835164	-1.487207	-5.737081	-1.735279	-3.138711	-2.9199	-1.13447	-2.157389	-3.585415	-1.554585	-2.36961	-2.444604	-2.465032	-3.074833	-6.002743	-2.249256						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454704	640			14	640	1	172	171	310	310	-7.293613	0	-4.141138	0	-3.848003	0	-2.478512	0	-1.780747	0	-2.799737	0	-1.606054	0	-1.71112	0	-3.282314	0	2.747108	0	-7.293613	0	-1.606054	0	0.08541574	0.3464016	-1.346498	-1.276782	-1.886156	-1.528758	-5.716632	-1.711918	-3.131739	-2.872069	-1.114654	-2.105732	-3.615488	-1.465662	-2.322724	-2.394687	-2.45845	-3.090204	-5.890342	-2.345384						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454744	680			15	680	1	171	171	312	312	-7.47256	0	-4.156973	0	-3.870371	0	-2.545209	0	-1.843408	0	-2.752439	0	-1.615226	0	-1.820194	0	-3.38508	0	2.793412	0	-7.47256	0	-1.615226	0	-0.01291359	0.274369	-1.418438	-1.264157	-2.021978	-1.586389	-5.574973	-1.64951	-3.195133	-2.903772	-0.9581078	-2.009809	-3.514073	-1.487059	-2.283818	-2.351071	-2.402237	-3.030941	-5.765131	-2.45784						
FACET-ADFES_ext	20171222	medit F08-Anger-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160454784	720			16	720	1	172	171	310	310	-7.602375	0	-4.174572	0	-3.705544	0	-2.620846	0	-1.927269	0	-2.861799	0	-1.734209	0	-1.882938	0	-3.465996	0	2.833558	0	-7.602375	0	-1.734209	0	-0.05261805	0.2392452	-1.482214	-1.306287	-2.102905	-1.650666	-5.660275	-1.699071	-3.221865	-2.968273	-1.010742	-2.018158	-3.449859	-1.557488	-2.313143	-2.417618	-2.394805	-2.965603	-5.920651	-2.503635						
