#Study : FACET-ADFES_ext
#Date : 20171222 11:39:14
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:51.063 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451143	80			0	80	1	199	163	287	287	-0.803588	0	-1.973731	0	-3.02079	0	0.7994106	0	-0.1965752	0	-2.281563	0	-0.901735	0	-0.2887456	0	-0.6380433	0	0.1269241	0	-0.803588	0	0.7994106	0	0.04814631	-0.4180085	0.1613141	-0.1656998	-1.375376	-0.728635	-3.08807	-0.5588737	-0.3935483	-0.04206342	-0.8602448	-1.36188	-2.330863	0.6741052	-0.6215077	-0.6619234	-0.6214761	-0.9454682	-1.583806	-2.056233						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451183	120			1	120	1	199	162	289	289	-1.030817	0	-1.846107	0	-3.156648	0	0.7371511	0	-0.2251464	0	-2.283337	0	-0.6657181	0	-0.1429841	0	-0.4545605	0	-0.01960838	0	-1.030817	0	0.7371511	0	0.08623528	-0.4297528	0.2346337	-0.1728097	-1.395924	-0.6453578	-2.918541	-0.5695916	-0.4214992	0.157803	-0.8207476	-1.20021	-2.260378	0.7438451	-0.5294926	-0.5128981	-0.6281468	-0.9220049	-1.267505	-2.188927						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451223	160			2	160	1	200	163	289	289	-1.073239	0	-1.728205	0	-3.186943	0	0.750793	0	-0.2449637	0	-2.184355	0	-0.7831002	0	-0.1470033	0	-0.3875165	0	-0.09540376	0	-1.073239	0	0.750793	0	0.07164478	-0.4216362	0.2469271	-0.04186424	-1.340728	-0.5866215	-2.869923	-0.5542417	-0.4476871	0.1551367	-0.8981584	-1.274342	-2.299446	0.7220464	-0.5580096	-0.5448592	-0.6884422	-0.97138	-1.319758	-2.036314						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451263	200			3	200	1	199	163	290	290	-1.112005	0	-1.87424	0	-3.181991	0	0.9072996	0	-0.3099225	0	-2.406232	0	-0.67396	0	-0.2882745	0	-0.5426022	0	-0.07841326	0	-1.112005	0	0.9072996	0	0.1465076	-0.3608139	0.2791879	0.006523888	-1.405287	-0.5916568	-3.041592	-0.5845141	-0.4337103	0.1307319	-0.8095357	-1.232802	-2.3637	0.8310262	-0.5359215	-0.4949941	-0.6222649	-0.9645665	-1.247242	-2.336771						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451303	240			4	240	1	201	164	287	287	-0.8050291	0	-1.849802	0	-2.966627	0	0.7955411	0	-0.1250757	0	-2.230078	0	-1.00973	0	-0.1129493	0	-0.369093	0	-0.004430688	0	-0.8050291	0	0.7955411	0	0.02927376	-0.4234599	0.2023027	-0.0829934	-1.266079	-0.6421627	-2.90477	-0.542055	-0.3455956	0.1926612	-0.9017271	-1.332284	-2.280881	0.6582612	-0.5606439	-0.5214483	-0.778638	-1.003719	-1.284423	-1.878946						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451343	280			5	280	1	200	164	287	287	-0.7390448	0	-1.856456	0	-2.986951	0	0.7619451	0	-0.1126621	0	-2.320509	0	-1.082456	0	-0.08893432	0	-0.2870247	0	-0.06786128	0	-0.7390448	0	0.7619451	0	-0.01734153	-0.5022092	0.2326576	-0.1618081	-1.279407	-0.633038	-2.87951	-0.5961761	-0.3462996	0.2628278	-0.936884	-1.322219	-2.184524	0.6669481	-0.4991664	-0.4338216	-0.8240134	-0.9892966	-1.182729	-1.881724						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451383	320			6	320	1	201	164	287	287	-0.7004809	0	-1.857958	0	-2.93796	0	0.8486913	0	-0.135295	0	-2.405725	0	-1.215406	0	-0.2646749	0	-0.3928719	0	-0.2395943	0	-0.7004809	0	0.8486913	0	0.05077688	-0.4225526	0.2524573	0.008353118	-1.236245	-0.633864	-2.965336	-0.6499194	-0.2799963	0.3051319	-1.008558	-1.31642	-2.266282	0.6281188	-0.4992136	-0.4682349	-0.8553047	-1.017417	-1.206102	-1.949052						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451423	360			7	360	1	200	164	287	287	-0.7586727	0	-1.821824	0	-2.907234	0	0.7933841	0	-0.1229169	0	-2.268139	0	-1.118563	0	-0.1323443	0	-0.3348808	0	-0.08322358	0	-0.7586727	0	0.7933841	0	0.03113693	-0.4458196	0.2410945	-0.06519749	-1.26235	-0.6255674	-2.857806	-0.5690281	-0.3384433	0.2468043	-0.9733717	-1.34799	-2.241632	0.642297	-0.5295808	-0.4932146	-0.7755123	-0.9655874	-1.254434	-2.003715						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451463	400			8	400	1	199	164	287	287	-0.6633433	0	-1.891074	0	-2.74913	0	0.9254076	0	-0.1097322	0	-2.203429	0	-1.196873	0	-0.2428555	0	-0.5280642	0	0.06075851	0	-0.6633433	0	0.9254076	0	0.006412696	-0.3494356	0.1501096	0.03107985	-1.169773	-0.6509336	-2.928866	-0.5004097	-0.2561732	0.1061477	-0.9024827	-1.366012	-2.373445	0.6306741	-0.6225204	-0.6175888	-0.7668865	-1.01081	-1.405447	-1.950317						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451503	440			9	440	1	198	164	288	288	-0.7859464	0	-1.884251	0	-2.833825	0	1.054056	0	-0.2075245	0	-2.218393	0	-0.8544211	0	-0.3473578	0	-0.6565843	0	-0.02515601	0	-0.7859464	0	1.054056	0	0.06701425	-0.340514	0.2253204	0.09329515	-1.205118	-0.6300352	-2.922354	-0.4202011	-0.2867489	0.03520258	-0.7303126	-1.267201	-2.338426	0.764147	-0.6108795	-0.6020384	-0.5839663	-0.9031315	-1.401228	-2.152187						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451543	480			10	480	1	198	164	288	288	-0.8275974	0	-1.901751	0	-2.917868	0	0.9025353	0	-0.1889865	0	-2.177379	0	-0.9517097	0	-0.1555231	0	-0.494756	0	0.007141589	0	-0.8275974	0	0.9025353	0	0.02464303	-0.4413891	0.2756248	-0.08154716	-1.266895	-0.6341989	-2.807616	-0.4412545	-0.3631514	0.111196	-0.800081	-1.343598	-2.256443	0.7443064	-0.609611	-0.579696	-0.611141	-0.9100267	-1.33115	-2.065454						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451583	520			11	520	1	198	164	288	288	-0.7112359	0	-1.924969	0	-2.826889	0	0.9821198	0	-0.1701657	0	-2.218916	0	-0.9915308	0	-0.2490197	0	-0.5826339	0	0.02335323	0	-0.7112359	0	0.9821198	0	0.0397927	-0.3482391	0.2114393	-0.005382725	-1.190312	-0.6330904	-2.858839	-0.412631	-0.2643058	0.09466175	-0.7880316	-1.306777	-2.29138	0.7647123	-0.5908867	-0.5900046	-0.5825949	-0.8943793	-1.332864	-2.063973						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451623	560			12	560	1	197	165	287	287	-0.6431369	0	-1.826538	0	-2.907413	0	0.9687598	0	-0.184968	0	-2.246061	0	-0.9694601	0	-0.3272024	0	-0.5905054	0	-0.2198325	0	-0.6431369	0	0.9687598	0	0.0946191	-0.3279219	0.2627957	0.03779848	-1.094119	-0.5120732	-2.902171	-0.5133131	-0.1806148	0.09484565	-0.7797495	-1.250288	-2.309707	0.5964242	-0.5506513	-0.5828573	-0.6822234	-0.943428	-1.475878	-2.019634						
FACET-ADFES_ext	20171222	medit F07-Neutral-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160451663	600			13	600	1	197	165	288	288	-0.7063792	0	-1.802588	0	-3.06042	0	0.7526802	0	-0.1430825	0	-2.220737	0	-0.8868766	0	-0.1424778	0	-0.4614693	0	-0.1031083	0	-0.7063792	0	0.7526802	0	0.04634188	-0.4390455	0.2883581	-0.1554088	-1.18134	-0.5668876	-2.758939	-0.4946211	-0.2483674	0.1223869	-0.7390199	-1.250118	-2.200701	0.642853	-0.4747067	-0.5042738	-0.6580633	-0.9419113	-1.34071	-1.995796						
