#Study : FACET-ADFES_ext
#Date : 20171222 11:39:15
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:48.738 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160448818	80			0	80	1	177	179	310	310	-3.341909	0	-1.996681	0	-2.805379	0	0.7410121	0	-0.7115049	0	-3.490329	0	-0.5330317	0	0.2714699	0	-0.6470228	0	1.023283	0	-3.341909	0	0.7410121	0	-0.03512684	-0.47774	0.1235602	-0.3502499	-2.602168	-1.25194	-4.364279	-1.229529	-1.548239	-0.7393857	-0.8399758	-1.467805	-2.569448	0.4732665	-1.447748	-0.9002558	-1.353884	-1.592013	-2.373761	-2.499098						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160448858	120			1	120	1	177	178	311	311	-3.343983	0	-1.95633	0	-2.969608	0	0.6568736	0	-0.7214829	0	-3.484322	0	-0.5841124	0	0.312699	0	-0.6072109	0	0.9899318	0	-3.343983	0	0.6568736	0	-0.06878021	-0.5527343	0.1749565	-0.3806719	-2.586144	-1.159306	-4.333056	-1.334374	-1.604548	-0.7928614	-0.9211072	-1.473602	-2.58124	0.5170834	-1.487876	-0.9217953	-1.38017	-1.640843	-2.446317	-2.577048						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160448898	160			2	160	1	178	179	310	310	-3.387014	0	-1.924225	0	-2.75671	0	0.7088374	0	-0.6943409	0	-3.519218	0	-0.5802557	0	0.3123857	0	-0.5662469	0	1.011332	0	-3.387014	0	0.7088374	0	-0.0002089943	-0.4760951	0.1418415	-0.3634731	-2.606278	-1.279521	-4.331132	-1.291859	-1.552977	-0.7622145	-0.9257753	-1.480789	-2.443696	0.3286398	-1.4621	-0.8760992	-1.479621	-1.684982	-2.44691	-2.396094						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160448938	200			3	200	1	176	178	313	313	-3.524831	0	-2.064393	0	-3.39382	0	0.7661128	0	-0.781637	0	-3.508966	0	-0.3689836	0	0.2158932	0	-0.728323	0	0.9311017	0	-3.524831	0	0.7661128	0	-0.01390116	-0.4922975	0.2221753	-0.3131938	-2.530888	-1.114534	-4.460504	-1.245825	-1.682459	-0.7684814	-0.9602219	-1.467108	-2.86238	0.7317719	-1.555593	-1.001819	-1.348572	-1.650492	-2.430737	-2.873509						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160448978	240			4	240	1	176	179	311	311	-3.145101	0	-1.934623	0	-2.900598	0	0.9247494	0	-0.5380381	0	-3.47695	0	-0.5580534	0	0.2315857	0	-0.6478919	0	0.9157075	0	-3.145101	0	0.9247494	0	0.08009119	-0.3840331	0.2424944	-0.1959378	-2.448394	-1.12715	-4.346841	-1.181783	-1.529338	-0.7252886	-1.02412	-1.496933	-2.662465	0.5297226	-1.502895	-0.9783794	-1.401443	-1.681002	-2.467924	-2.518454						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160449018	280			5	280	1	177	180	310	310	-3.331697	0	-2.012189	0	-2.749483	0	1.077867	0	-0.6353377	0	-3.482748	0	-0.4468519	0	0.147541	0	-0.757564	0	0.942337	0	-3.331697	0	1.077867	0	0.1263164	-0.2949955	0.1979972	-0.09258965	-2.441704	-1.217801	-4.378377	-1.080707	-1.535418	-0.7527315	-0.9105911	-1.475788	-2.796291	0.5641777	-1.466232	-1.06199	-1.353612	-1.620217	-2.424214	-2.507121						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160449058	320			6	320	1	177	179	311	311	-3.377428	0	-1.956474	0	-2.778564	0	1.014644	0	-0.6600254	0	-3.439432	0	-0.4767003	0	0.1816411	0	-0.7331219	0	0.9891097	0	-3.377428	0	1.014644	0	0.08214748	-0.3057964	0.1626525	-0.1087777	-2.449728	-1.189741	-4.367503	-1.089048	-1.555448	-0.7952749	-0.927892	-1.472367	-2.777676	0.5525023	-1.526236	-1.065377	-1.350238	-1.625954	-2.474538	-2.57595						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160449098	360			7	360	1	177	180	310	310	-3.256886	0	-1.99908	0	-2.67146	0	1.071682	0	-0.6251611	0	-3.404563	0	-0.4845867	0	0.1155495	0	-0.7604974	0	0.9972573	0	-3.256886	0	1.071682	0	0.07833137	-0.2843753	0.1264973	-0.09426089	-2.439542	-1.240997	-4.339652	-1.023802	-1.49252	-0.7536674	-0.8858916	-1.446572	-2.753279	0.5662014	-1.481968	-1.045533	-1.332362	-1.591796	-2.402978	-2.576701						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160449138	400			8	400	1	176	179	312	312	-3.462946	0	-1.982996	0	-2.976878	0	0.9014067	0	-0.6897309	0	-3.450555	0	-0.4183819	0	0.1930101	0	-0.744683	0	0.9847008	0	-3.462946	0	0.9014067	0	0.04611418	-0.3622707	0.1515359	-0.1977025	-2.504734	-1.206702	-4.398036	-1.100178	-1.610529	-0.8227599	-0.8906292	-1.440957	-2.820578	0.6324776	-1.588512	-1.075567	-1.378823	-1.679899	-2.511225	-2.791906						
FACET-ADFES_ext	20171222	medit F07-Embarrass-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160449178	440			9	440	1	177	179	310	310	-3.430374	0	-1.95046	0	-2.69641	0	0.9810792	0	-0.6749157	0	-3.53754	0	-0.507221	0	0.225924	0	-0.6727996	0	0.9749692	0	-3.430374	0	0.9810792	0	0.07976048	-0.3312524	0.1622176	-0.1552891	-2.503995	-1.209952	-4.370657	-1.174049	-1.534613	-0.7627785	-0.8944121	-1.457053	-2.619535	0.4817837	-1.482568	-0.9637612	-1.426378	-1.634438	-2.436214	-2.393873						
