#Study : FACET-ADFES_ext
#Date : 20171222 11:39:16
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:45.030 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445110	80			0	80	1	216	182	288	288	-6.056493	0	-0.2914723	0	-3.310956	0	-2.223715	0	-1.995165	0	-3.433404	0	-0.7393367	0	1.256494	0	0.3544546	0	1.13365	0	-6.056493	0	-0.2914723	0	-0.4614749	-0.9386287	-0.1461699	-0.5573056	-1.307346	-0.1666253	-2.757819	-2.267713	-2.644297	-1.500308	-0.3904079	-0.253435	-0.3606317	-1.264604	-0.7218415	-0.898591	-2.814338	-2.377655	-3.337039	-2.09965						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445150	120			1	120	1	217	182	287	287	-6.103039	0	-0.299513	0	-3.268237	0	-2.30411	0	-1.989037	0	-3.465724	0	-0.8114305	0	1.240146	0	0.3050918	0	1.164785	0	-6.103039	0	-0.299513	0	-0.5341335	-0.9682157	-0.1632689	-0.5589941	-1.329989	-0.1581116	-2.761967	-2.356747	-2.689697	-1.561577	-0.4299991	-0.2947	-0.3259434	-1.310025	-0.7128478	-0.9871764	-2.73759	-2.320708	-3.327532	-2.142444						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445190	160			2	160	1	217	182	286	286	-6.147649	0	-0.2353197	0	-3.332782	0	-2.377416	0	-1.998013	0	-3.467331	0	-0.8327627	0	1.285024	0	0.3714232	0	1.138458	0	-6.147649	0	-0.2353197	0	-0.547811	-0.9895489	-0.158572	-0.568357	-1.338471	-0.1262387	-2.763259	-2.419561	-2.727688	-1.581249	-0.4198541	-0.2855963	-0.3315678	-1.346214	-0.7091082	-1.002002	-2.776797	-2.338596	-3.325386	-2.121442						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445230	200			3	200	1	215	182	288	288	-5.920556	0	-0.2661194	0	-3.31644	0	-2.212343	0	-2.000325	0	-3.330881	0	-0.6851081	0	1.229326	0	0.4158988	0	1.109958	0	-5.920556	0	-0.2661194	0	-0.4332839	-0.8993553	-0.1531294	-0.5254531	-1.315941	-0.1836618	-2.788743	-2.180489	-2.584229	-1.4296	-0.3631381	-0.2207325	-0.4299781	-1.234206	-0.6901389	-0.8421434	-2.828631	-2.366796	-3.314105	-2.239223						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445270	240			4	240	1	215	182	289	289	-6.03123	0	-0.2986422	0	-3.375565	0	-2.222098	0	-2.076819	0	-3.346161	0	-0.7492954	0	1.240651	0	0.3794388	0	1.143887	0	-6.03123	0	-0.2986422	0	-0.505152	-0.9486404	-0.1699428	-0.5847912	-1.325307	-0.1879292	-2.849521	-2.205696	-2.601282	-1.477078	-0.3738379	-0.2502567	-0.4805798	-1.223717	-0.6947788	-0.8713865	-2.812577	-2.37532	-3.353529	-2.255529						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445310	280			5	280	1	216	182	287	287	-6.042668	0	-0.36181	0	-3.295828	0	-2.309389	0	-1.980441	0	-3.447277	0	-0.8471648	0	1.157225	0	0.2677941	0	1.221606	0	-6.042668	0	-0.36181	0	-0.5656196	-0.9772712	-0.2250274	-0.561592	-1.312658	-0.1791695	-2.808766	-2.334006	-2.673571	-1.53828	-0.4356984	-0.2904087	-0.4176053	-1.322531	-0.7246498	-0.980578	-2.767319	-2.31381	-3.349271	-2.165504						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445350	320			6	320	1	215	182	288	288	-6.11247	0	-0.3338678	0	-3.318374	0	-2.228735	0	-2.078236	0	-3.391934	0	-0.7624878	0	1.248661	0	0.3060256	0	1.168103	0	-6.11247	0	-0.3338678	0	-0.5150887	-0.9567726	-0.1595697	-0.5771581	-1.313732	-0.1626808	-2.771897	-2.243522	-2.649739	-1.546076	-0.3855231	-0.29383	-0.3941167	-1.244262	-0.7152122	-0.9165037	-2.752896	-2.347816	-3.396762	-2.194885						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445390	360			7	360	1	214	181	289	289	-6.070777	0	-0.3225565	0	-3.229128	0	-2.274184	0	-2.08931	0	-3.36061	0	-0.7943528	0	1.226942	0	0.3009179	0	1.198865	0	-6.070777	0	-0.3225565	0	-0.5434585	-0.9188407	-0.206036	-0.5755125	-1.344203	-0.19353	-2.764811	-2.214251	-2.660751	-1.561349	-0.3888009	-0.2716633	-0.3546671	-1.243527	-0.7056548	-0.8915359	-2.756538	-2.31205	-3.39505	-2.241016						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445430	400			8	400	1	215	182	288	288	-6.015329	0	-0.2818202	0	-3.397768	0	-2.324803	0	-2.046045	0	-3.317398	0	-0.7967469	0	1.240969	0	0.3806339	0	1.155155	0	-6.015329	0	-0.2818202	0	-0.5398286	-0.9883176	-0.179509	-0.6113681	-1.295267	-0.1672504	-2.768546	-2.179327	-2.625997	-1.512066	-0.3432135	-0.245685	-0.4262129	-1.268277	-0.7187679	-0.8976007	-2.79973	-2.383418	-3.373959	-2.204368						
FACET-ADFES_ext	20171222	medit F06-Sadness-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160445470	440			9	440	1	214	181	290	290	-6.126509	0	-0.1817462	0	-3.293514	0	-2.26375	0	-2.164146	0	-3.231608	0	-0.7204966	0	1.309391	0	0.4100856	0	1.060053	0	-6.126509	0	-0.1817462	0	-0.5004522	-0.9602066	-0.1268939	-0.5649869	-1.365815	-0.1639569	-2.768256	-2.109708	-2.63716	-1.529519	-0.3487361	-0.1981999	-0.3742315	-1.2375	-0.7216048	-0.8539748	-2.800158	-2.40501	-3.435462	-2.212234						
