#Study : FACET-ADFES_ext
#Date : 20171222 11:39:17
#Version : 6.3.5761.0
#TestRunDate : 20171206 16:04:42.041 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442121	80			0	80	1	208	169	286	286	-5.331875	0	-1.212242	0	-2.369945	0	-1.838118	0	-1.575837	0	-3.632517	0	-1.4908	0	-0.3315177	0	-0.7638455	0	2.004395	0	-5.331875	0	-1.212242	0	-0.8279423	-0.8434349	-0.9823608	-0.09428645	-1.679146	-0.5373651	-3.657894	-2.465811	-2.690322	-1.489661	-0.7560921	-0.5290976	-0.5257235	-1.507046	-0.932339	-1.231649	-2.71238	-2.104573	-3.062601	-2.312071						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442161	120			1	120	1	207	169	288	288	-5.280775	0	-1.118642	0	-2.429007	0	-1.895649	0	-1.647506	0	-3.545044	0	-1.52733	0	-0.1998292	0	-0.6898555	0	1.95484	0	-5.280775	0	-1.118642	0	-0.8359897	-0.8344191	-0.956608	-0.1011704	-1.59543	-0.4781615	-3.616733	-2.38033	-2.625689	-1.493411	-0.7825804	-0.5227374	-0.510505	-1.49656	-0.9075297	-1.212456	-2.754544	-2.131723	-3.11794	-2.287978						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442201	160			2	160	1	207	169	286	286	-5.372574	0	-1.183601	0	-2.386713	0	-1.801962	0	-1.593756	0	-3.654509	0	-1.514473	0	-0.2810869	0	-0.7443783	0	1.989126	0	-5.372574	0	-1.183601	0	-0.8403788	-0.8664271	-0.9684028	-0.08595119	-1.669668	-0.5318043	-3.682186	-2.472659	-2.693568	-1.498961	-0.7634422	-0.5636739	-0.5197588	-1.472826	-0.9561415	-1.249853	-2.697232	-2.114257	-3.058601	-2.35133						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442241	200			3	200	1	207	169	288	288	-5.333742	0	-1.105193	0	-2.423596	0	-1.8336	0	-1.653184	0	-3.619421	0	-1.508021	0	-0.1976444	0	-0.6880004	0	1.933047	0	-5.333742	0	-1.105193	0	-0.8108166	-0.8393297	-0.9040692	-0.1157505	-1.61228	-0.4861855	-3.628311	-2.438605	-2.650687	-1.496866	-0.7791199	-0.5587836	-0.5129057	-1.454772	-0.9200245	-1.204155	-2.730776	-2.128842	-3.065425	-2.3153						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442281	240			4	240	1	207	169	287	287	-5.332146	0	-1.213215	0	-2.409327	0	-1.856282	0	-1.626579	0	-3.730516	0	-1.473118	0	-0.305952	0	-0.7595277	0	1.990314	0	-5.332146	0	-1.213215	0	-0.8038199	-0.8106508	-0.9768276	-0.08607846	-1.68752	-0.5264881	-3.739985	-2.452024	-2.692497	-1.48743	-0.7266821	-0.5190316	-0.5417947	-1.491211	-0.921185	-1.216162	-2.776799	-2.123444	-3.095591	-2.389482						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442321	280			5	280	1	207	169	287	287	-5.293539	0	-1.167202	0	-2.43203	0	-1.829433	0	-1.660216	0	-3.68084	0	-1.556478	0	-0.272907	0	-0.7356424	0	1.971231	0	-5.293539	0	-1.167202	0	-0.8489454	-0.8676273	-0.9507472	-0.05790938	-1.673769	-0.5027825	-3.738872	-2.472684	-2.679704	-1.50965	-0.8123816	-0.5722631	-0.5644905	-1.483412	-0.9717823	-1.231667	-2.791338	-2.147432	-3.090351	-2.400815						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442361	320			6	320	1	208	169	288	288	-5.196553	0	-1.177752	0	-2.474257	0	-1.883747	0	-1.649787	0	-3.59406	0	-1.544918	0	-0.256052	0	-0.7130387	0	1.986346	0	-5.196553	0	-1.177752	0	-0.8440145	-0.8494741	-0.9973752	-0.07491454	-1.627086	-0.5105519	-3.686438	-2.375698	-2.60645	-1.472969	-0.7973363	-0.5530827	-0.5656269	-1.494233	-0.9253637	-1.194643	-2.779308	-2.147979	-3.100087	-2.36774						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442401	360			7	360	1	207	169	289	289	-5.174699	0	-1.174088	0	-2.510208	0	-1.932684	0	-1.728868	0	-3.562864	0	-1.599006	0	-0.2884034	0	-0.7233983	0	2.007532	0	-5.174699	0	-1.174088	0	-0.8800321	-0.881537	-0.9901224	-0.1060115	-1.697507	-0.544186	-3.718192	-2.3432	-2.583864	-1.459476	-0.8210415	-0.5373434	-0.5416118	-1.471378	-0.8860507	-1.115656	-2.792201	-2.138103	-3.044041	-2.532758						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442441	400			8	400	1	208	169	288	288	-5.237155	0	-1.192542	0	-2.527549	0	-1.901297	0	-1.694231	0	-3.627762	0	-1.590876	0	-0.3417187	0	-0.7478064	0	1.997957	0	-5.237155	0	-1.192542	0	-0.8987114	-0.9140211	-0.9799442	-0.09796328	-1.742628	-0.5485079	-3.731863	-2.394809	-2.638823	-1.479282	-0.7924604	-0.5315539	-0.5432917	-1.455705	-0.9065496	-1.153019	-2.782825	-2.116632	-3.02291	-2.555973						
FACET-ADFES_ext	20171222	medit F06-Fear-Face Forward	0	MALE	test stim	TestImage	Emotient FACET	20171206_160442481	440			9	440	1	208	169	288	288	-5.226726	0	-1.216145	0	-2.560052	0	-1.921868	0	-1.683214	0	-3.635457	0	-1.562895	0	-0.3182842	0	-0.7423101	0	2.000851	0	-5.226726	0	-1.216145	0	-0.8767772	-0.895559	-0.98628	-0.118235	-1.691296	-0.5271928	-3.738424	-2.401304	-2.622783	-1.482196	-0.7684916	-0.540011	-0.562588	-1.4435	-0.9246697	-1.164475	-2.808565	-2.154703	-3.061209	-2.474618						
